iteration,timestamp,client_id,operation,target,phase,failed_node,written_version,observed_version,max_seen_before,read_concern,write_concern,causal_session,scenario,latency_ms,success,violation,error
1,1789628127.025232,client_mr,READ_PRIMARY,primary,normal,,1,1,-1,majority,majority,True,failure,0.88,True,False,
1,1789628127.0275145,client_mr,READ_SECONDARY,session_secondary,normal,,1,1,1,majority,majority,True,failure,2.27,True,False,
2,1789628127.0324373,client_mr,READ_PRIMARY,primary,normal,,2,2,1,majority,majority,True,failure,0.91,True,False,
2,1789628127.0334415,client_mr,READ_SECONDARY,session_secondary,normal,,2,2,2,majority,majority,True,failure,0.99,True,False,
3,1789628127.0369792,client_mr,READ_PRIMARY,primary,normal,,3,3,2,majority,majority,True,failure,0.54,True,False,
3,1789628127.0377057,client_mr,READ_SECONDARY,session_secondary,normal,,3,3,3,majority,majority,True,failure,0.72,True,False,
4,1789628127.0405083,client_mr,READ_PRIMARY,primary,normal,,4,4,3,majority,majority,True,failure,0.57,True,False,
4,1789628127.0422869,client_mr,READ_SECONDARY,session_secondary,normal,,4,4,4,majority,majority,True,failure,1.77,True,False,
5,1789628127.0449014,client_mr,READ_PRIMARY,primary,normal,,5,5,4,majority,majority,True,failure,0.53,True,False,
5,1789628127.045589,client_mr,READ_SECONDARY,session_secondary,normal,,5,5,5,majority,majority,True,failure,0.68,True,False,
6,1789628127.0476897,client_mr,READ_PRIMARY,primary,normal,,6,6,5,majority,majority,True,failure,0.38,True,False,
6,1789628127.0482037,client_mr,READ_SECONDARY,session_secondary,normal,,6,6,6,majority,majority,True,failure,0.51,True,False,
7,1789628127.0503597,client_mr,READ_PRIMARY,primary,normal,,7,7,6,majority,majority,True,failure,0.43,True,False,
7,1789628127.050833,client_mr,READ_SECONDARY,session_secondary,normal,,7,7,7,majority,majority,True,failure,0.47,True,False,
8,1789628127.0526426,client_mr,READ_PRIMARY,primary,normal,,8,8,7,majority,majority,True,failure,0.39,True,False,
8,1789628127.0531232,client_mr,READ_SECONDARY,session_secondary,normal,,8,8,8,majority,majority,True,failure,0.48,True,False,
9,1789628127.054931,client_mr,READ_PRIMARY,primary,normal,,9,9,8,majority,majority,True,failure,0.43,True,False,
9,1789628127.0553956,client_mr,READ_SECONDARY,session_secondary,normal,,9,9,9,majority,majority,True,failure,0.46,True,False,
10,1789628127.0576952,client_mr,READ_PRIMARY,primary,normal,,10,10,9,majority,majority,True,failure,0.37,True,False,
10,1789628127.0584085,client_mr,READ_SECONDARY,session_secondary,normal,,10,10,10,majority,majority,True,failure,0.71,True,False,
11,1789628127.0600445,client_mr,READ_PRIMARY,primary,normal,,11,11,10,majority,majority,True,failure,0.35,True,False,
11,1789628127.0605335,client_mr,READ_SECONDARY,session_secondary,normal,,11,11,11,majority,majority,True,failure,0.49,True,False,
12,1789628127.062255,client_mr,READ_PRIMARY,primary,normal,,12,12,11,majority,majority,True,failure,0.3,True,False,
12,1789628127.0627382,client_mr,READ_SECONDARY,session_secondary,normal,,12,12,12,majority,majority,True,failure,0.48,True,False,
13,1789628127.064377,client_mr,READ_PRIMARY,primary,normal,,13,13,12,majority,majority,True,failure,0.28,True,False,
13,1789628127.0647697,client_mr,READ_SECONDARY,session_secondary,normal,,13,13,13,majority,majority,True,failure,0.39,True,False,
14,1789628127.0666656,client_mr,READ_PRIMARY,primary,normal,,14,14,13,majority,majority,True,failure,0.4,True,False,
14,1789628127.0671,client_mr,READ_SECONDARY,session_secondary,normal,,14,14,14,majority,majority,True,failure,0.43,True,False,
15,1789628127.068671,client_mr,READ_PRIMARY,primary,normal,,15,15,14,majority,majority,True,failure,0.32,True,False,
15,1789628127.0690615,client_mr,READ_SECONDARY,session_secondary,normal,,15,15,15,majority,majority,True,failure,0.39,True,False,
16,1789628127.0705957,client_mr,READ_PRIMARY,primary,normal,,16,16,15,majority,majority,True,failure,0.33,True,False,
16,1789628127.0709298,client_mr,READ_SECONDARY,session_secondary,normal,,16,16,16,majority,majority,True,failure,0.33,True,False,
17,1789628127.07232,client_mr,READ_PRIMARY,primary,normal,,17,17,16,majority,majority,True,failure,0.28,True,False,
17,1789628127.072653,client_mr,READ_SECONDARY,session_secondary,normal,,17,17,17,majority,majority,True,failure,0.33,True,False,
18,1789628127.07441,client_mr,READ_PRIMARY,primary,normal,,18,18,17,majority,majority,True,failure,0.32,True,False,
18,1789628127.0747576,client_mr,READ_SECONDARY,session_secondary,normal,,18,18,18,majority,majority,True,failure,0.34,True,False,
19,1789628127.076099,client_mr,READ_PRIMARY,primary,normal,,19,19,18,majority,majority,True,failure,0.26,True,False,
19,1789628127.0764174,client_mr,READ_SECONDARY,session_secondary,normal,,19,19,19,majority,majority,True,failure,0.32,True,False,
20,1789628127.0777626,client_mr,READ_PRIMARY,primary,normal,,20,20,19,majority,majority,True,failure,0.23,True,False,
20,1789628127.0780654,client_mr,READ_SECONDARY,session_secondary,normal,,20,20,20,majority,majority,True,failure,0.3,True,False,
21,1789628127.0793447,client_mr,READ_PRIMARY,primary,normal,,21,21,20,majority,majority,True,failure,0.27,True,False,
21,1789628127.079678,client_mr,READ_SECONDARY,session_secondary,normal,,21,21,21,majority,majority,True,failure,0.33,True,False,
