timestamp,client_id,operation,target,written_version,observed_version,max_seen_before,read_concern,write_concern,causal_session,scenario,latency_ms,success,violation
1789205689.947277,client_mr,READ_PRIMARY,primary,1,1,-1,majority,majority,True,normal,0.66,True,False
1789205689.950637,client_mr,READ_SECONDARY,session_secondary,1,1,1,majority,majority,True,normal,3.31,True,False
1789205689.962688,client_mr,READ_PRIMARY,primary,2,2,1,majority,majority,True,normal,0.47,True,False
1789205689.966429,client_mr,READ_SECONDARY,session_secondary,2,2,2,majority,majority,True,normal,3.73,True,False
1789205689.977664,client_mr,READ_PRIMARY,primary,3,3,2,majority,majority,True,normal,0.47,True,False
1789205689.978121,client_mr,READ_SECONDARY,session_secondary,3,3,3,majority,majority,True,normal,0.45,True,False
1789205689.9905899,client_mr,READ_PRIMARY,primary,4,4,3,majority,majority,True,normal,0.97,True,False
1789205689.991269,client_mr,READ_SECONDARY,session_secondary,4,4,4,majority,majority,True,normal,0.66,True,False
1789205690.0017111,client_mr,READ_PRIMARY,primary,5,5,4,majority,majority,True,normal,0.45,True,False
1789205690.00219,client_mr,READ_SECONDARY,session_secondary,5,5,5,majority,majority,True,normal,0.47,True,False
1789205690.009722,client_mr,READ_PRIMARY,primary,6,6,5,majority,majority,True,normal,0.51,True,False
1789205690.010176,client_mr,READ_SECONDARY,session_secondary,6,6,6,majority,majority,True,normal,0.44,True,False
1789205690.021684,client_mr,READ_PRIMARY,primary,7,7,6,majority,majority,True,normal,0.4,True,False
1789205690.022051,client_mr,READ_SECONDARY,session_secondary,7,7,7,majority,majority,True,normal,0.36,True,False
1789205690.037961,client_mr,READ_PRIMARY,primary,8,8,7,majority,majority,True,normal,0.84,True,False
1789205690.038337,client_mr,READ_SECONDARY,session_secondary,8,8,8,majority,majority,True,normal,0.37,True,False
1789205690.0485299,client_mr,READ_PRIMARY,primary,9,9,8,majority,majority,True,normal,0.41,True,False
