timestamp,iteration,client_id,operation,target,phase,written_version,observed_version,max_seen_before,read_concern,write_concern,causal_session,scenario,scenario_event,target_node,event_time,latency_ms,success,violation,error
1789631791.2393208,1,client_mr,READ_PRIMARY,primary,normal,1,1,-1,local,1,False,partition,,,,1.93,True,False,
1789631791.2431924,1,client_mr,READ_SECONDARY,localhost:27018,normal,1,1,1,local,1,False,partition,,,,3.86,True,False,
1789631791.2456381,2,client_mr,READ_PRIMARY,primary,normal,2,2,1,local,1,False,partition,,,,1.2,True,False,
1789631791.2480433,2,client_mr,READ_SECONDARY,localhost:27019,normal,2,2,2,local,1,False,partition,,,,2.39,True,False,
1789631791.2494686,3,client_mr,READ_PRIMARY,primary,normal,3,3,2,local,1,False,partition,,,,0.65,True,False,
1789631791.2503896,3,client_mr,READ_SECONDARY,localhost:27018,normal,3,2,3,local,1,False,partition,,,,0.91,True,True,
1789631791.2514489,4,client_mr,READ_PRIMARY,primary,normal,4,4,3,local,1,False,partition,,,,0.43,True,False,
1789631791.2521276,4,client_mr,READ_SECONDARY,localhost:27019,normal,4,4,4,local,1,False,partition,,,,0.67,True,False,
1789631791.2532272,5,client_mr,READ_PRIMARY,primary,normal,5,5,4,local,1,False,partition,,,,0.42,True,False,
1789631791.2540536,5,client_mr,READ_SECONDARY,localhost:27018,normal,5,3,5,local,1,False,partition,,,,0.82,True,True,
1789631791.2551785,6,client_mr,READ_PRIMARY,primary,normal,6,6,5,local,1,False,partition,,,,0.41,True,False,
1789631791.2558446,6,client_mr,READ_SECONDARY,localhost:27019,normal,6,6,6,local,1,False,partition,,,,0.66,True,False,
1789631791.2575135,7,client_mr,READ_PRIMARY,primary,normal,7,7,6,local,1,False,partition,,,,0.76,True,False,
1789631791.2584262,7,client_mr,READ_SECONDARY,localhost:27018,normal,7,6,7,local,1,False,partition,,,,0.9,True,True,
1789631791.2597635,8,client_mr,READ_PRIMARY,primary,normal,8,8,7,local,1,False,partition,,,,0.46,True,False,
1789631791.2605197,8,client_mr,READ_SECONDARY,localhost:27019,normal,8,8,8,local,1,False,partition,,,,0.75,True,False,
1789631791.2614024,9,client_mr,READ_PRIMARY,primary,normal,9,9,8,local,1,False,partition,,,,0.36,True,False,
1789631791.2620726,9,client_mr,READ_SECONDARY,localhost:27018,normal,9,8,9,local,1,False,partition,,,,0.67,True,True,
1789631791.2630265,10,client_mr,READ_PRIMARY,primary,normal,10,10,9,local,1,False,partition,,,,0.36,True,False,
1789631791.2636087,10,client_mr,READ_SECONDARY,localhost:27019,normal,10,10,10,local,1,False,partition,,,,0.58,True,False,
1789631791.264366,11,client_mr,READ_PRIMARY,primary,normal,11,11,10,local,1,False,partition,,,,0.3,True,False,
1789631791.264837,11,client_mr,READ_SECONDARY,localhost:27018,normal,11,10,11,local,1,False,partition,,,,0.47,True,True,
1789631791.2661123,12,client_mr,READ_PRIMARY,primary,normal,12,12,11,local,1,False,partition,,,,0.66,True,False,
1789631791.2668333,12,client_mr,READ_SECONDARY,localhost:27019,normal,12,12,12,local,1,False,partition,,,,0.72,True,False,
1789631791.2677135,13,client_mr,READ_PRIMARY,primary,normal,13,13,12,local,1,False,partition,,,,0.39,True,False,
1789631791.2683141,13,client_mr,READ_SECONDARY,localhost:27018,normal,13,12,13,local,1,False,partition,,,,0.6,True,True,
1789631791.2691433,14,client_mr,READ_PRIMARY,primary,normal,14,14,13,local,1,False,partition,,,,0.32,True,False,
1789631791.2695737,14,client_mr,READ_SECONDARY,localhost:27019,normal,14,13,14,local,1,False,partition,,,,0.43,True,True,
1789631791.2702887,15,client_mr,READ_PRIMARY,primary,normal,15,15,14,local,1,False,partition,,,,0.25,True,False,
1789631791.2709558,15,client_mr,READ_SECONDARY,localhost:27018,normal,15,14,15,local,1,False,partition,,,,0.66,True,True,
1789631791.2715502,16,client_mr,READ_PRIMARY,primary,normal,16,16,15,local,1,False,partition,,,,0.23,True,False,
1789631791.2721066,16,client_mr,READ_SECONDARY,localhost:27019,normal,16,15,16,local,1,False,partition,,,,0.55,True,True,
1789631791.2727969,17,client_mr,READ_PRIMARY,primary,normal,17,17,16,local,1,False,partition,,,,0.26,True,False,
1789631791.2732396,17,client_mr,READ_SECONDARY,localhost:27018,normal,17,16,17,local,1,False,partition,,,,0.44,True,True,
1789631791.2740576,18,client_mr,READ_PRIMARY,primary,normal,18,18,17,local,1,False,partition,,,,0.34,True,False,
1789631791.2746143,18,client_mr,READ_SECONDARY,localhost:27019,normal,18,18,18,local,1,False,partition,,,,0.55,True,False,
1789631791.2754984,19,client_mr,READ_PRIMARY,primary,normal,19,19,18,local,1,False,partition,,,,0.33,True,False,
1789631791.2759364,19,client_mr,READ_SECONDARY,localhost:27018,normal,19,18,19,local,1,False,partition,,,,0.43,True,True,
1789631791.2765615,20,client_mr,READ_PRIMARY,primary,normal,20,20,19,local,1,False,partition,,,,0.23,True,False,
1789631791.2772446,20,client_mr,READ_SECONDARY,localhost:27019,normal,20,20,20,local,1,False,partition,,,,0.68,True,False,
