iteration,timestamp,client_id,operation,target,phase,failed_node,first_seq,second_seq,max_visible_seq,missing_before_max,missing_count,read_concern,write_concern,causal_session,scenario,latency_ms,success,violation,error
1,1789628687.064665,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,1,2,2,,0,majority,majority,True,failure,10.54,True,False,
2,1789628687.0723307,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,3,4,4,,0,majority,majority,True,failure,7.65,True,False,
3,1789628687.0774753,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,5,6,6,,0,majority,majority,True,failure,5.13,True,False,
4,1789628687.0822518,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,7,8,8,,0,majority,majority,True,failure,4.77,True,False,
5,1789628687.086939,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,9,10,10,,0,majority,majority,True,failure,4.68,True,False,
6,1789628687.0908105,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,11,12,12,,0,majority,majority,True,failure,3.87,True,False,
7,1789628687.0940993,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,13,14,14,,0,majority,majority,True,failure,3.28,True,False,
8,1789628687.0973315,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,15,16,16,,0,majority,majority,True,failure,3.22,True,False,
9,1789628687.1005452,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,17,18,18,,0,majority,majority,True,failure,3.21,True,False,
10,1789628687.1036348,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,19,20,20,,0,majority,majority,True,failure,3.08,True,False,
11,1789628687.106169,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,21,22,22,,0,majority,majority,True,failure,2.53,True,False,
12,1789628687.1085975,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,23,24,24,,0,majority,majority,True,failure,2.42,True,False,
13,1789628687.1110146,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,25,26,26,,0,majority,majority,True,failure,2.41,True,False,
14,1789628687.1132026,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,27,28,28,,0,majority,majority,True,failure,2.18,True,False,
15,1789628687.1153815,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,29,30,30,,0,majority,majority,True,failure,2.17,True,False,
16,1789628687.1175303,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,31,32,32,,0,majority,majority,True,failure,2.15,True,False,
17,1789628687.1195722,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,33,34,34,,0,majority,majority,True,failure,2.04,True,False,
18,1789628687.1217766,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,35,36,36,,0,majority,majority,True,failure,2.2,True,False,
19,1789628687.123691,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,37,38,38,,0,majority,majority,True,failure,1.91,True,False,
20,1789628687.1255805,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,39,40,40,,0,majority,majority,True,failure,1.89,True,False,
21,1789628687.1276858,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,41,42,42,,0,majority,majority,True,failure,2.1,True,False,
22,1789628687.1296458,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,43,44,44,,0,majority,majority,True,failure,1.96,True,False,
23,1789628687.1313808,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,45,46,46,,0,majority,majority,True,failure,1.73,True,False,
24,1789628687.1331034,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,47,48,48,,0,majority,majority,True,failure,1.72,True,False,
25,1789628687.1347842,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,49,50,50,,0,majority,majority,True,failure,1.68,True,False,
26,1789628687.1363933,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,51,52,52,,0,majority,majority,True,failure,1.61,True,False,
27,1789628687.1379309,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,,53,54,54,,0,majority,majority,True,failure,1.53,True,False,
28,1789628687.1396444,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,55,56,56,,0,majority,majority,True,failure,1.71,True,False,
