timestamp,client_id,operation,requested_version,observed_version,read_concern,write_concern,scenario,latency_ms,success,violation
1788779289.3694282,client_A,WRITE_THEN_READ,1,-1,local,1,normal,16.97,True,True
1788779289.3788877,client_A,WRITE_THEN_READ,2,-1,local,1,normal,9.46,True,True
1788779289.3863754,client_A,WRITE_THEN_READ,3,-1,local,1,normal,7.49,True,True
1788779289.3948748,client_A,WRITE_THEN_READ,4,-1,local,1,normal,8.5,True,True
1788779289.4058259,client_A,WRITE_THEN_READ,5,5,local,1,normal,10.95,True,False
1788779289.4135437,client_A,WRITE_THEN_READ,6,6,local,1,normal,7.72,True,False
1788779289.4221108,client_A,WRITE_THEN_READ,7,7,local,1,normal,8.57,True,False
1788779289.4299586,client_A,WRITE_THEN_READ,8,8,local,1,normal,7.85,True,False
1788779289.4363673,client_A,WRITE_THEN_READ,9,9,local,1,normal,6.41,True,False
1788779289.4435236,client_A,WRITE_THEN_READ,10,10,local,1,normal,7.16,True,False
1788779289.45136,client_A,WRITE_THEN_READ,11,11,local,1,normal,7.84,True,False
1788779289.4576855,client_A,WRITE_THEN_READ,12,12,local,1,normal,6.33,True,False
1788779289.4643495,client_A,WRITE_THEN_READ,13,13,local,1,normal,6.08,True,False
1788779289.4722145,client_A,WRITE_THEN_READ,14,14,local,1,normal,7.86,True,False
1788779289.4798045,client_A,WRITE_THEN_READ,15,15,local,1,normal,7.59,True,False
1788779289.48626,client_A,WRITE_THEN_READ,16,16,local,1,normal,6.46,True,False
1788779289.4926054,client_A,WRITE_THEN_READ,17,17,local,1,normal,6.35,True,False
1788779289.4986699,client_A,WRITE_THEN_READ,18,18,local,1,normal,6.06,True,False
1788779289.5051937,client_A,WRITE_THEN_READ,19,19,local,1,normal,6.52,True,False
1788779289.511781,client_A,WRITE_THEN_READ,20,20,local,1,normal,6.59,True,False
1788779289.5181627,client_A,WRITE_THEN_READ,21,21,local,1,normal,6.38,True,False
1788779289.5249836,client_A,WRITE_THEN_READ,22,22,local,1,normal,6.82,True,False
1788779289.5313702,client_A,WRITE_THEN_READ,23,23,local,1,normal,6.39,True,False
1788779289.5377715,client_A,WRITE_THEN_READ,24,24,local,1,normal,6.4,True,False
1788779289.544657,client_A,WRITE_THEN_READ,25,25,local,1,normal,6.89,True,False
1788779289.5511463,client_A,WRITE_THEN_READ,26,26,local,1,normal,6.49,True,False
1788779289.5580664,client_A,WRITE_THEN_READ,27,27,local,1,normal,6.92,True,False
1788779289.5645652,client_A,WRITE_THEN_READ,28,28,local,1,normal,6.5,True,False
1788779289.5711432,client_A,WRITE_THEN_READ,29,29,local,1,normal,6.58,True,False
1788779289.5776105,client_A,WRITE_THEN_READ,30,30,local,1,normal,6.47,True,False
1788779289.583874,client_A,WRITE_THEN_READ,31,31,local,1,normal,6.26,True,False
1788779289.5911953,client_A,WRITE_THEN_READ,32,32,local,1,normal,7.32,True,False
1788779289.597839,client_A,WRITE_THEN_READ,33,33,local,1,normal,6.64,True,False
1788779289.6043093,client_A,WRITE_THEN_READ,34,34,local,1,normal,6.47,True,False
1788779289.6116707,client_A,WRITE_THEN_READ,35,35,local,1,normal,7.36,True,False
1788779289.618084,client_A,WRITE_THEN_READ,36,36,local,1,normal,6.41,True,False
1788779289.6239843,client_A,WRITE_THEN_READ,37,37,local,1,normal,5.9,True,False
1788779289.629255,client_A,WRITE_THEN_READ,38,38,local,1,normal,5.27,True,False
1788779289.635766,client_A,WRITE_THEN_READ,39,39,local,1,normal,6.51,True,False
1788779289.6415854,client_A,WRITE_THEN_READ,40,40,local,1,normal,5.23,True,False
1788779289.6465476,client_A,WRITE_THEN_READ,41,41,local,1,normal,4.96,True,False
1788779289.6521897,client_A,WRITE_THEN_READ,42,42,local,1,normal,5.64,True,False
1788779289.6582477,client_A,WRITE_THEN_READ,43,43,local,1,normal,6.06,True,False
1788779289.6641107,client_A,WRITE_THEN_READ,44,44,local,1,normal,5.86,True,False
1788779289.6695054,client_A,WRITE_THEN_READ,45,45,local,1,normal,5.39,True,False
1788779289.6751747,client_A,WRITE_THEN_READ,46,46,local,1,normal,5.67,True,False
1788779289.6805966,client_A,WRITE_THEN_READ,47,47,local,1,normal,5.42,True,False
1788779289.6860445,client_A,WRITE_THEN_READ,48,48,local,1,normal,5.45,True,False
1788779289.6913552,client_A,WRITE_THEN_READ,49,49,local,1,normal,5.31,True,False
1788779289.6969771,client_A,WRITE_THEN_READ,50,50,local,1,normal,5.62,True,False
1788779289.7034717,client_A,WRITE_THEN_READ,51,51,local,1,normal,6.49,True,False
1788779289.7096727,client_A,WRITE_THEN_READ,52,52,local,1,normal,6.2,True,False
1788779289.7155416,client_A,WRITE_THEN_READ,53,53,local,1,normal,5.87,True,False
1788779289.7218719,client_A,WRITE_THEN_READ,54,54,local,1,normal,6.33,True,False
1788779289.7274706,client_A,WRITE_THEN_READ,55,55,local,1,normal,5.6,True,False
1788779289.7324202,client_A,WRITE_THEN_READ,56,55,local,1,normal,4.95,True,True
1788779289.7376287,client_A,WRITE_THEN_READ,57,57,local,1,normal,5.21,True,False
1788779289.7430906,client_A,WRITE_THEN_READ,58,58,local,1,normal,5.46,True,False
1788779289.7486658,client_A,WRITE_THEN_READ,59,59,local,1,normal,5.58,True,False
1788779289.7541564,client_A,WRITE_THEN_READ,60,60,local,1,normal,5.49,True,False
1788779289.7595484,client_A,WRITE_THEN_READ,61,61,local,1,normal,5.39,True,False
1788779289.7648497,client_A,WRITE_THEN_READ,62,62,local,1,normal,5.3,True,False
1788779289.7708013,client_A,WRITE_THEN_READ,63,63,local,1,normal,5.95,True,False
1788779289.7768328,client_A,WRITE_THEN_READ,64,64,local,1,normal,6.03,True,False
1788779289.7816694,client_A,WRITE_THEN_READ,65,65,local,1,normal,4.84,True,False
1788779289.787706,client_A,WRITE_THEN_READ,66,66,local,1,normal,6.04,True,False
1788779289.7938266,client_A,WRITE_THEN_READ,67,67,local,1,normal,6.12,True,False
1788779289.7994344,client_A,WRITE_THEN_READ,68,68,local,1,normal,5.61,True,False
1788779289.8045304,client_A,WRITE_THEN_READ,69,69,local,1,normal,5.1,True,False
1788779289.8100436,client_A,WRITE_THEN_READ,70,70,local,1,normal,5.51,True,False
1788779289.8158062,client_A,WRITE_THEN_READ,71,71,local,1,normal,5.76,True,False
1788779289.822244,client_A,WRITE_THEN_READ,72,72,local,1,normal,6.44,True,False
1788779289.8285763,client_A,WRITE_THEN_READ,73,73,local,1,normal,6.33,True,False
1788779289.834081,client_A,WRITE_THEN_READ,74,74,local,1,normal,5.5,True,False
1788779289.8400545,client_A,WRITE_THEN_READ,75,75,local,1,normal,5.97,True,False
1788779289.8465545,client_A,WRITE_THEN_READ,76,76,local,1,normal,6.5,True,False
1788779289.852697,client_A,WRITE_THEN_READ,77,77,local,1,normal,6.14,True,False
1788779289.8585594,client_A,WRITE_THEN_READ,78,77,local,1,normal,5.86,True,True
1788779289.8651676,client_A,WRITE_THEN_READ,79,79,local,1,normal,6.61,True,False
1788779289.8711994,client_A,WRITE_THEN_READ,80,80,local,1,normal,6.03,True,False
1788779289.877241,client_A,WRITE_THEN_READ,81,81,local,1,normal,6.04,True,False
1788779289.8823183,client_A,WRITE_THEN_READ,82,82,local,1,normal,5.08,True,False
1788779289.8882384,client_A,WRITE_THEN_READ,83,83,local,1,normal,5.27,True,False
1788779289.8941262,client_A,WRITE_THEN_READ,84,84,local,1,normal,5.89,True,False
1788779289.9005747,client_A,WRITE_THEN_READ,85,85,local,1,normal,6.45,True,False
1788779289.905988,client_A,WRITE_THEN_READ,86,86,local,1,normal,5.41,True,False
1788779289.9120767,client_A,WRITE_THEN_READ,87,87,local,1,normal,6.09,True,False
1788779289.9171507,client_A,WRITE_THEN_READ,88,88,local,1,normal,5.07,True,False
1788779289.9228766,client_A,WRITE_THEN_READ,89,89,local,1,normal,5.73,True,False
1788779289.9276323,client_A,WRITE_THEN_READ,90,90,local,1,normal,4.76,True,False
1788779289.933088,client_A,WRITE_THEN_READ,91,91,local,1,normal,5.46,True,False
1788779289.9378564,client_A,WRITE_THEN_READ,92,92,local,1,normal,4.77,True,False
1788779289.9440067,client_A,WRITE_THEN_READ,93,93,local,1,normal,6.15,True,False
1788779289.950568,client_A,WRITE_THEN_READ,94,94,local,1,normal,6.56,True,False
1788779289.9559202,client_A,WRITE_THEN_READ,95,95,local,1,normal,5.35,True,False
1788779289.9616919,client_A,WRITE_THEN_READ,96,96,local,1,normal,5.77,True,False
1788779289.967519,client_A,WRITE_THEN_READ,97,97,local,1,normal,5.83,True,False
1788779289.9733217,client_A,WRITE_THEN_READ,98,98,local,1,normal,5.8,True,False
1788779289.9791384,client_A,WRITE_THEN_READ,99,99,local,1,normal,5.82,True,False
1788779289.9838676,client_A,WRITE_THEN_READ,100,100,local,1,normal,4.73,True,False
1788779289.9908323,client_A,WRITE_THEN_READ,101,101,local,1,normal,6.35,True,False
1788779289.9971304,client_A,WRITE_THEN_READ,102,102,local,1,normal,6.3,True,False
1788779290.00371,client_A,WRITE_THEN_READ,103,103,local,1,normal,6.58,True,False
1788779290.0103562,client_A,WRITE_THEN_READ,104,104,local,1,normal,6.65,True,False
1788779290.0153706,client_A,WRITE_THEN_READ,105,105,local,1,normal,5.01,True,False
1788779290.0208845,client_A,WRITE_THEN_READ,106,106,local,1,normal,5.51,True,False
1788779290.0271537,client_A,WRITE_THEN_READ,107,107,local,1,normal,6.27,True,False
1788779290.032866,client_A,WRITE_THEN_READ,108,108,local,1,normal,5.71,True,False
1788779290.0392158,client_A,WRITE_THEN_READ,109,109,local,1,normal,6.35,True,False
1788779290.0454814,client_A,WRITE_THEN_READ,110,110,local,1,normal,6.27,True,False
1788779290.051437,client_A,WRITE_THEN_READ,111,111,local,1,normal,5.96,True,False
1788779290.0562046,client_A,WRITE_THEN_READ,112,112,local,1,normal,4.77,True,False
1788779290.0622056,client_A,WRITE_THEN_READ,113,113,local,1,normal,6.0,True,False
1788779290.0682693,client_A,WRITE_THEN_READ,114,114,local,1,normal,6.06,True,False
1788779290.0746202,client_A,WRITE_THEN_READ,115,115,local,1,normal,6.35,True,False
1788779290.0808141,client_A,WRITE_THEN_READ,116,116,local,1,normal,6.19,True,False
1788779290.085963,client_A,WRITE_THEN_READ,117,117,local,1,normal,5.15,True,False
1788779290.0915048,client_A,WRITE_THEN_READ,118,118,local,1,normal,5.54,True,False
1788779290.097367,client_A,WRITE_THEN_READ,119,119,local,1,normal,5.86,True,False
1788779290.1036198,client_A,WRITE_THEN_READ,120,120,local,1,normal,6.25,True,False
1788779290.1093292,client_A,WRITE_THEN_READ,121,121,local,1,normal,5.71,True,False
1788779290.1141338,client_A,WRITE_THEN_READ,122,122,local,1,normal,4.8,True,False
1788779290.1199462,client_A,WRITE_THEN_READ,123,123,local,1,normal,5.81,True,False
1788779290.1264513,client_A,WRITE_THEN_READ,124,124,local,1,normal,6.51,True,False
1788779290.1320722,client_A,WRITE_THEN_READ,125,125,local,1,normal,5.62,True,False
1788779290.1377242,client_A,WRITE_THEN_READ,126,126,local,1,normal,5.65,True,False
1788779290.1433449,client_A,WRITE_THEN_READ,127,127,local,1,normal,5.62,True,False
1788779290.1484973,client_A,WRITE_THEN_READ,128,128,local,1,normal,5.15,True,False
1788779290.1545956,client_A,WRITE_THEN_READ,129,129,local,1,normal,6.1,True,False
1788779290.1606803,client_A,WRITE_THEN_READ,130,130,local,1,normal,6.08,True,False
1788779290.1665182,client_A,WRITE_THEN_READ,131,131,local,1,normal,5.84,True,False
1788779290.1718497,client_A,WRITE_THEN_READ,132,132,local,1,normal,5.33,True,False
1788779290.1779451,client_A,WRITE_THEN_READ,133,133,local,1,normal,6.1,True,False
1788779290.1834483,client_A,WRITE_THEN_READ,134,134,local,1,normal,5.5,True,False
1788779290.1891525,client_A,WRITE_THEN_READ,135,135,local,1,normal,5.7,True,False
1788779290.1946638,client_A,WRITE_THEN_READ,136,136,local,1,normal,5.51,True,False
1788779290.1998305,client_A,WRITE_THEN_READ,137,137,local,1,normal,5.17,True,False
1788779290.2054284,client_A,WRITE_THEN_READ,138,138,local,1,normal,5.6,True,False
1788779290.2112427,client_A,WRITE_THEN_READ,139,139,local,1,normal,5.81,True,False
1788779290.2168605,client_A,WRITE_THEN_READ,140,140,local,1,normal,5.62,True,False
1788779290.2232904,client_A,WRITE_THEN_READ,141,141,local,1,normal,6.43,True,False
1788779290.2298703,client_A,WRITE_THEN_READ,142,142,local,1,normal,6.58,True,False
1788779290.2352178,client_A,WRITE_THEN_READ,143,143,local,1,normal,5.35,True,False
1788779290.2409363,client_A,WRITE_THEN_READ,144,144,local,1,normal,5.72,True,False
1788779290.246021,client_A,WRITE_THEN_READ,145,145,local,1,normal,5.08,True,False
1788779290.251595,client_A,WRITE_THEN_READ,146,146,local,1,normal,5.57,True,False
1788779290.2569056,client_A,WRITE_THEN_READ,147,147,local,1,normal,5.31,True,False
1788779290.262382,client_A,WRITE_THEN_READ,148,148,local,1,normal,5.48,True,False
1788779290.2677095,client_A,WRITE_THEN_READ,149,149,local,1,normal,5.33,True,False
