iteration,timestamp,client_id,operation,phase,scenario,partitioned_node,requested_version,observed_version,read_concern,write_concern,causal_session,latency_ms,success,violation,error
1,1789629766.2308376,client_A,WRITE_THEN_READ,normal,partition,,1,1,local,1,False,1.63,True,False,
2,1789629766.2317064,client_A,WRITE_THEN_READ,normal,partition,,2,1,local,1,False,0.86,True,True,
3,1789629766.2323978,client_A,WRITE_THEN_READ,normal,partition,,3,3,local,1,False,0.69,True,False,
4,1789629766.2342374,client_A,WRITE_THEN_READ,normal,partition,,4,4,local,1,False,1.84,True,False,
5,1789629766.234964,client_A,WRITE_THEN_READ,normal,partition,,5,4,local,1,False,0.72,True,True,
6,1789629766.2354136,client_A,WRITE_THEN_READ,normal,partition,,6,5,local,1,False,0.45,True,True,
7,1789629766.2359583,client_A,WRITE_THEN_READ,normal,partition,,7,6,local,1,False,0.54,True,True,
8,1789629766.237306,client_A,WRITE_THEN_READ,normal,partition,,8,8,local,1,False,1.35,True,False,
9,1789629766.2378087,client_A,WRITE_THEN_READ,normal,partition,,9,8,local,1,False,0.5,True,True,
10,1789629766.238793,client_A,WRITE_THEN_READ,normal,partition,,10,10,local,1,False,0.98,True,False,
11,1789629766.2393198,client_A,WRITE_THEN_READ,normal,partition,,11,10,local,1,False,0.52,True,True,
12,1789629766.239822,client_A,WRITE_THEN_READ,normal,partition,,12,11,local,1,False,0.5,True,True,
13,1789629766.2403493,client_A,WRITE_THEN_READ,normal,partition,,13,12,local,1,False,0.53,True,True,
14,1789629766.241148,client_A,WRITE_THEN_READ,normal,partition,,14,13,local,1,False,0.8,True,True,
15,1789629766.241544,client_A,WRITE_THEN_READ,normal,partition,,15,14,local,1,False,0.39,True,True,
16,1789629766.2423062,client_A,WRITE_THEN_READ,normal,partition,,16,15,local,1,False,0.76,True,True,
17,1789629766.242702,client_A,WRITE_THEN_READ,normal,partition,,17,16,local,1,False,0.39,True,True,
18,1789629766.2433386,client_A,WRITE_THEN_READ,normal,partition,,18,17,local,1,False,0.63,True,True,
19,1789629766.2439487,client_A,WRITE_THEN_READ,normal,partition,,19,18,local,1,False,0.61,True,True,
20,1789629766.2449298,client_A,WRITE_THEN_READ,normal,partition,,20,20,local,1,False,0.98,True,False,
21,1789629766.2459402,client_A,WRITE_THEN_READ,normal,partition,,21,21,local,1,False,1.01,True,False,
22,1789629766.246448,client_A,WRITE_THEN_READ,normal,partition,,22,21,local,1,False,0.51,True,True,
23,1789629766.2474887,client_A,WRITE_THEN_READ,normal,partition,,23,23,local,1,False,1.04,True,False,
24,1789629766.2479782,client_A,WRITE_THEN_READ,normal,partition,,24,23,local,1,False,0.49,True,True,
25,1789629766.248716,client_A,WRITE_THEN_READ,normal,partition,,25,25,local,1,False,0.74,True,False,
26,1789629766.249113,client_A,WRITE_THEN_READ,normal,partition,,26,25,local,1,False,0.4,True,True,
27,1789629766.2496839,client_A,WRITE_THEN_READ,normal,partition,,27,26,local,1,False,0.57,True,True,
28,1789629766.250576,client_A,WRITE_THEN_READ,normal,partition,,28,28,local,1,False,0.89,True,False,
29,1789629766.2513318,client_A,WRITE_THEN_READ,normal,partition,,29,28,local,1,False,0.75,True,True,
30,1789629766.251885,client_A,WRITE_THEN_READ,normal,partition,,30,29,local,1,False,0.55,True,True,
31,1789629766.2523422,client_A,WRITE_THEN_READ,normal,partition,,31,30,local,1,False,0.46,True,True,
32,1789629766.2530031,client_A,WRITE_THEN_READ,normal,partition,,32,32,local,1,False,0.66,True,False,
33,1789629766.2534552,client_A,WRITE_THEN_READ,normal,partition,,33,32,local,1,False,0.45,True,True,
34,1789629766.2540708,client_A,WRITE_THEN_READ,normal,partition,,34,33,local,1,False,0.61,True,True,
35,1789629766.2547846,client_A,WRITE_THEN_READ,normal,partition,,35,35,local,1,False,0.71,True,False,
36,1789629766.2554123,client_A,WRITE_THEN_READ,normal,partition,,36,36,local,1,False,0.63,True,False,
37,1789629766.255879,client_A,WRITE_THEN_READ,normal,partition,,37,36,local,1,False,0.46,True,True,
38,1789629766.256444,client_A,WRITE_THEN_READ,normal,partition,,38,38,local,1,False,0.56,True,False,
39,1789629766.257415,client_A,WRITE_THEN_READ,normal,partition,,39,38,local,1,False,0.97,True,True,
40,1789629766.2579265,client_A,WRITE_THEN_READ,normal,partition,,40,39,local,1,False,0.51,True,True,
41,1789629766.2585273,client_A,WRITE_THEN_READ,normal,partition,,41,41,local,1,False,0.6,True,False,
42,1789629766.2589576,client_A,WRITE_THEN_READ,normal,partition,,42,40,local,1,False,0.43,True,True,
43,1789629766.259647,client_A,WRITE_THEN_READ,normal,partition,,43,42,local,1,False,0.69,True,True,
44,1789629766.2600753,client_A,WRITE_THEN_READ,normal,partition,,44,42,local,1,False,0.43,True,True,
45,1789629766.2605565,client_A,WRITE_THEN_READ,normal,partition,,45,44,local,1,False,0.48,True,True,
46,1789629766.2611847,client_A,WRITE_THEN_READ,normal,partition,,46,45,local,1,False,0.63,True,True,
47,1789629766.2621932,client_A,WRITE_THEN_READ,normal,partition,,47,47,local,1,False,1.01,True,False,
48,1789629766.2626028,client_A,WRITE_THEN_READ,normal,partition,,48,47,local,1,False,0.41,True,True,
49,1789629766.2630293,client_A,WRITE_THEN_READ,normal,partition,,49,48,local,1,False,0.42,True,True,
50,1789629766.2642353,client_A,WRITE_THEN_READ,normal,partition,,50,50,local,1,False,1.2,True,False,
51,1789629766.264707,client_A,WRITE_THEN_READ,normal,partition,,51,50,local,1,False,0.47,True,True,
52,1789629766.265224,client_A,WRITE_THEN_READ,normal,partition,,52,51,local,1,False,0.52,True,True,
53,1789629766.2656906,client_A,WRITE_THEN_READ,normal,partition,,53,52,local,1,False,0.47,True,True,
54,1789629766.2663586,client_A,WRITE_THEN_READ,normal,partition,,54,53,local,1,False,0.67,True,True,
55,1789629766.2669775,client_A,WRITE_THEN_READ,normal,partition,,55,54,local,1,False,0.62,True,True,
56,1789629766.2675273,client_A,WRITE_THEN_READ,normal,partition,,56,56,local,1,False,0.55,True,False,
57,1789629766.268023,client_A,WRITE_THEN_READ,normal,partition,,57,57,local,1,False,0.49,True,False,
58,1789629766.2686489,client_A,WRITE_THEN_READ,normal,partition,,58,57,local,1,False,0.62,True,True,
