timestamp,iteration,client_id,operation,target,prerequisite_id,dependent_id,client_b_read_v1,v1_visible_on_observer,v2_visible_on_observer,observer_check_order,read_concern,write_concern,causal_session,scenario,latency_ms,success,violation,error
1789719131.028876,1,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:1,v2:1,True,True,True,dependent_then_prerequisite,majority,majority,True,normal_codexrun,27.89,True,False,
1789719131.053337,2,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:2,v2:2,True,True,True,dependent_then_prerequisite,majority,majority,True,normal_codexrun,24.43,True,False,
1789719131.0755332,3,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:3,v2:3,True,True,True,dependent_then_prerequisite,majority,majority,True,normal_codexrun,22.19,True,False,
1789719131.097766,4,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:4,v2:4,True,True,True,dependent_then_prerequisite,majority,majority,True,normal_codexrun,22.23,True,False,
1789719131.114621,5,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:5,v2:5,True,True,True,dependent_then_prerequisite,majority,majority,True,normal_codexrun,16.85,True,False,
1789719131.1384819,6,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:6,v2:6,True,True,True,dependent_then_prerequisite,majority,majority,True,normal_codexrun,23.85,True,False,
1789719131.162067,7,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:7,v2:7,True,True,True,dependent_then_prerequisite,majority,majority,True,normal_codexrun,23.57,True,False,
1789719131.187449,8,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:8,v2:8,True,True,True,dependent_then_prerequisite,majority,majority,True,normal_codexrun,25.37,True,False,
1789719131.2134159,9,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:9,v2:9,True,True,True,dependent_then_prerequisite,majority,majority,True,normal_codexrun,25.95,True,False,
1789719131.236272,10,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:10,v2:10,True,True,True,dependent_then_prerequisite,majority,majority,True,normal_codexrun,22.84,True,False,
1789719131.2579699,11,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:11,v2:11,True,True,True,dependent_then_prerequisite,majority,majority,True,normal_codexrun,21.69,True,False,
1789719131.289089,12,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:12,v2:12,True,True,True,dependent_then_prerequisite,majority,majority,True,normal_codexrun,31.1,True,False,
1789719131.310957,13,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,session_secondary,v1:13,v2:13,True,True,True,dependent_then_prerequisite,majority,majority,True,normal_codexrun,21.85,True,False,
