run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T060127Z_6463d024,1,normal,1789797688.0541732,1789797688.1286764,74.131,0,74.131,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:1"", ""v2:1""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,2,normal,1789797688.1286764,1789797688.1496692,20.764,0,20.764,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:2"", ""v2:2""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,3,normal,1789797688.1502953,1789797688.1882107,38.23,0,38.23,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:3"", ""v2:3""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,4,normal,1789797688.1882107,1789797688.2079263,19.529,0,19.529,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:4"", ""v2:4""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,5,normal,1789797688.2079263,1789797688.2266304,18.456,0,18.456,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:5"", ""v2:5""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,6,normal,1789797688.2266304,1789797688.2450144,18.845,0,18.845,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:6"", ""v2:6""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,7,normal,1789797688.2450144,1789797688.2649848,19.102,0,19.102,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:7"", ""v2:7""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,8,normal,1789797688.2649848,1789797688.2849312,19.851,0,19.851,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:8"", ""v2:8""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,9,normal,1789797688.2849312,1789797688.3038592,19.2,0,19.2,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:9"", ""v2:9""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,10,normal,1789797688.3044662,1789797688.324,19.668,0,19.668,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:10"", ""v2:10""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,11,normal,1789797688.324,1789797688.3447328,20.85,0,20.85,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:11"", ""v2:11""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,12,normal,1789797688.3452666,1789797688.364449,19.23,0,19.23,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:12"", ""v2:12""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,13,normal,1789797688.364449,1789797688.3846457,20.547,0,20.547,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:13"", ""v2:13""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,14,normal,1789797688.3852596,1789797688.4052463,20.088,0,20.088,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:14"", ""v2:14""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,15,normal,1789797688.4052463,1789797688.4240901,18.584,0,18.584,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:15"", ""v2:15""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,16,normal,1789797688.4240901,1789797688.443454,19.549,0,19.549,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:16"", ""v2:16""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,17,normal,1789797688.443454,1789797688.4618049,18.08,0,18.08,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:17"", ""v2:17""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,18,normal,1789797688.4618049,1789797688.4825401,20.582,0,20.582,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:18"", ""v2:18""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,19,normal,1789797688.4825401,1789797688.50529,23.042,0,23.042,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:19"", ""v2:19""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,20,normal,1789797688.5059736,1789797688.527578,21.636,0,21.636,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:20"", ""v2:20""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,21,normal,1789797688.527578,1789797688.5481315,20.452,0,20.452,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:21"", ""v2:21""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,22,normal,1789797688.5481315,1789797688.5686865,20.599,0,20.599,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:22"", ""v2:22""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,23,normal,1789797688.5686865,1789797688.5893443,20.888,0,20.888,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:23"", ""v2:23""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,24,normal,1789797688.5893443,1789797688.612638,23.179,0,23.179,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:24"", ""v2:24""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,25,normal,1789797688.6132715,1789797688.633517,20.249,0,20.249,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:25"", ""v2:25""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,26,normal,1789797688.633517,1789797688.652996,19.28,0,19.28,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:26"", ""v2:26""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,27,normal,1789797688.652996,1789797688.6719463,18.693,0,18.693,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:27"", ""v2:27""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,28,normal,1789797688.6719463,1789797688.6910765,19.451,0,19.451,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:28"", ""v2:28""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,29,normal,1789797688.6916695,1789797688.7105308,19.269,0,19.269,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:29"", ""v2:29""], ""snapshot_polls"": 1}"
20260919T060127Z_6463d024,30,normal,1789797688.711074,1789797688.729213,18.211,0,18.211,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:30"", ""v2:30""], ""snapshot_polls"": 1}"
