run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T060132Z_2ab4012e,1,normal,1789797692.9504783,1789797692.979521,28.846,0,28.846,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260919T060132Z_2ab4012e,2,normal,1789797692.979521,1789797693.0099518,30.31,0,30.31,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260919T060132Z_2ab4012e,3,normal,1789797693.0099518,1789797693.0207844,10.352,0,10.352,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260919T060132Z_2ab4012e,4,normal,1789797693.0207844,1789797693.0309708,9.824,0,9.824,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260919T060132Z_2ab4012e,5,normal,1789797693.0309708,1789797693.0414715,10.789,0,10.789,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260919T060132Z_2ab4012e,6,normal,1789797693.042095,1789797693.050982,9.192,0,9.192,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260919T060132Z_2ab4012e,7,normal,1789797693.050982,1789797693.061009,9.869,0,9.869,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260919T060132Z_2ab4012e,8,normal,1789797693.061009,1789797693.070368,9.105,0,9.105,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260919T060132Z_2ab4012e,9,normal,1789797693.070368,1789797693.079049,9.021,0,9.021,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260919T060132Z_2ab4012e,10,normal,1789797693.0796864,1789797693.0884428,8.759,0,8.759,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260919T060132Z_2ab4012e,11,normal,1789797693.0884428,1789797693.0971384,8.675,0,8.675,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260919T060132Z_2ab4012e,12,normal,1789797693.0971384,1789797693.107855,10.605,0,10.605,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260919T060132Z_2ab4012e,13,normal,1789797693.107855,1789797693.1169362,9.34,0,9.34,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260919T060132Z_2ab4012e,14,normal,1789797693.1174912,1789797693.1258342,8.874,0,8.874,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260919T060132Z_2ab4012e,15,normal,1789797693.1264114,1789797693.1360292,9.576,0,9.576,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260919T060132Z_2ab4012e,16,normal,1789797693.1360292,1789797693.145056,9.033,0,9.033,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260919T060132Z_2ab4012e,17,normal,1789797693.145056,1789797693.1554456,9.988,0,9.988,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260919T060132Z_2ab4012e,18,normal,1789797693.1554456,1789797693.1657429,10.235,0,10.235,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260919T060132Z_2ab4012e,19,normal,1789797693.1657429,1789797693.1747365,8.978,0,8.978,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260919T060132Z_2ab4012e,20,normal,1789797693.1747365,1789797693.1843991,9.575,0,9.575,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260919T060132Z_2ab4012e,21,normal,1789797693.1843991,1789797693.19399,9.83,0,9.83,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260919T060132Z_2ab4012e,22,normal,1789797693.1945002,1789797693.203878,9.572,0,9.572,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260919T060132Z_2ab4012e,23,normal,1789797693.203878,1789797693.21382,9.591,0,9.591,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260919T060132Z_2ab4012e,24,normal,1789797693.21382,1789797693.2232077,9.544,0,9.544,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260919T060132Z_2ab4012e,25,normal,1789797693.2232077,1789797693.2328026,9.132,0,9.132,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260919T060132Z_2ab4012e,26,normal,1789797693.2328026,1789797693.242534,9.792,0,9.792,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260919T060132Z_2ab4012e,27,normal,1789797693.242534,1789797693.2534144,10.785,0,10.785,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260919T060132Z_2ab4012e,28,normal,1789797693.2534144,1789797693.265553,11.929,0,11.929,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260919T060132Z_2ab4012e,29,normal,1789797693.265553,1789797693.2756357,10.063,0,10.063,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260919T060132Z_2ab4012e,30,normal,1789797693.2756357,1789797693.2867205,10.757,0,10.757,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 30}"
