run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T060147Z_705f0b7f,1,normal,1789797707.9459453,1789797707.963522,17.972,0,17.972,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060147Z_705f0b7f,2,normal,1789797707.9641078,1789797707.9777017,13.625,0,13.625,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260919T060147Z_705f0b7f,3,normal,1789797707.978253,1789797707.9949558,16.933,0,16.933,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260919T060147Z_705f0b7f,4,normal,1789797707.9955254,1789797708.004843,9.593,0,9.593,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260919T060147Z_705f0b7f,5,normal,1789797708.005432,1789797708.0146298,9.515,0,9.515,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260919T060147Z_705f0b7f,6,normal,1789797708.0146298,1789797708.0243163,9.332,0,9.332,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260919T060147Z_705f0b7f,7,normal,1789797708.0243163,1789797708.033663,9.629,0,9.629,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260919T060147Z_705f0b7f,8,normal,1789797708.033663,1789797708.0438743,9.826,0,9.826,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260919T060147Z_705f0b7f,9,normal,1789797708.0438743,1789797708.0535212,9.873,0,9.873,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260919T060147Z_705f0b7f,10,normal,1789797708.0541153,1789797708.0633612,10.052,0,10.052,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260919T060147Z_705f0b7f,11,normal,1789797708.0633612,1789797708.0739717,10.43,0,10.43,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260919T060147Z_705f0b7f,12,normal,1789797708.0739717,1789797708.0855317,10.753,0,10.753,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260919T060147Z_705f0b7f,13,normal,1789797708.0855317,1789797708.0969543,11.398,0,11.398,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260919T060147Z_705f0b7f,14,normal,1789797708.0969543,1789797708.1067996,9.743,0,9.743,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260919T060147Z_705f0b7f,15,normal,1789797708.1067996,1789797708.1163058,9.24,0,9.24,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260919T060147Z_705f0b7f,16,normal,1789797708.1163058,1789797708.125561,9.55,0,9.55,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260919T060147Z_705f0b7f,17,normal,1789797708.125561,1789797708.1344302,8.851,0,8.851,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260919T060147Z_705f0b7f,18,normal,1789797708.1344302,1789797708.144281,9.505,0,9.505,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260919T060147Z_705f0b7f,19,normal,1789797708.144281,1789797708.1542382,9.718,0,9.718,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260919T060147Z_705f0b7f,20,normal,1789797708.1542382,1789797708.1634731,9.218,0,9.218,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260919T060147Z_705f0b7f,21,normal,1789797708.1634731,1789797708.1729543,9.697,0,9.697,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260919T060147Z_705f0b7f,22,normal,1789797708.1729543,1789797708.1821084,9.095,0,9.095,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260919T060147Z_705f0b7f,23,normal,1789797708.1821084,1789797708.193061,10.395,0,10.395,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260919T060147Z_705f0b7f,24,normal,1789797708.193061,1789797708.202643,9.508,0,9.508,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260919T060147Z_705f0b7f,25,normal,1789797708.202643,1789797708.212118,9.352,0,9.352,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260919T060147Z_705f0b7f,26,normal,1789797708.212118,1789797708.221825,9.549,0,9.549,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260919T060147Z_705f0b7f,27,normal,1789797708.221825,1789797708.2311761,9.188,0,9.188,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260919T060147Z_705f0b7f,28,normal,1789797708.2311761,1789797708.2406971,9.475,0,9.475,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260919T060147Z_705f0b7f,29,normal,1789797708.2406971,1789797708.2505498,9.839,0,9.839,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260919T060147Z_705f0b7f,30,normal,1789797708.2505498,1789797708.260265,9.851,0,9.851,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 30}"
