run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T060324Z_e82d7b92,1,normal,1789797805.204622,1789797805.2531958,48.331,0,48.331,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260919T060324Z_e82d7b92,2,normal,1789797805.2531958,1789797805.2675822,14.104,0,14.104,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260919T060324Z_e82d7b92,3,normal,1789797805.2675822,1789797805.2779138,9.956,0,9.956,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260919T060324Z_e82d7b92,4,normal,1789797805.2785013,1789797805.2897236,11.234,0,11.234,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260919T060324Z_e82d7b92,5,normal,1789797805.2897236,1789797805.3010643,11.504,0,11.504,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260919T060324Z_e82d7b92,6,normal,1789797805.3010643,1789797805.338967,37.647,0,37.647,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260919T060324Z_e82d7b92,7,normal,1789797805.338967,1789797805.3495085,10.56,0,10.56,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260919T060324Z_e82d7b92,8,normal,1789797805.3500588,1789797805.3616333,11.69,0,11.69,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260919T060324Z_e82d7b92,9,normal,1789797805.3616333,1789797805.373414,11.958,0,11.958,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260919T060324Z_e82d7b92,10,transition,1789797805.373414,1789797811.4984584,6124.614,6110.237,14.378,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260919T060324Z_e82d7b92,11,fault,1789797811.4984584,1789797811.5072374,9.352,0,9.352,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260919T060324Z_e82d7b92,12,fault,1789797811.5080426,1789797811.5200315,12.469,0,12.469,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260919T060324Z_e82d7b92,13,fault,1789797811.5205836,1789797811.5309684,10.75,0,10.75,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260919T060324Z_e82d7b92,14,fault,1789797811.5309684,1789797811.539477,8.821,0,8.821,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260919T060324Z_e82d7b92,15,fault,1789797811.540247,1789797811.5489564,9.15,0,9.15,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260919T060324Z_e82d7b92,16,fault,1789797811.5489564,1789797811.5585287,9.618,0,9.618,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260919T060324Z_e82d7b92,17,fault,1789797811.5585287,1789797811.567853,8.7,0,8.7,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260919T060324Z_e82d7b92,18,fault,1789797811.567853,1789797811.5779116,10.245,0,10.245,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260919T060324Z_e82d7b92,19,fault,1789797811.5779116,1789797811.587475,9.738,0,9.738,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260919T060324Z_e82d7b92,20,recovery,1789797812.6718957,1789797812.6839457,11.976,0,11.976,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260919T060324Z_e82d7b92,21,recovery,1789797812.6839457,1789797812.6933198,9.538,0,9.538,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260919T060324Z_e82d7b92,22,recovery,1789797812.6933198,1789797812.7023892,9.048,0,9.048,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260919T060324Z_e82d7b92,23,recovery,1789797812.7023892,1789797812.7145507,12.097,0,12.097,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260919T060324Z_e82d7b92,24,recovery,1789797812.7145507,1789797812.7244635,9.983,0,9.983,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260919T060324Z_e82d7b92,25,recovery,1789797812.7250342,1789797812.7352886,10.566,0,10.566,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260919T060324Z_e82d7b92,26,recovery,1789797812.7352886,1789797812.7450593,9.699,0,9.699,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260919T060324Z_e82d7b92,27,recovery,1789797812.7450593,1789797812.7550826,9.667,0,9.667,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260919T060324Z_e82d7b92,28,recovery,1789797812.7550826,1789797812.767452,12.404,0,12.404,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260919T060324Z_e82d7b92,29,recovery,1789797812.767452,1789797812.7770448,9.366,0,9.366,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260919T060324Z_e82d7b92,30,recovery,1789797812.7770448,1789797812.785545,9.251,0,9.251,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 30}"
