run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T060431Z_0dcccccb,1,normal,1789797872.2901595,1789797872.3139362,23.759,0,23.759,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260919T060431Z_0dcccccb,2,normal,1789797872.31455,1789797872.325589,11.367,0,11.367,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060431Z_0dcccccb,3,normal,1789797872.3261943,1789797872.3320372,6.008,0,6.008,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260919T060431Z_0dcccccb,4,normal,1789797872.3332286,1789797872.3385847,5.444,0,5.444,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260919T060431Z_0dcccccb,5,normal,1789797872.3385847,1789797872.344675,6.144,0,6.144,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260919T060431Z_0dcccccb,6,normal,1789797872.3452697,1789797872.3516157,6.611,0,6.611,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060431Z_0dcccccb,7,normal,1789797872.3516157,1789797872.358401,6.507,0,6.507,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060431Z_0dcccccb,8,normal,1789797872.358401,1789797872.3646305,6.23,0,6.23,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060431Z_0dcccccb,9,normal,1789797872.3646305,1789797872.3705244,5.648,0,5.648,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260919T060431Z_0dcccccb,10,transition,1789797872.3705244,1789797878.4616594,6091.261,6082.114,9.147,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260919T060431Z_0dcccccb,11,fault,1789797878.4616594,1789797878.4672942,5.158,0,5.158,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260919T060431Z_0dcccccb,12,fault,1789797878.4672942,1789797878.4723845,5.083,0,5.083,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260919T060431Z_0dcccccb,13,fault,1789797878.4723845,1789797878.4773817,5.0,0,5.0,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260919T060431Z_0dcccccb,14,fault,1789797878.4773817,1789797878.4823837,5.172,0,5.172,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260919T060431Z_0dcccccb,15,fault,1789797878.4823837,1789797878.4876652,5.138,0,5.138,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260919T060431Z_0dcccccb,16,fault,1789797878.4876652,1789797878.492523,5.035,0,5.035,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260919T060431Z_0dcccccb,17,fault,1789797878.4931364,1789797878.4985647,5.989,0,5.989,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260919T060431Z_0dcccccb,18,fault,1789797878.4985647,1789797878.504106,4.961,0,4.961,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260919T060431Z_0dcccccb,19,fault,1789797878.504106,1789797878.5105941,6.269,0,6.269,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260919T060431Z_0dcccccb,20,recovery,1789797879.5085056,1789797879.514892,6.028,0,6.028,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260919T060431Z_0dcccccb,21,recovery,1789797879.514892,1789797879.520489,5.348,0,5.348,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260919T060431Z_0dcccccb,22,recovery,1789797879.520489,1789797879.5264869,5.832,0,5.832,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260919T060431Z_0dcccccb,23,recovery,1789797879.5264869,1789797879.5312698,5.248,0,5.248,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260919T060431Z_0dcccccb,24,recovery,1789797879.5319083,1789797879.5367086,5.02,0,5.02,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260919T060431Z_0dcccccb,25,recovery,1789797879.5367086,1789797879.542593,5.714,0,5.714,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260919T060431Z_0dcccccb,26,recovery,1789797879.542593,1789797879.5481036,5.356,0,5.356,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260919T060431Z_0dcccccb,27,recovery,1789797879.5481036,1789797879.5531867,5.383,0,5.383,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260919T060431Z_0dcccccb,28,recovery,1789797879.5531867,1789797879.5585055,4.789,0,4.789,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260919T060431Z_0dcccccb,29,recovery,1789797879.5585055,1789797879.5636752,5.113,0,5.113,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260919T060431Z_0dcccccb,30,recovery,1789797879.5636752,1789797879.5686562,5.308,0,5.308,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 30}"
