run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T060442Z_05536c8c,1,normal,1789797883.1368995,1789797883.20139,63.89,0,63.89,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 1, ""max_seen_before"": -1, ""violation"": false}, {""version"": 1, ""max_seen_before"": 1, ""violation"": false}]}"
20260919T060442Z_05536c8c,2,normal,1789797883.20139,1789797883.2172709,16.065,0,16.065,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 2, ""max_seen_before"": 1, ""violation"": false}, {""version"": 2, ""max_seen_before"": 2, ""violation"": false}]}"
20260919T060442Z_05536c8c,3,normal,1789797883.2186873,1789797883.2339258,15.045,0,15.045,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 3, ""max_seen_before"": 2, ""violation"": false}, {""version"": 3, ""max_seen_before"": 3, ""violation"": false}]}"
20260919T060442Z_05536c8c,4,normal,1789797883.2339258,1789797883.2477853,13.659,0,13.659,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 4, ""max_seen_before"": 3, ""violation"": false}, {""version"": 4, ""max_seen_before"": 4, ""violation"": false}]}"
20260919T060442Z_05536c8c,5,normal,1789797883.2477853,1789797883.2608924,12.888,0,12.888,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 5, ""max_seen_before"": 4, ""violation"": false}, {""version"": 5, ""max_seen_before"": 5, ""violation"": false}]}"
20260919T060442Z_05536c8c,6,normal,1789797883.2608924,1789797883.2735455,12.869,0,12.869,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 6, ""max_seen_before"": 5, ""violation"": false}, {""version"": 6, ""max_seen_before"": 6, ""violation"": false}]}"
20260919T060442Z_05536c8c,7,normal,1789797883.2741468,1789797883.2872336,13.196,0,13.196,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 7, ""max_seen_before"": 6, ""violation"": false}, {""version"": 7, ""max_seen_before"": 7, ""violation"": false}]}"
20260919T060442Z_05536c8c,8,normal,1789797883.2872336,1789797883.3005517,13.123,0,13.123,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 8, ""max_seen_before"": 7, ""violation"": false}, {""version"": 8, ""max_seen_before"": 8, ""violation"": false}]}"
20260919T060442Z_05536c8c,9,normal,1789797883.3005517,1789797883.313703,13.462,0,13.462,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 9, ""max_seen_before"": 8, ""violation"": false}, {""version"": 9, ""max_seen_before"": 9, ""violation"": false}]}"
20260919T060442Z_05536c8c,10,transition,1789797883.313703,1789797884.24147,927.574,910.335,17.239,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 10, ""max_seen_before"": 9, ""violation"": false}, {""version"": 10, ""max_seen_before"": 10, ""violation"": false}]}"
20260919T060442Z_05536c8c,11,fault,1789797884.24147,1789797894.2455835,10003.953,0,10003.953,error,"NetworkTimeout: mongo1:27017: timed out (configured timeouts: socketTimeoutMS: 10000.0ms, connectTimeoutMS: 5000.0ms)",first_write,"{""error_type"": ""NetworkTimeout"", ""error_code"": null}"
20260919T060442Z_05536c8c,12,fault,1789797894.2455835,1789797897.840628,3594.645,0,3594.645,error,_OperationCancelled: operation cancelled,first_write,"{""error_type"": ""_OperationCancelled"", ""error_code"": null}"
20260919T060442Z_05536c8c,13,fault,1789797897.840628,1789797898.6188672,778.641,0,778.641,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 13, ""max_seen_before"": 10, ""violation"": false}, {""version"": 13, ""max_seen_before"": 13, ""violation"": false}]}"
20260919T060442Z_05536c8c,14,fault,1789797898.6188672,1789797900.6099946,1990.817,0,1990.817,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 14, ""max_seen_before"": 13, ""violation"": false}, {""version"": 14, ""max_seen_before"": 14, ""violation"": false}]}"
20260919T060442Z_05536c8c,15,fault,1789797900.6106005,1789797902.6098673,1999.174,0,1999.174,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 15, ""max_seen_before"": 14, ""violation"": false}, {""version"": 15, ""max_seen_before"": 15, ""violation"": false}]}"
20260919T060442Z_05536c8c,16,fault,1789797902.6098673,1789797904.612602,2002.883,0,2002.883,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 16, ""max_seen_before"": 15, ""violation"": false}, {""version"": 16, ""max_seen_before"": 16, ""violation"": false}]}"
20260919T060442Z_05536c8c,17,fault,1789797904.612602,1789797906.6124089,1999.837,0,1999.837,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 17, ""max_seen_before"": 16, ""violation"": false}, {""version"": 17, ""max_seen_before"": 17, ""violation"": false}]}"
