run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T060528Z_96d338f2,1,normal,1789797929.2608628,1789797929.310939,49.643,0,49.643,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:1"", ""w:2""], ""previous_ack"": null, ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:1"", ""depends_on"": null}, {""_id"": ""w:2"", ""depends_on"": ""w:1""}]}"
20260919T060528Z_96d338f2,2,normal,1789797929.310939,1789797929.3313227,20.325,0,20.325,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:2"", ""w:3"", ""w:4""], ""previous_ack"": ""w:2"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:3"", ""depends_on"": ""w:2""}, {""_id"": ""w:4"", ""depends_on"": ""w:3""}]}"
20260919T060528Z_96d338f2,3,normal,1789797929.3318832,1789797929.3510375,19.021,0,19.021,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:4"", ""w:5"", ""w:6""], ""previous_ack"": ""w:4"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:5"", ""depends_on"": ""w:4""}, {""_id"": ""w:6"", ""depends_on"": ""w:5""}]}"
20260919T060528Z_96d338f2,4,normal,1789797929.3510375,1789797929.3708377,19.662,0,19.662,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:6"", ""w:7"", ""w:8""], ""previous_ack"": ""w:6"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:7"", ""depends_on"": ""w:6""}, {""_id"": ""w:8"", ""depends_on"": ""w:7""}]}"
20260919T060528Z_96d338f2,5,normal,1789797929.3708377,1789797929.3896387,18.678,0,18.678,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:10"", ""w:8"", ""w:9""], ""previous_ack"": ""w:8"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:10"", ""depends_on"": ""w:9""}, {""_id"": ""w:9"", ""depends_on"": ""w:8""}]}"
20260919T060528Z_96d338f2,6,normal,1789797929.3896387,1789797929.409138,19.101,0,19.101,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:10"", ""w:11"", ""w:12""], ""previous_ack"": ""w:10"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:11"", ""depends_on"": ""w:10""}, {""_id"": ""w:12"", ""depends_on"": ""w:11""}]}"
20260919T060528Z_96d338f2,7,normal,1789797929.409138,1789797929.4291582,19.973,0,19.973,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:12"", ""w:13"", ""w:14""], ""previous_ack"": ""w:12"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:13"", ""depends_on"": ""w:12""}, {""_id"": ""w:14"", ""depends_on"": ""w:13""}]}"
20260919T060528Z_96d338f2,8,normal,1789797929.4291582,1789797929.4515505,22.274,0,22.274,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:14"", ""w:15"", ""w:16""], ""previous_ack"": ""w:14"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:15"", ""depends_on"": ""w:14""}, {""_id"": ""w:16"", ""depends_on"": ""w:15""}]}"
20260919T060528Z_96d338f2,9,normal,1789797929.4515505,1789797929.4699082,18.622,0,18.622,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:16"", ""w:17"", ""w:18""], ""previous_ack"": ""w:16"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:17"", ""depends_on"": ""w:16""}, {""_id"": ""w:18"", ""depends_on"": ""w:17""}]}"
20260919T060528Z_96d338f2,10,transition,1789797929.4706042,1789797940.467137,10996.89,971.36,10025.53,error,"NetworkTimeout: mongo1:27017: timed out (configured timeouts: socketTimeoutMS: 10000.0ms, connectTimeoutMS: 5000.0ms)",second_write,"{""first_acknowledged"": true, ""error_type"": ""NetworkTimeout"", ""error_code"": null}"
20260919T060528Z_96d338f2,11,fault,1789797940.467137,1789797943.7157502,3248.413,0,3248.413,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:19"", ""w:21"", ""w:22""], ""previous_ack"": ""w:19"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:21"", ""depends_on"": ""w:19""}, {""_id"": ""w:22"", ""depends_on"": ""w:21""}]}"
20260919T060528Z_96d338f2,12,fault,1789797943.7163239,1789797947.7201724,4003.847,0,4003.847,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:22"", ""w:23"", ""w:24""], ""previous_ack"": ""w:22"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:23"", ""depends_on"": ""w:22""}, {""_id"": ""w:24"", ""depends_on"": ""w:23""}]}"
20260919T060528Z_96d338f2,13,fault,1789797947.7201724,1789797951.7229438,4002.613,0,4002.613,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:24"", ""w:25"", ""w:26""], ""previous_ack"": ""w:24"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:25"", ""depends_on"": ""w:24""}, {""_id"": ""w:26"", ""depends_on"": ""w:25""}]}"
20260919T060528Z_96d338f2,14,fault,1789797951.7229438,1789797955.7231765,4000.794,0,4000.794,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:26"", ""w:27"", ""w:28""], ""previous_ack"": ""w:26"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:27"", ""depends_on"": ""w:26""}, {""_id"": ""w:28"", ""depends_on"": ""w:27""}]}"
20260919T060528Z_96d338f2,15,fault,1789797955.7238548,1789797959.728037,4004.58,0,4004.58,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:28"", ""w:29"", ""w:30""], ""previous_ack"": ""w:28"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:29"", ""depends_on"": ""w:28""}, {""_id"": ""w:30"", ""depends_on"": ""w:29""}]}"
20260919T060528Z_96d338f2,16,fault,1789797959.7285945,1789797963.7291517,4001.113,0,4001.113,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:30"", ""w:31"", ""w:32""], ""previous_ack"": ""w:30"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:31"", ""depends_on"": ""w:30""}, {""_id"": ""w:32"", ""depends_on"": ""w:31""}]}"
20260919T060528Z_96d338f2,17,fault,1789797963.7299361,1789797964.4872293,757.528,0,757.528,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:32"", ""w:33"", ""w:34""], ""previous_ack"": ""w:32"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:33"", ""depends_on"": ""w:32""}, {""_id"": ""w:34"", ""depends_on"": ""w:33""}]}"
20260919T060528Z_96d338f2,18,fault,1789797964.4872293,1789797964.5011163,14.045,0,14.045,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:34"", ""w:35"", ""w:36""], ""previous_ack"": ""w:34"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:35"", ""depends_on"": ""w:34""}, {""_id"": ""w:36"", ""depends_on"": ""w:35""}]}"
20260919T060528Z_96d338f2,19,fault,1789797964.501625,1789797964.5171158,15.957,0,15.957,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:36"", ""w:37"", ""w:38""], ""previous_ack"": ""w:36"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:37"", ""depends_on"": ""w:36""}, {""_id"": ""w:38"", ""depends_on"": ""w:37""}]}"
20260919T060528Z_96d338f2,20,recovery,1789797965.1963382,1789797965.212915,16.466,0,16.466,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:38"", ""w:39"", ""w:40""], ""previous_ack"": ""w:38"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:39"", ""depends_on"": ""w:38""}, {""_id"": ""w:40"", ""depends_on"": ""w:39""}]}"
20260919T060528Z_96d338f2,21,recovery,1789797965.212915,1789797965.228433,15.415,0,15.415,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:40"", ""w:41"", ""w:42""], ""previous_ack"": ""w:40"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:41"", ""depends_on"": ""w:40""}, {""_id"": ""w:42"", ""depends_on"": ""w:41""}]}"
20260919T060528Z_96d338f2,22,recovery,1789797965.228433,1789797965.24811,19.684,0,19.684,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:42"", ""w:43"", ""w:44""], ""previous_ack"": ""w:42"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:43"", ""depends_on"": ""w:42""}, {""_id"": ""w:44"", ""depends_on"": ""w:43""}]}"
20260919T060528Z_96d338f2,23,recovery,1789797965.24811,1789797965.2627184,14.313,0,14.313,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:44"", ""w:45"", ""w:46""], ""previous_ack"": ""w:44"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:45"", ""depends_on"": ""w:44""}, {""_id"": ""w:46"", ""depends_on"": ""w:45""}]}"
20260919T060528Z_96d338f2,24,recovery,1789797965.2627184,1789797965.278023,15.588,0,15.588,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:46"", ""w:47"", ""w:48""], ""previous_ack"": ""w:46"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:47"", ""depends_on"": ""w:46""}, {""_id"": ""w:48"", ""depends_on"": ""w:47""}]}"
20260919T060528Z_96d338f2,25,recovery,1789797965.2785625,1789797965.2934139,15.1,0,15.1,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:48"", ""w:49"", ""w:50""], ""previous_ack"": ""w:48"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:49"", ""depends_on"": ""w:48""}, {""_id"": ""w:50"", ""depends_on"": ""w:49""}]}"
20260919T060528Z_96d338f2,26,recovery,1789797965.2934139,1789797965.3088012,15.018,0,15.018,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:50"", ""w:51"", ""w:52""], ""previous_ack"": ""w:50"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:51"", ""depends_on"": ""w:50""}, {""_id"": ""w:52"", ""depends_on"": ""w:51""}]}"
20260919T060528Z_96d338f2,27,recovery,1789797965.3088012,1789797965.3257525,16.904,0,16.904,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:52"", ""w:53"", ""w:54""], ""previous_ack"": ""w:52"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:53"", ""depends_on"": ""w:52""}, {""_id"": ""w:54"", ""depends_on"": ""w:53""}]}"
20260919T060528Z_96d338f2,28,recovery,1789797965.3257525,1789797965.3427794,16.949,0,16.949,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:54"", ""w:55"", ""w:56""], ""previous_ack"": ""w:54"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:55"", ""depends_on"": ""w:54""}, {""_id"": ""w:56"", ""depends_on"": ""w:55""}]}"
20260919T060528Z_96d338f2,29,recovery,1789797965.3427794,1789797965.3582063,15.399,0,15.399,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:56"", ""w:57"", ""w:58""], ""previous_ack"": ""w:56"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:57"", ""depends_on"": ""w:56""}, {""_id"": ""w:58"", ""depends_on"": ""w:57""}]}"
20260919T060528Z_96d338f2,30,recovery,1789797965.3582063,1789797965.3760786,18.847,0,18.847,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:58"", ""w:59"", ""w:60""], ""previous_ack"": ""w:58"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:59"", ""depends_on"": ""w:58""}, {""_id"": ""w:60"", ""depends_on"": ""w:59""}]}"
