run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T060641Z_c14eff8c,1,normal,1789798002.5649018,1789798002.606742,41.798,0,41.798,violation,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 1, ""max_seen_before"": -1, ""violation"": false}, {""version"": -1, ""max_seen_before"": 1, ""violation"": true}]}"
20260919T060641Z_c14eff8c,2,normal,1789798002.6073349,1789798002.6201434,12.906,0,12.906,violation,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 2, ""max_seen_before"": 1, ""violation"": false}, {""version"": -1, ""max_seen_before"": 2, ""violation"": true}]}"
20260919T060641Z_c14eff8c,3,normal,1789798002.6212626,1789798002.635433,14.134,0,14.134,violation,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 3, ""max_seen_before"": 2, ""violation"": false}, {""version"": -1, ""max_seen_before"": 3, ""violation"": true}]}"
20260919T060641Z_c14eff8c,4,normal,1789798002.635433,1789798002.6551812,19.613,0,19.613,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 4, ""max_seen_before"": 3, ""violation"": false}, {""version"": 4, ""max_seen_before"": 4, ""violation"": false}]}"
20260919T060641Z_c14eff8c,5,normal,1789798002.6551812,1789798002.6688974,13.937,0,13.937,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 5, ""max_seen_before"": 4, ""violation"": false}, {""version"": 5, ""max_seen_before"": 5, ""violation"": false}]}"
20260919T060641Z_c14eff8c,6,normal,1789798002.6688974,1789798002.6815536,12.625,0,12.625,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 6, ""max_seen_before"": 5, ""violation"": false}, {""version"": 6, ""max_seen_before"": 6, ""violation"": false}]}"
20260919T060641Z_c14eff8c,7,normal,1789798002.682158,1789798002.696545,14.71,0,14.71,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 7, ""max_seen_before"": 6, ""violation"": false}, {""version"": 7, ""max_seen_before"": 7, ""violation"": false}]}"
20260919T060641Z_c14eff8c,8,normal,1789798002.6971114,1789798002.7100484,13.058,0,13.058,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 8, ""max_seen_before"": 7, ""violation"": false}, {""version"": 8, ""max_seen_before"": 8, ""violation"": false}]}"
20260919T060641Z_c14eff8c,9,normal,1789798002.7100484,1789798002.7224734,12.628,0,12.628,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 9, ""max_seen_before"": 8, ""violation"": false}, {""version"": 9, ""max_seen_before"": 9, ""violation"": false}]}"
20260919T060641Z_c14eff8c,10,transition,1789798002.7224734,1789798008.8127859,6089.732,6072.106,17.626,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 10, ""max_seen_before"": 9, ""violation"": false}, {""version"": 10, ""max_seen_before"": 10, ""violation"": false}]}"
