run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T060802Z_07637119,1,normal,1789798083.534241,1789798083.5636592,29.63,0,29.63,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260919T060802Z_07637119,2,normal,1789798083.5642996,1789798083.5755112,11.44,0,11.44,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260919T060802Z_07637119,3,normal,1789798083.5755112,1789798083.5856588,10.405,0,10.405,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260919T060802Z_07637119,4,normal,1789798083.587297,1789798083.5966527,9.436,0,9.436,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260919T060802Z_07637119,5,normal,1789798083.5966527,1789798083.6065197,9.965,0,9.965,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260919T060802Z_07637119,6,normal,1789798083.607072,1789798083.6188905,11.907,0,11.907,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260919T060802Z_07637119,7,normal,1789798083.6188905,1789798083.629614,10.556,0,10.556,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260919T060802Z_07637119,8,normal,1789798083.629614,1789798083.6391683,9.672,0,9.672,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260919T060802Z_07637119,9,normal,1789798083.6391683,1789798083.6496549,10.21,0,10.21,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260919T060802Z_07637119,10,transition,1789798083.6496549,1789798089.7700925,6120.42,6100.473,19.947,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260919T060802Z_07637119,11,fault,1789798089.7700925,1789798089.783628,13.441,0,13.441,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260919T060802Z_07637119,12,fault,1789798089.783628,1789798089.7938604,10.23,0,10.23,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260919T060802Z_07637119,13,fault,1789798089.7938604,1789798089.8042583,10.284,0,10.284,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260919T060802Z_07637119,14,fault,1789798089.8042583,1789798089.815407,11.15,0,11.15,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260919T060802Z_07637119,15,fault,1789798089.815407,1789798089.8267305,11.042,0,11.042,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260919T060802Z_07637119,16,fault,1789798089.8267305,1789798089.8386931,11.64,0,11.64,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260919T060802Z_07637119,17,fault,1789798089.8386931,1789798089.8485298,10.225,0,10.225,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260919T060802Z_07637119,18,fault,1789798089.849187,1789798089.858991,9.963,0,9.963,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260919T060802Z_07637119,19,fault,1789798089.858991,1789798089.8699248,10.896,0,10.896,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260919T060802Z_07637119,20,recovery,1789798090.911249,1789798090.9229057,11.684,0,11.684,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260919T060802Z_07637119,21,recovery,1789798090.9229057,1789798090.930864,7.987,0,7.987,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260919T060802Z_07637119,22,recovery,1789798090.930864,1789798090.9466105,15.308,0,15.308,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260919T060802Z_07637119,23,recovery,1789798090.9466105,1789798090.955773,9.073,0,9.073,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260919T060802Z_07637119,24,recovery,1789798090.955773,1789798090.9639065,8.594,0,8.594,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260919T060802Z_07637119,25,recovery,1789798090.9646401,1789798090.9728434,8.607,0,8.607,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260919T060802Z_07637119,26,recovery,1789798090.9728434,1789798090.981367,8.343,0,8.343,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260919T060802Z_07637119,27,recovery,1789798090.981367,1789798090.9903905,9.246,0,9.246,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260919T060802Z_07637119,28,recovery,1789798090.9903905,1789798090.9991326,8.751,0,8.751,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260919T060802Z_07637119,29,recovery,1789798090.9991326,1789798091.0088882,9.414,0,9.414,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260919T060802Z_07637119,30,recovery,1789798091.0088882,1789798091.018579,10.023,0,10.023,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 30}"
