run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T060852Z_1653f488,1,normal,1789798132.916401,1789798132.9287744,12.044,0,12.044,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,2,normal,1789798132.9287744,1789798132.935438,6.51,0,6.51,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,3,normal,1789798132.935438,1789798132.941927,6.306,0,6.306,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,4,normal,1789798132.9431005,1789798132.9491146,6.114,0,6.114,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,5,normal,1789798132.9491146,1789798132.9558766,6.57,0,6.57,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,6,normal,1789798132.9558766,1789798132.962098,5.917,0,5.917,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,7,normal,1789798132.962098,1789798132.9683235,6.579,0,6.579,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,8,normal,1789798132.9689186,1789798132.975216,6.33,0,6.33,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,9,normal,1789798132.975216,1789798132.9818413,6.426,0,6.426,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,10,normal,1789798132.9818413,1789798132.9878194,6.402,0,6.402,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,11,normal,1789798132.9884143,1789798132.9936924,5.676,0,5.676,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,12,normal,1789798132.9936924,1789798133.0003264,6.457,0,6.457,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,13,normal,1789798133.0003264,1789798133.0062463,5.84,0,5.84,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,14,normal,1789798133.0062463,1789798133.0125952,6.046,0,6.046,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,15,normal,1789798133.0125952,1789798133.0195394,6.652,0,6.652,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,16,normal,1789798133.0195394,1789798133.0256846,6.193,0,6.193,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,17,normal,1789798133.0256846,1789798133.0316067,5.972,0,5.972,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,18,normal,1789798133.0316067,1789798133.0373929,5.362,0,5.362,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,19,normal,1789798133.0373929,1789798133.0422852,5.107,0,5.107,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,20,normal,1789798133.0422852,1789798133.048428,5.678,0,5.678,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,21,normal,1789798133.048428,1789798133.053952,5.986,0,5.986,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,22,normal,1789798133.0545542,1789798133.0604117,6.08,0,6.08,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,23,normal,1789798133.0604117,1789798133.0662138,5.883,0,5.883,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,24,normal,1789798133.0662138,1789798133.0716815,5.482,0,5.482,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,25,normal,1789798133.0723476,1789798133.077922,5.692,0,5.692,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,26,normal,1789798133.077922,1789798133.0832155,5.587,0,5.587,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,27,normal,1789798133.0832155,1789798133.088846,5.607,0,5.607,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,28,normal,1789798133.0895526,1789798133.0954468,6.168,0,6.168,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,29,normal,1789798133.0954468,1789798133.1021295,6.54,0,6.54,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060852Z_1653f488,30,normal,1789798133.1021295,1789798133.108878,6.573,0,6.573,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
