run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T060937Z_d1a648ae,1,normal,1789798178.0982192,1789798178.1336355,35.776,0,35.776,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 1, ""max_seen_before"": -1, ""violation"": false}, {""version"": 1, ""max_seen_before"": 1, ""violation"": false}]}"
20260919T060937Z_d1a648ae,2,normal,1789798178.1342692,1789798178.1501167,15.772,0,15.772,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 2, ""max_seen_before"": 1, ""violation"": false}, {""version"": 2, ""max_seen_before"": 2, ""violation"": false}]}"
20260919T060937Z_d1a648ae,3,normal,1789798178.1507351,1789798178.161374,10.978,0,10.978,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 3, ""max_seen_before"": 2, ""violation"": false}, {""version"": 3, ""max_seen_before"": 3, ""violation"": false}]}"
20260919T060937Z_d1a648ae,4,normal,1789798178.161374,1789798178.171745,10.129,0,10.129,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 4, ""max_seen_before"": 3, ""violation"": false}, {""version"": 4, ""max_seen_before"": 4, ""violation"": false}]}"
20260919T060937Z_d1a648ae,5,normal,1789798178.171745,1789798178.1816945,9.856,0,9.856,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 5, ""max_seen_before"": 4, ""violation"": false}, {""version"": 5, ""max_seen_before"": 5, ""violation"": false}]}"
20260919T060937Z_d1a648ae,6,normal,1789798178.1816945,1789798178.1920147,10.137,0,10.137,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 6, ""max_seen_before"": 5, ""violation"": false}, {""version"": 6, ""max_seen_before"": 6, ""violation"": false}]}"
20260919T060937Z_d1a648ae,7,normal,1789798178.1920147,1789798178.2030761,10.79,0,10.79,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 7, ""max_seen_before"": 6, ""violation"": false}, {""version"": 7, ""max_seen_before"": 7, ""violation"": false}]}"
20260919T060937Z_d1a648ae,8,normal,1789798178.2030761,1789798178.2127974,9.757,0,9.757,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 8, ""max_seen_before"": 7, ""violation"": false}, {""version"": 8, ""max_seen_before"": 8, ""violation"": false}]}"
20260919T060937Z_d1a648ae,9,normal,1789798178.2127974,1789798178.223002,10.115,0,10.115,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 9, ""max_seen_before"": 8, ""violation"": false}, {""version"": 9, ""max_seen_before"": 9, ""violation"": false}]}"
20260919T060937Z_d1a648ae,10,transition,1789798178.223002,1789798184.4368446,6213.397,6199.914,13.483,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 10, ""max_seen_before"": 9, ""violation"": false}, {""version"": 10, ""max_seen_before"": 10, ""violation"": false}]}"
20260919T060937Z_d1a648ae,11,fault,1789798184.4368446,1789798184.4528418,16.117,0,16.117,violation,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 11, ""max_seen_before"": 10, ""violation"": false}, {""version"": 10, ""max_seen_before"": 11, ""violation"": true}]}"
20260919T060937Z_d1a648ae,12,fault,1789798184.4528418,1789798184.4630458,10.409,0,10.409,violation,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 12, ""max_seen_before"": 11, ""violation"": false}, {""version"": 10, ""max_seen_before"": 12, ""violation"": true}]}"
