run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T060948Z_56733533,1,normal,1789798188.9616868,1789798188.9934173,31.901,0,31.901,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T060948Z_56733533,2,normal,1789798188.9940534,1789798189.0005817,6.647,0,6.647,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260919T060948Z_56733533,3,normal,1789798189.0005817,1789798189.0087101,7.829,0,7.829,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260919T060948Z_56733533,4,normal,1789798189.0087101,1789798189.0174675,8.215,0,8.215,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260919T060948Z_56733533,5,normal,1789798189.0174675,1789798189.025416,8.046,0,8.046,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260919T060948Z_56733533,6,normal,1789798189.0260587,1789798189.0316772,5.853,0,5.853,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260919T060948Z_56733533,7,normal,1789798189.0316772,1789798189.0388956,6.797,0,6.797,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260919T060948Z_56733533,8,normal,1789798189.0388956,1789798189.0450404,6.502,0,6.502,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260919T060948Z_56733533,9,normal,1789798189.0456145,1789798189.0525873,7.127,0,7.127,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260919T060948Z_56733533,10,transition,1789798189.0525873,1789798189.9359694,883.276,872.78,10.496,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260919T060948Z_56733533,11,fault,1789798189.9359694,1789798199.9571118,10020.969,0,10020.969,error,"NetworkTimeout: mongo1:27017: timed out (configured timeouts: socketTimeoutMS: 10000.0ms, connectTimeoutMS: 5000.0ms)",first_write,"{""error_type"": ""NetworkTimeout"", ""error_code"": null}"
20260919T060948Z_56733533,12,fault,1789798199.9571118,1789798199.993643,36.274,0,36.274,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260919T060948Z_56733533,13,fault,1789798199.993643,1789798199.9999826,6.703,0,6.703,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260919T060948Z_56733533,14,fault,1789798200.0006084,1789798200.0076718,7.349,0,7.349,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260919T060948Z_56733533,15,fault,1789798200.0076718,1789798200.0159357,7.956,0,7.956,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260919T060948Z_56733533,16,fault,1789798200.0159357,1789798200.0233107,7.488,0,7.488,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260919T060948Z_56733533,17,fault,1789798200.0233107,1789798200.030252,6.662,0,6.662,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260919T060948Z_56733533,18,fault,1789798200.030252,1789798200.0374024,6.921,0,6.921,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260919T060948Z_56733533,19,fault,1789798200.0374024,1789798200.0440428,6.657,0,6.657,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260919T060948Z_56733533,20,recovery,1789798200.81734,1789798200.8255544,8.407,0,8.407,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260919T060948Z_56733533,21,recovery,1789798200.8255544,1789798200.839442,13.653,0,13.653,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260919T060948Z_56733533,22,recovery,1789798200.839442,1789798200.8457487,6.919,0,6.919,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260919T060948Z_56733533,23,recovery,1789798200.8457487,1789798200.854783,7.925,0,7.925,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260919T060948Z_56733533,24,recovery,1789798200.854783,1789798200.8612323,6.587,0,6.587,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260919T060948Z_56733533,25,recovery,1789798200.8612323,1789798200.8682415,6.895,0,6.895,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260919T060948Z_56733533,26,recovery,1789798200.8682415,1789798200.8748662,6.27,0,6.27,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260919T060948Z_56733533,27,recovery,1789798200.8748662,1789798200.8813982,6.594,0,6.594,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260919T060948Z_56733533,28,recovery,1789798200.8813982,1789798200.8893464,7.431,0,7.431,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260919T060948Z_56733533,29,recovery,1789798200.8893464,1789798200.8960834,6.746,0,6.746,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260919T060948Z_56733533,30,recovery,1789798200.8960834,1789798200.9032342,6.937,0,6.937,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 30}"
