model,scenario,profile,phase,repeats,attempts_total,eligible_total,violations_total,errors_total,not_observed_total,successful_mr_reads_total,mr_read_regressions_total,violation_rate_mean,violation_rate_sd,violation_rate_n,coverage_mean,coverage_sd,coverage_n,eligible_workload_p50_ms_mean,eligible_workload_p50_ms_sd,eligible_workload_p50_ms_n,eligible_workload_p95_ms_mean,eligible_workload_p95_ms_sd,eligible_workload_p95_ms_n
mr,failure,causal,fault,1,9,9,0,0,0,18,0,0.0,,1,1.0,,1,14.055,,1,268.705,,1
mr,failure,causal,normal,1,9,9,0,0,0,18,0,0.0,,1,1.0,,1,60.289,,1,1643.864,,1
mr,failure,causal,overall,1,30,30,0,0,0,60,0,0.0,,1,1.0,,1,15.47,,1,842.769,,1
mr,failure,causal,recovery,1,11,11,0,0,0,22,0,0.0,,1,1.0,,1,14.3,,1,16.784,,1
mr,failure,causal,transition,1,1,1,0,0,0,2,0,0.0,,1,1.0,,1,19.564,,1,19.564,,1
mr,failure,majority,fault,1,9,9,0,0,0,18,0,0.0,,1,1.0,,1,14.254,,1,370.642,,1
mr,failure,majority,normal,1,9,9,3,0,0,18,3,0.3333333333333333,,1,1.0,,1,13.937,,1,41.798,,1
mr,failure,majority,overall,1,30,30,3,0,0,60,3,0.1,,1,1.0,,1,13.058,,1,41.798,,1
mr,failure,majority,recovery,1,11,11,0,0,0,22,0,0.0,,1,1.0,,1,11.443,,1,13.126,,1
mr,failure,majority,transition,1,1,1,0,0,0,2,0,0.0,,1,1.0,,1,17.626,,1,17.626,,1
mr,failure,weak,fault,1,9,9,9,0,0,18,9,1.0,,1,1.0,,1,9.988,,1,16.117,,1
mr,failure,weak,normal,1,9,9,0,0,0,18,0,0.0,,1,1.0,,1,10.137,,1,35.776,,1
mr,failure,weak,overall,1,30,30,9,0,0,60,9,0.3,,1,1.0,,1,9.856,,1,16.117,,1
mr,failure,weak,recovery,1,11,11,0,0,0,22,0,0.0,,1,1.0,,1,8.424,,1,11.55,,1
mr,failure,weak,transition,1,1,1,0,0,0,2,0,0.0,,1,1.0,,1,13.483,,1,13.483,,1
mr,normal,causal,normal,1,30,30,0,0,0,60,0,0.0,,1,1.0,,1,13.538,,1,20.851,,1
mr,normal,causal,overall,1,30,30,0,0,0,60,0,0.0,,1,1.0,,1,13.538,,1,20.851,,1
mr,normal,majority,normal,1,30,30,0,0,0,60,0,0.0,,1,1.0,,1,12.565,,1,41.75,,1
mr,normal,majority,overall,1,30,30,0,0,0,60,0,0.0,,1,1.0,,1,12.565,,1,41.75,,1
mr,normal,weak,normal,1,30,30,2,0,0,60,2,0.06666666666666667,,1,1.0,,1,10.483,,1,12.205,,1
