run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T135423Z_19292993,1,normal,1789739663.9115193,1789739663.9406686,29.112,0,29.112,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260918T135423Z_19292993,2,normal,1789739663.9412491,1789739663.9511526,9.834,0,9.834,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260918T135423Z_19292993,3,normal,1789739663.9511526,1789739663.9607086,9.627,0,9.627,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260918T135423Z_19292993,4,normal,1789739663.9619524,1789739663.9731264,11.339,0,11.339,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260918T135423Z_19292993,5,normal,1789739663.9731264,1789739663.9927442,19.651,0,19.651,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260918T135423Z_19292993,6,normal,1789739663.9927442,1789739664.005497,12.239,0,12.239,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260918T135423Z_19292993,7,normal,1789739664.005497,1789739664.016432,11.291,0,11.291,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260918T135423Z_19292993,8,normal,1789739664.0170064,1789739664.0262523,9.688,0,9.688,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260918T135423Z_19292993,9,normal,1789739664.0262523,1789739664.0368066,10.108,0,10.108,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260918T135423Z_19292993,10,normal,1789739664.0368066,1789739664.0465472,9.776,0,9.776,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260918T135423Z_19292993,11,normal,1789739664.0465472,1789739664.0564744,9.696,0,9.696,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260918T135423Z_19292993,12,normal,1789739664.0564744,1789739664.065995,9.536,0,9.536,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260918T135423Z_19292993,13,normal,1789739664.065995,1789739664.0767803,10.396,0,10.396,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260918T135423Z_19292993,14,normal,1789739664.0767803,1789739664.0865521,9.975,0,9.975,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260918T135423Z_19292993,15,normal,1789739664.0865521,1789739664.0970602,10.074,0,10.074,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260918T135423Z_19292993,16,normal,1789739664.0970602,1789739664.1076145,10.987,0,10.987,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260918T135423Z_19292993,17,normal,1789739664.1076145,1789739664.1188288,10.675,0,10.675,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260918T135423Z_19292993,18,normal,1789739664.1188288,1789739664.129148,10.335,0,10.335,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260918T135423Z_19292993,19,normal,1789739664.129148,1789739664.1410623,11.662,0,11.662,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260918T135423Z_19292993,20,normal,1789739664.1410623,1789739664.1533644,12.307,0,12.307,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260918T135423Z_19292993,21,normal,1789739664.1533644,1789739664.1665328,13.013,0,13.013,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260918T135423Z_19292993,22,normal,1789739664.1665328,1789739664.1783755,11.61,0,11.61,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260918T135423Z_19292993,23,normal,1789739664.1783755,1789739664.1915057,13.024,0,13.024,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260918T135423Z_19292993,24,normal,1789739664.1915057,1789739664.202695,11.186,0,11.186,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260918T135423Z_19292993,25,normal,1789739664.202695,1789739664.2160695,13.275,0,13.275,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260918T135423Z_19292993,26,normal,1789739664.2160695,1789739664.2280362,11.997,0,11.997,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260918T135423Z_19292993,27,normal,1789739664.2280362,1789739664.2398798,11.329,0,11.329,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260918T135423Z_19292993,28,normal,1789739664.2398798,1789739664.2515297,11.911,0,11.911,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260918T135423Z_19292993,29,normal,1789739664.2515297,1789739664.2632952,11.544,0,11.544,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260918T135423Z_19292993,30,normal,1789739664.2632952,1789739664.2742367,11.009,0,11.009,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 30}"
20260918T135423Z_19292993,31,normal,1789739664.2742367,1789739664.2854352,10.7,0,10.7,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 31}"
20260918T135423Z_19292993,32,normal,1789739664.2854352,1789739664.2972682,12.121,0,12.121,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 32}"
20260918T135423Z_19292993,33,normal,1789739664.2972682,1789739664.3091218,11.829,0,11.829,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 33}"
20260918T135423Z_19292993,34,normal,1789739664.3097503,1789739664.3212354,12.068,0,12.068,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 34}"
20260918T135423Z_19292993,35,normal,1789739664.3219898,1789739664.332752,11.428,0,11.428,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 35}"
20260918T135423Z_19292993,36,normal,1789739664.333435,1789739664.3450832,11.816,0,11.816,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 36}"
