run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T135547Z_2b3e7ef3,1,normal,1789739747.7942944,1789739747.8369036,42.76,0,42.76,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260918T135547Z_2b3e7ef3,2,normal,1789739747.8375115,1789739747.8680987,30.927,0,30.927,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260918T135547Z_2b3e7ef3,3,normal,1789739747.8687203,1789739747.8814104,12.527,0,12.527,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260918T135547Z_2b3e7ef3,4,normal,1789739747.8814104,1789739747.8933992,11.534,0,11.534,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260918T135547Z_2b3e7ef3,5,normal,1789739747.8933992,1789739747.9043987,10.941,0,10.941,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260918T135547Z_2b3e7ef3,6,normal,1789739747.9043987,1789739747.9153533,10.726,0,10.726,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260918T135547Z_2b3e7ef3,7,normal,1789739747.9153533,1789739747.9256918,10.623,0,10.623,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260918T135547Z_2b3e7ef3,8,normal,1789739747.9256918,1789739747.9357352,9.91,0,9.91,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260918T135547Z_2b3e7ef3,9,normal,1789739747.9357352,1789739747.9461706,10.149,0,10.149,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260918T135547Z_2b3e7ef3,10,normal,1789739747.9461706,1789739747.9559832,9.612,0,9.612,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260918T135547Z_2b3e7ef3,11,normal,1789739747.9559832,1789739747.9659672,9.859,0,9.859,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
