run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T135850Z_c2469c67,1,normal,1789739931.2235205,1789739931.2556875,31.603,0,31.603,violation,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 1, ""max_seen_before"": -1, ""violation"": false}, {""version"": -1, ""max_seen_before"": 1, ""violation"": true}]}"
20260918T135850Z_c2469c67,2,normal,1789739931.2556875,1789739931.2683692,12.195,0,12.195,violation,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 2, ""max_seen_before"": 1, ""violation"": false}, {""version"": -1, ""max_seen_before"": 2, ""violation"": true}]}"
20260918T135850Z_c2469c67,3,normal,1789739931.2683692,1789739931.2802482,11.675,0,11.675,violation,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 3, ""max_seen_before"": 2, ""violation"": false}, {""version"": -1, ""max_seen_before"": 3, ""violation"": true}]}"
20260918T135850Z_c2469c67,4,normal,1789739931.2802482,1789739931.2907813,10.57,0,10.57,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 4, ""max_seen_before"": 3, ""violation"": false}, {""version"": 4, ""max_seen_before"": 4, ""violation"": false}]}"
20260918T135850Z_c2469c67,5,normal,1789739931.2907813,1789739931.30155,10.245,0,10.245,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 5, ""max_seen_before"": 4, ""violation"": false}, {""version"": 5, ""max_seen_before"": 5, ""violation"": false}]}"
20260918T135850Z_c2469c67,6,normal,1789739931.30155,1789739931.3112435,10.009,0,10.009,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 6, ""max_seen_before"": 5, ""violation"": false}, {""version"": 6, ""max_seen_before"": 6, ""violation"": false}]}"
20260918T135850Z_c2469c67,7,normal,1789739931.3112435,1789739931.3210251,9.657,0,9.657,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 7, ""max_seen_before"": 6, ""violation"": false}, {""version"": 7, ""max_seen_before"": 7, ""violation"": false}]}"
20260918T135850Z_c2469c67,8,normal,1789739931.3216271,1789739931.3312435,10.033,0,10.033,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 8, ""max_seen_before"": 7, ""violation"": false}, {""version"": 8, ""max_seen_before"": 8, ""violation"": false}]}"
20260918T135850Z_c2469c67,9,normal,1789739931.3312435,1789739931.3405461,9.314,0,9.314,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 9, ""max_seen_before"": 8, ""violation"": false}, {""version"": 9, ""max_seen_before"": 9, ""violation"": false}]}"
20260918T135850Z_c2469c67,10,normal,1789739931.3411548,1789739931.3515186,10.3,0,10.3,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 10, ""max_seen_before"": 9, ""violation"": false}, {""version"": 10, ""max_seen_before"": 10, ""violation"": false}]}"
20260918T135850Z_c2469c67,11,normal,1789739931.3515186,1789739931.3615036,10.482,0,10.482,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 11, ""max_seen_before"": 10, ""violation"": false}, {""version"": 11, ""max_seen_before"": 11, ""violation"": false}]}"
20260918T135850Z_c2469c67,12,normal,1789739931.3621795,1789739931.3716247,9.879,0,9.879,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 12, ""max_seen_before"": 11, ""violation"": false}, {""version"": 12, ""max_seen_before"": 12, ""violation"": false}]}"
20260918T135850Z_c2469c67,13,normal,1789739931.3722508,1789739931.3816023,9.804,0,9.804,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 13, ""max_seen_before"": 12, ""violation"": false}, {""version"": 13, ""max_seen_before"": 13, ""violation"": false}]}"
20260918T135850Z_c2469c67,14,normal,1789739931.3816023,1789739931.3923404,10.491,0,10.491,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 14, ""max_seen_before"": 13, ""violation"": false}, {""version"": 14, ""max_seen_before"": 14, ""violation"": false}]}"
20260918T135850Z_c2469c67,15,normal,1789739931.3923404,1789739931.4033134,10.802,0,10.802,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 15, ""max_seen_before"": 14, ""violation"": false}, {""version"": 15, ""max_seen_before"": 15, ""violation"": false}]}"
