run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T135902Z_ab0d4ba4,1,normal,1789739943.8589196,1789739943.9060445,45.343,0,45.343,violation,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 1, ""max_seen_before"": -1, ""violation"": false}, {""version"": -1, ""max_seen_before"": 1, ""violation"": true}]}"
20260918T135902Z_ab0d4ba4,2,normal,1789739943.9060445,1789739943.9207253,14.567,0,14.567,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 2, ""max_seen_before"": 1, ""violation"": false}, {""version"": 2, ""max_seen_before"": 2, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,3,normal,1789739943.9213102,1789739943.93674,15.287,0,15.287,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 3, ""max_seen_before"": 2, ""violation"": false}, {""version"": 3, ""max_seen_before"": 3, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,4,normal,1789739943.93674,1789739943.950675,14.209,0,14.209,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 4, ""max_seen_before"": 3, ""violation"": false}, {""version"": 4, ""max_seen_before"": 4, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,5,normal,1789739943.9512844,1789739943.966065,14.795,0,14.795,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 5, ""max_seen_before"": 4, ""violation"": false}, {""version"": 5, ""max_seen_before"": 5, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,6,normal,1789739943.966065,1789739943.9839542,17.95,0,17.95,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 6, ""max_seen_before"": 5, ""violation"": false}, {""version"": 6, ""max_seen_before"": 6, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,7,normal,1789739943.9839542,1789739944.0012872,17.044,0,17.044,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 7, ""max_seen_before"": 6, ""violation"": false}, {""version"": 7, ""max_seen_before"": 7, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,8,normal,1789739944.0012872,1789739944.015741,14.477,0,14.477,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 8, ""max_seen_before"": 7, ""violation"": false}, {""version"": 8, ""max_seen_before"": 8, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,9,normal,1789739944.015741,1789739944.0329564,17.314,0,17.314,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 9, ""max_seen_before"": 8, ""violation"": false}, {""version"": 9, ""max_seen_before"": 9, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,10,normal,1789739944.0335171,1789739944.0485647,15.163,0,15.163,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 10, ""max_seen_before"": 9, ""violation"": false}, {""version"": 10, ""max_seen_before"": 10, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,11,normal,1789739944.0485647,1789739944.0642838,15.898,0,15.898,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 11, ""max_seen_before"": 10, ""violation"": false}, {""version"": 11, ""max_seen_before"": 11, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,12,normal,1789739944.0642838,1789739944.080779,16.121,0,16.121,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 12, ""max_seen_before"": 11, ""violation"": false}, {""version"": 12, ""max_seen_before"": 12, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,13,normal,1789739944.0811145,1789739944.0972314,16.66,0,16.66,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 13, ""max_seen_before"": 12, ""violation"": false}, {""version"": 13, ""max_seen_before"": 13, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,14,normal,1789739944.0978432,1789739944.1125896,15.232,0,15.232,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 14, ""max_seen_before"": 13, ""violation"": false}, {""version"": 14, ""max_seen_before"": 14, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,15,normal,1789739944.1132355,1789739944.1307755,17.791,0,17.791,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 15, ""max_seen_before"": 14, ""violation"": false}, {""version"": 15, ""max_seen_before"": 15, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,16,normal,1789739944.1307755,1789739944.1468728,15.561,0,15.561,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 16, ""max_seen_before"": 15, ""violation"": false}, {""version"": 16, ""max_seen_before"": 16, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,17,normal,1789739944.1468728,1789739944.1648555,18.334,0,18.334,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 17, ""max_seen_before"": 16, ""violation"": false}, {""version"": 17, ""max_seen_before"": 17, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,18,normal,1789739944.1648555,1789739944.1804473,15.384,0,15.384,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 18, ""max_seen_before"": 17, ""violation"": false}, {""version"": 18, ""max_seen_before"": 18, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,19,normal,1789739944.1804473,1789739944.195022,14.583,0,14.583,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 19, ""max_seen_before"": 18, ""violation"": false}, {""version"": 19, ""max_seen_before"": 19, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,20,normal,1789739944.195549,1789739944.2124004,17.148,0,17.148,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 20, ""max_seen_before"": 19, ""violation"": false}, {""version"": 20, ""max_seen_before"": 20, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,21,normal,1789739944.2124004,1789739944.2292426,16.941,0,16.941,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 21, ""max_seen_before"": 20, ""violation"": false}, {""version"": 21, ""max_seen_before"": 21, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,22,normal,1789739944.2298899,1789739944.2464707,16.512,0,16.512,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 22, ""max_seen_before"": 21, ""violation"": false}, {""version"": 22, ""max_seen_before"": 22, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,23,normal,1789739944.2464707,1789739944.2617137,15.395,0,15.395,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 23, ""max_seen_before"": 22, ""violation"": false}, {""version"": 23, ""max_seen_before"": 23, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,24,normal,1789739944.2617137,1789739944.2782345,16.522,0,16.522,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 24, ""max_seen_before"": 23, ""violation"": false}, {""version"": 24, ""max_seen_before"": 24, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,25,normal,1789739944.2782345,1789739944.293429,14.9,0,14.9,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 25, ""max_seen_before"": 24, ""violation"": false}, {""version"": 25, ""max_seen_before"": 25, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,26,normal,1789739944.293429,1789739944.3078163,14.937,0,14.937,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 26, ""max_seen_before"": 25, ""violation"": false}, {""version"": 26, ""max_seen_before"": 26, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,27,normal,1789739944.3078163,1789739944.323328,14.894,0,14.894,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 27, ""max_seen_before"": 26, ""violation"": false}, {""version"": 27, ""max_seen_before"": 27, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,28,normal,1789739944.323328,1789739944.338888,15.461,0,15.461,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 28, ""max_seen_before"": 27, ""violation"": false}, {""version"": 28, ""max_seen_before"": 28, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,29,normal,1789739944.3394558,1789739944.3547058,15.511,0,15.511,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 29, ""max_seen_before"": 28, ""violation"": false}, {""version"": 29, ""max_seen_before"": 29, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,30,normal,1789739944.3547058,1789739944.370575,15.836,0,15.836,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 30, ""max_seen_before"": 29, ""violation"": false}, {""version"": 30, ""max_seen_before"": 30, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,31,normal,1789739944.3711438,1789739944.386783,16.249,0,16.249,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 31, ""max_seen_before"": 30, ""violation"": false}, {""version"": 31, ""max_seen_before"": 31, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,32,normal,1789739944.3875434,1789739944.4021995,15.21,0,15.21,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 32, ""max_seen_before"": 31, ""violation"": false}, {""version"": 32, ""max_seen_before"": 32, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,33,normal,1789739944.4021995,1789739944.4199119,17.154,0,17.154,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 33, ""max_seen_before"": 32, ""violation"": false}, {""version"": 33, ""max_seen_before"": 33, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,34,normal,1789739944.4199119,1789739944.4359741,16.344,0,16.344,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 34, ""max_seen_before"": 33, ""violation"": false}, {""version"": 34, ""max_seen_before"": 34, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,35,normal,1789739944.4365444,1789739944.4522686,16.22,0,16.22,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 35, ""max_seen_before"": 34, ""violation"": false}, {""version"": 35, ""max_seen_before"": 35, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,36,normal,1789739944.45285,1789739944.4670386,14.133,0,14.133,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 36, ""max_seen_before"": 35, ""violation"": false}, {""version"": 36, ""max_seen_before"": 36, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,37,normal,1789739944.4670386,1789739944.4812737,14.314,0,14.314,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 37, ""max_seen_before"": 36, ""violation"": false}, {""version"": 37, ""max_seen_before"": 37, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,38,normal,1789739944.4812737,1789739944.4965794,15.272,0,15.272,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 38, ""max_seen_before"": 37, ""violation"": false}, {""version"": 38, ""max_seen_before"": 38, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,39,normal,1789739944.4965794,1789739944.513061,16.537,0,16.537,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 39, ""max_seen_before"": 38, ""violation"": false}, {""version"": 39, ""max_seen_before"": 39, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,40,normal,1789739944.5136476,1789739944.5269468,13.473,0,13.473,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 40, ""max_seen_before"": 39, ""violation"": false}, {""version"": 40, ""max_seen_before"": 40, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,41,normal,1789739944.5269468,1789739944.5425858,15.8,0,15.8,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 41, ""max_seen_before"": 40, ""violation"": false}, {""version"": 41, ""max_seen_before"": 41, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,42,normal,1789739944.5431867,1789739944.5611782,18.185,0,18.185,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 42, ""max_seen_before"": 41, ""violation"": false}, {""version"": 42, ""max_seen_before"": 42, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,43,normal,1789739944.5611782,1789739944.5786173,17.373,0,17.373,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 43, ""max_seen_before"": 42, ""violation"": false}, {""version"": 43, ""max_seen_before"": 43, ""violation"": false}]}"
20260918T135902Z_ab0d4ba4,44,normal,1789739944.5786173,1789739944.5936978,14.781,0,14.781,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 44, ""max_seen_before"": 43, ""violation"": false}, {""version"": 44, ""max_seen_before"": 44, ""violation"": false}]}"
