run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T135955Z_7b0f9647,1,normal,1789739996.9929037,1789739997.0479639,55.079,0,55.079,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260918T135955Z_7b0f9647,2,normal,1789739997.048565,1789739997.0607839,12.147,0,12.147,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260918T135955Z_7b0f9647,3,normal,1789739997.0607839,1789739997.07133,10.287,0,10.287,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260918T135955Z_7b0f9647,4,normal,1789739997.0719042,1789739997.0822337,10.173,0,10.173,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260918T135955Z_7b0f9647,5,normal,1789739997.0822337,1789739997.09297,10.911,0,10.911,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260918T135955Z_7b0f9647,6,normal,1789739997.09297,1789739997.1039355,10.85,0,10.85,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260918T135955Z_7b0f9647,7,normal,1789739997.1039355,1789739997.1145942,10.312,0,10.312,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260918T135955Z_7b0f9647,8,normal,1789739997.1145942,1789739997.1275456,12.958,0,12.958,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260918T135955Z_7b0f9647,9,normal,1789739997.1275456,1789739997.1368067,8.928,0,8.928,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260918T135955Z_7b0f9647,10,normal,1789739997.1368067,1789739997.1476524,10.671,0,10.671,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260918T135955Z_7b0f9647,11,normal,1789739997.1476524,1789739997.1587803,10.975,0,10.975,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260918T135955Z_7b0f9647,12,normal,1789739997.1587803,1789739997.170012,11.05,0,11.05,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260918T135955Z_7b0f9647,13,normal,1789739997.170012,1789739997.182833,13.17,0,13.17,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260918T135955Z_7b0f9647,14,normal,1789739997.182833,1789739997.19557,12.761,0,12.761,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260918T135955Z_7b0f9647,15,normal,1789739997.196294,1789739997.2078643,12.016,0,12.016,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260918T135955Z_7b0f9647,16,normal,1789739997.208432,1789739997.218623,10.607,0,10.607,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260918T135955Z_7b0f9647,17,normal,1789739997.218623,1789739997.2290606,10.302,0,10.302,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260918T135955Z_7b0f9647,18,normal,1789739997.2290606,1789739997.239346,10.158,0,10.158,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260918T135955Z_7b0f9647,19,normal,1789739997.239346,1789739997.2492528,9.841,0,9.841,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260918T135955Z_7b0f9647,20,normal,1789739997.2492528,1789739997.2601297,10.397,0,10.397,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260918T135955Z_7b0f9647,21,normal,1789739997.2601297,1789739997.27161,11.417,0,11.417,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260918T135955Z_7b0f9647,22,normal,1789739997.27161,1789739997.2813075,9.588,0,9.588,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260918T135955Z_7b0f9647,23,normal,1789739997.2813075,1789739997.2927895,11.654,0,11.654,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260918T135955Z_7b0f9647,24,normal,1789739997.2933364,1789739997.3048098,11.884,0,11.884,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260918T135955Z_7b0f9647,25,normal,1789739997.3053603,1789739997.3151462,9.801,0,9.801,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260918T135955Z_7b0f9647,26,normal,1789739997.3151462,1789739997.324877,9.891,0,9.891,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260918T135955Z_7b0f9647,27,normal,1789739997.3254392,1789739997.334597,9.281,0,9.281,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260918T135955Z_7b0f9647,28,normal,1789739997.334597,1789739997.3438294,8.991,0,8.991,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260918T135955Z_7b0f9647,29,normal,1789739997.3438294,1789739997.3533416,9.454,0,9.454,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260918T135955Z_7b0f9647,30,normal,1789739997.3533416,1789739997.3636672,10.159,0,10.159,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 30}"
20260918T135955Z_7b0f9647,31,normal,1789739997.3636672,1789739997.3734725,9.931,0,9.931,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 31}"
20260918T135955Z_7b0f9647,32,normal,1789739997.3734725,1789739997.3835392,9.668,0,9.668,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 32}"
20260918T135955Z_7b0f9647,33,normal,1789739997.3835392,1789739997.3928394,9.399,0,9.399,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 33}"
20260918T135955Z_7b0f9647,34,normal,1789739997.3928394,1789739997.4041185,11.095,0,11.095,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 34}"
20260918T135955Z_7b0f9647,35,normal,1789739997.4041185,1789739997.4142628,10.051,0,10.051,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 35}"
20260918T135955Z_7b0f9647,36,normal,1789739997.4142628,1789739997.4242342,9.895,0,9.895,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 36}"
