run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T140242Z_6b920901,1,normal,1789740165.0887704,1789740165.1213486,32.263,0,32.263,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T140242Z_6b920901,2,normal,1789740165.1213486,1789740165.1432858,21.477,0,21.477,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T140242Z_6b920901,3,normal,1789740165.1432858,1789740165.1869535,43.456,0,43.456,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260918T140242Z_6b920901,4,normal,1789740165.1876414,1789740165.2003112,12.794,0,12.794,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260918T140242Z_6b920901,5,normal,1789740165.2003112,1789740165.2180538,17.363,0,17.363,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260918T140242Z_6b920901,6,normal,1789740165.2180538,1789740165.2366738,18.227,0,18.227,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260918T140242Z_6b920901,7,normal,1789740165.2366738,1789740165.2519188,15.602,0,15.602,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260918T140242Z_6b920901,8,normal,1789740165.2519188,1789740165.264403,12.149,0,12.149,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260918T140242Z_6b920901,9,normal,1789740165.264403,1789740165.2737973,9.712,0,9.712,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260918T140242Z_6b920901,10,normal,1789740165.2745757,1789740165.2832954,9.315,0,9.315,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260918T140242Z_6b920901,11,normal,1789740165.2839987,1789740165.291434,7.477,0,7.477,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260918T140242Z_6b920901,12,normal,1789740165.291434,1789740165.2986658,7.006,0,7.006,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260918T140242Z_6b920901,13,normal,1789740165.2986658,1789740165.3072922,8.798,0,8.798,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260918T140242Z_6b920901,14,normal,1789740165.3072922,1789740165.3160667,8.563,0,8.563,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260918T140242Z_6b920901,15,normal,1789740165.3160667,1789740165.3246648,8.714,0,8.714,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260918T140242Z_6b920901,16,normal,1789740165.325248,1789740165.3328087,8.097,0,8.097,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T140242Z_6b920901,17,normal,1789740165.3334994,1789740165.3420506,8.909,0,8.909,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260918T140242Z_6b920901,18,normal,1789740165.3420506,1789740165.3512821,8.935,0,8.935,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260918T140242Z_6b920901,19,normal,1789740165.3512821,1789740165.3602984,9.157,0,9.157,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T140242Z_6b920901,20,normal,1789740165.3608496,1789740165.3683817,7.559,0,7.559,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260918T140242Z_6b920901,21,normal,1789740165.3683817,1789740165.3757904,7.971,0,7.971,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T140242Z_6b920901,22,normal,1789740165.3757904,1789740165.384507,7.866,0,7.866,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260918T140242Z_6b920901,23,normal,1789740165.384507,1789740165.3922489,7.978,0,7.978,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T140242Z_6b920901,24,normal,1789740165.3922489,1789740165.4000468,7.754,0,7.754,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260918T140242Z_6b920901,25,normal,1789740165.4000468,1789740165.4085584,7.916,0,7.916,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260918T140242Z_6b920901,26,normal,1789740165.4085584,1789740165.4162083,8.334,0,8.334,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260918T140242Z_6b920901,27,normal,1789740165.4172573,1789740165.4254556,8.292,0,8.292,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260918T140242Z_6b920901,28,normal,1789740165.4254556,1789740165.4341497,8.499,0,8.499,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260918T140242Z_6b920901,29,normal,1789740165.4341497,1789740165.4422634,8.323,0,8.323,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260918T140242Z_6b920901,30,normal,1789740165.4422634,1789740165.4509244,8.286,0,8.286,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T140242Z_6b920901,31,normal,1789740165.4509244,1789740165.458534,7.506,0,7.506,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T140242Z_6b920901,32,normal,1789740165.458534,1789740165.4672158,8.434,0,8.434,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 32}"
20260918T140242Z_6b920901,33,normal,1789740165.4672158,1789740165.4758008,8.432,0,8.432,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T140242Z_6b920901,34,normal,1789740165.4758008,1789740165.4828465,7.259,0,7.259,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 34}"
20260918T140242Z_6b920901,35,normal,1789740165.4828465,1789740165.490378,7.589,0,7.589,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T140242Z_6b920901,36,normal,1789740165.490999,1789740165.4970653,6.475,0,6.475,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 36}"
20260918T140242Z_6b920901,37,normal,1789740165.4970653,1789740165.5045416,7.017,0,7.017,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 37}"
20260918T140242Z_6b920901,38,normal,1789740165.5045416,1789740165.5110753,6.525,0,6.525,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T140242Z_6b920901,39,normal,1789740165.5110753,1789740165.5172327,6.381,0,6.381,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 39}"
20260918T140242Z_6b920901,40,normal,1789740165.5178359,1789740165.5240023,6.467,0,6.467,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T140242Z_6b920901,41,normal,1789740165.5240023,1789740165.5312119,7.12,0,7.12,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T140242Z_6b920901,42,normal,1789740165.5312119,1789740165.5378988,6.55,0,6.55,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 42}"
20260918T140242Z_6b920901,43,normal,1789740165.5378988,1789740165.5449927,7.078,0,7.078,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 43}"
20260918T140242Z_6b920901,44,normal,1789740165.5449927,1789740165.5524106,7.325,0,7.325,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 44}"
20260918T140242Z_6b920901,45,normal,1789740165.5524106,1789740165.5594049,7.209,0,7.209,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 45}"
20260918T140242Z_6b920901,46,normal,1789740165.5594049,1789740165.5656335,6.277,0,6.277,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
