run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T140302Z_3b9be7f9,1,normal,1789740184.0310113,1789740184.096016,64.534,0,64.534,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 1, ""max_seen_before"": -1, ""violation"": false}, {""version"": 1, ""max_seen_before"": 1, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,2,normal,1789740184.096016,1789740184.1117177,15.499,0,15.499,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 2, ""max_seen_before"": 1, ""violation"": false}, {""version"": 2, ""max_seen_before"": 2, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,3,normal,1789740184.112263,1789740184.1275892,15.551,0,15.551,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 3, ""max_seen_before"": 2, ""violation"": false}, {""version"": 3, ""max_seen_before"": 3, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,4,normal,1789740184.1281483,1789740184.1456053,17.985,0,17.985,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 4, ""max_seen_before"": 3, ""violation"": false}, {""version"": 4, ""max_seen_before"": 4, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,5,normal,1789740184.1462746,1789740184.1607435,14.876,0,14.876,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 5, ""max_seen_before"": 4, ""violation"": false}, {""version"": 5, ""max_seen_before"": 5, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,6,normal,1789740184.1612992,1789740184.1760247,14.909,0,14.909,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 6, ""max_seen_before"": 5, ""violation"": false}, {""version"": 6, ""max_seen_before"": 6, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,7,normal,1789740184.1760247,1789740184.1918018,15.621,0,15.621,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 7, ""max_seen_before"": 6, ""violation"": false}, {""version"": 7, ""max_seen_before"": 7, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,8,normal,1789740184.1918018,1789740184.2072077,15.337,0,15.337,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 8, ""max_seen_before"": 7, ""violation"": false}, {""version"": 8, ""max_seen_before"": 8, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,9,normal,1789740184.2072077,1789740184.2229064,15.28,0,15.28,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 9, ""max_seen_before"": 8, ""violation"": false}, {""version"": 9, ""max_seen_before"": 9, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,10,normal,1789740184.2229064,1789740184.2389402,15.844,0,15.844,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 10, ""max_seen_before"": 9, ""violation"": false}, {""version"": 10, ""max_seen_before"": 10, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,11,normal,1789740184.2389402,1789740184.2531583,14.538,0,14.538,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 11, ""max_seen_before"": 10, ""violation"": false}, {""version"": 11, ""max_seen_before"": 11, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,12,normal,1789740184.2537646,1789740184.2692068,15.568,0,15.568,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 12, ""max_seen_before"": 11, ""violation"": false}, {""version"": 12, ""max_seen_before"": 12, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,13,normal,1789740184.2692068,1789740184.2839246,14.592,0,14.592,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 13, ""max_seen_before"": 12, ""violation"": false}, {""version"": 13, ""max_seen_before"": 13, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,14,normal,1789740184.2839246,1789740184.2994683,15.515,0,15.515,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 14, ""max_seen_before"": 13, ""violation"": false}, {""version"": 14, ""max_seen_before"": 14, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,15,normal,1789740184.2994683,1789740184.3137674,14.108,0,14.108,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 15, ""max_seen_before"": 14, ""violation"": false}, {""version"": 15, ""max_seen_before"": 15, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,16,normal,1789740184.3137674,1789740184.3291287,15.138,0,15.138,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 16, ""max_seen_before"": 15, ""violation"": false}, {""version"": 16, ""max_seen_before"": 16, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,17,normal,1789740184.3291287,1789740184.3435822,14.164,0,14.164,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 17, ""max_seen_before"": 16, ""violation"": false}, {""version"": 17, ""max_seen_before"": 17, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,18,normal,1789740184.3435822,1789740184.357978,14.784,0,14.784,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 18, ""max_seen_before"": 17, ""violation"": false}, {""version"": 18, ""max_seen_before"": 18, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,19,normal,1789740184.3585634,1789740184.3735266,15.112,0,15.112,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 19, ""max_seen_before"": 18, ""violation"": false}, {""version"": 19, ""max_seen_before"": 19, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,20,normal,1789740184.3735266,1789740184.3887436,14.873,0,14.873,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 20, ""max_seen_before"": 19, ""violation"": false}, {""version"": 20, ""max_seen_before"": 20, ""violation"": false}]}"
20260918T140302Z_3b9be7f9,21,normal,1789740184.3887436,1789740184.4034696,15.047,0,15.047,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 21, ""max_seen_before"": 20, ""violation"": false}, {""version"": 21, ""max_seen_before"": 21, ""violation"": false}]}"
