run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T141102Z_c51730c5,1,normal,1789740663.3232896,1789740663.3604026,36.894,0,36.894,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260918T141102Z_c51730c5,2,normal,1789740663.3610618,1789740663.3782198,17.221,0,17.221,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260918T141102Z_c51730c5,3,normal,1789740663.3782198,1789740663.3862634,7.739,0,7.739,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260918T141102Z_c51730c5,4,normal,1789740663.3862634,1789740663.3942382,7.786,0,7.786,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260918T141102Z_c51730c5,5,normal,1789740663.3949275,1789740663.402243,7.816,0,7.816,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260918T141102Z_c51730c5,6,normal,1789740663.4028792,1789740663.410524,8.194,0,8.194,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260918T141102Z_c51730c5,7,normal,1789740663.4111326,1789740663.4181523,7.306,0,7.306,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260918T141102Z_c51730c5,8,normal,1789740663.4181523,1789740663.4261777,7.691,0,7.691,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260918T141102Z_c51730c5,9,normal,1789740663.4261777,1789740663.4330816,6.612,0,6.612,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260918T141102Z_c51730c5,10,normal,1789740663.4330816,1789740663.4396515,6.743,0,6.743,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260918T141102Z_c51730c5,11,normal,1789740663.4396515,1789740663.446822,6.997,0,6.997,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260918T141102Z_c51730c5,12,normal,1789740663.446822,1789740663.4535446,6.874,0,6.874,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260918T141102Z_c51730c5,13,normal,1789740663.4540837,1789740663.4611228,7.383,0,7.383,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260918T141102Z_c51730c5,14,normal,1789740663.4611228,1789740663.467614,6.41,0,6.41,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260918T141102Z_c51730c5,15,normal,1789740663.467614,1789740663.4746027,6.864,0,6.864,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260918T141102Z_c51730c5,16,normal,1789740663.4746027,1789740663.482273,7.288,0,7.288,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260918T141102Z_c51730c5,17,normal,1789740663.482273,1789740663.4889855,6.686,0,6.686,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260918T141102Z_c51730c5,18,normal,1789740663.4889855,1789740663.4960868,7.23,0,7.23,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260918T141102Z_c51730c5,19,normal,1789740663.4960868,1789740663.5040581,7.354,0,7.354,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
