run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T141510Z_7ac276ab,1,normal,1789740911.173069,1789740911.2026224,29.696,0,29.696,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260918T141510Z_7ac276ab,2,normal,1789740911.2032607,1789740911.2169912,14.013,0,14.013,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260918T141510Z_7ac276ab,3,normal,1789740911.2169912,1789740911.2278419,10.502,0,10.502,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260918T141510Z_7ac276ab,4,normal,1789740911.2278419,1789740911.2389426,10.555,0,10.555,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260918T141510Z_7ac276ab,5,normal,1789740911.2389426,1789740911.2494028,10.495,0,10.495,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260918T141510Z_7ac276ab,6,normal,1789740911.2494028,1789740911.2600052,10.674,0,10.674,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260918T141510Z_7ac276ab,7,normal,1789740911.2605927,1789740911.2717319,11.223,0,11.223,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260918T141510Z_7ac276ab,8,normal,1789740911.2717319,1789740911.2834651,11.748,0,11.748,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260918T141510Z_7ac276ab,9,normal,1789740911.2834651,1789740911.29421,10.716,0,10.716,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260918T141510Z_7ac276ab,10,normal,1789740911.29421,1789740911.3083508,13.662,0,13.662,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260918T141510Z_7ac276ab,11,normal,1789740911.3083508,1789740911.3198197,11.431,0,11.431,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260918T141510Z_7ac276ab,12,normal,1789740911.3198197,1789740911.3320944,12.327,0,12.327,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260918T141510Z_7ac276ab,13,normal,1789740911.3320944,1789740911.342506,10.459,0,10.459,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
