run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T141633Z_8dc6eb52,1,normal,1789740994.8691106,1789740994.9356844,66.502,0,66.502,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260918T141633Z_8dc6eb52,2,normal,1789740994.936282,1789740994.9469726,10.797,0,10.797,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260918T141633Z_8dc6eb52,3,normal,1789740994.9469726,1789740994.9567728,9.899,0,9.899,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260918T141633Z_8dc6eb52,4,normal,1789740994.957383,1789740994.9676037,9.914,0,9.914,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260918T141633Z_8dc6eb52,5,normal,1789740994.9676037,1789740994.977917,10.514,0,10.514,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260918T141633Z_8dc6eb52,6,normal,1789740994.977917,1789740994.9878106,9.394,0,9.394,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260918T141633Z_8dc6eb52,7,normal,1789740994.9878106,1789740994.9977899,9.806,0,9.806,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260918T141633Z_8dc6eb52,8,normal,1789740994.9977899,1789740995.026399,28.828,0,28.828,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260918T141633Z_8dc6eb52,9,normal,1789740995.026399,1789740995.0367007,9.969,0,9.969,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260918T141633Z_8dc6eb52,10,normal,1789740995.0367007,1789740995.049289,12.386,0,12.386,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260918T141633Z_8dc6eb52,11,normal,1789740995.049289,1789740995.0597208,10.626,0,10.626,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260918T141633Z_8dc6eb52,12,normal,1789740995.0597208,1789740995.0708666,10.46,0,10.46,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260918T141633Z_8dc6eb52,13,normal,1789740995.0708666,1789740995.0806842,9.997,0,9.997,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260918T141633Z_8dc6eb52,14,normal,1789740995.0806842,1789740995.090131,9.495,0,9.495,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
