run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T141722Z_6d2c08f3,1,normal,1789741043.0477974,1789741043.091181,42.919,0,42.919,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:1"", ""w:2""], ""previous_ack"": null, ""snapshot_polls"": 2, ""visible_dependencies"": [{""_id"": ""w:1"", ""depends_on"": null}, {""_id"": ""w:2"", ""depends_on"": ""w:1""}]}"
20260918T141722Z_6d2c08f3,2,normal,1789741043.091181,1789741043.1170888,25.347,0,25.347,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:2"", ""w:3"", ""w:4""], ""previous_ack"": ""w:2"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:3"", ""depends_on"": ""w:2""}, {""_id"": ""w:4"", ""depends_on"": ""w:3""}]}"
20260918T141722Z_6d2c08f3,3,normal,1789741043.1182153,1789741043.136244,17.856,0,17.856,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:4"", ""w:5"", ""w:6""], ""previous_ack"": ""w:4"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:5"", ""depends_on"": ""w:4""}, {""_id"": ""w:6"", ""depends_on"": ""w:5""}]}"
20260918T141722Z_6d2c08f3,4,normal,1789741043.136244,1789741043.155105,18.778,0,18.778,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:6"", ""w:7"", ""w:8""], ""previous_ack"": ""w:6"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:7"", ""depends_on"": ""w:6""}, {""_id"": ""w:8"", ""depends_on"": ""w:7""}]}"
20260918T141722Z_6d2c08f3,5,normal,1789741043.155105,1789741043.1725843,17.491,0,17.491,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:10"", ""w:8"", ""w:9""], ""previous_ack"": ""w:8"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:10"", ""depends_on"": ""w:9""}, {""_id"": ""w:9"", ""depends_on"": ""w:8""}]}"
20260918T141722Z_6d2c08f3,6,normal,1789741043.1725843,1789741043.1922092,19.422,0,19.422,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:10"", ""w:11"", ""w:12""], ""previous_ack"": ""w:10"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:11"", ""depends_on"": ""w:10""}, {""_id"": ""w:12"", ""depends_on"": ""w:11""}]}"
20260918T141722Z_6d2c08f3,7,normal,1789741043.1922092,1789741043.2111347,18.911,0,18.911,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:12"", ""w:13"", ""w:14""], ""previous_ack"": ""w:12"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:13"", ""depends_on"": ""w:12""}, {""_id"": ""w:14"", ""depends_on"": ""w:13""}]}"
20260918T141722Z_6d2c08f3,8,normal,1789741043.2111347,1789741043.2294579,18.128,0,18.128,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:14"", ""w:15"", ""w:16""], ""previous_ack"": ""w:14"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:15"", ""depends_on"": ""w:14""}, {""_id"": ""w:16"", ""depends_on"": ""w:15""}]}"
20260918T141722Z_6d2c08f3,9,normal,1789741043.2294579,1789741043.2473946,17.813,0,17.813,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:16"", ""w:17"", ""w:18""], ""previous_ack"": ""w:16"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:17"", ""depends_on"": ""w:16""}, {""_id"": ""w:18"", ""depends_on"": ""w:17""}]}"
20260918T141722Z_6d2c08f3,10,normal,1789741043.2473946,1789741043.2646067,17.271,0,17.271,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:18"", ""w:19"", ""w:20""], ""previous_ack"": ""w:18"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:19"", ""depends_on"": ""w:18""}, {""_id"": ""w:20"", ""depends_on"": ""w:19""}]}"
20260918T141722Z_6d2c08f3,11,normal,1789741043.2652214,1789741043.2813342,16.55,0,16.55,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:20"", ""w:21"", ""w:22""], ""previous_ack"": ""w:20"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:21"", ""depends_on"": ""w:20""}, {""_id"": ""w:22"", ""depends_on"": ""w:21""}]}"
20260918T141722Z_6d2c08f3,12,normal,1789741043.2813342,1789741043.2976797,15.903,0,15.903,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:22"", ""w:23"", ""w:24""], ""previous_ack"": ""w:22"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:23"", ""depends_on"": ""w:22""}, {""_id"": ""w:24"", ""depends_on"": ""w:23""}]}"
20260918T141722Z_6d2c08f3,13,normal,1789741043.2976797,1789741043.31405,17.198,0,17.198,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:24"", ""w:25"", ""w:26""], ""previous_ack"": ""w:24"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:25"", ""depends_on"": ""w:24""}, {""_id"": ""w:26"", ""depends_on"": ""w:25""}]}"
20260918T141722Z_6d2c08f3,14,normal,1789741043.315241,1789741043.3320694,16.898,0,16.898,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:26"", ""w:27"", ""w:28""], ""previous_ack"": ""w:26"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:27"", ""depends_on"": ""w:26""}, {""_id"": ""w:28"", ""depends_on"": ""w:27""}]}"
20260918T141722Z_6d2c08f3,15,normal,1789741043.3320694,1789741043.347534,15.751,0,15.751,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:28"", ""w:29"", ""w:30""], ""previous_ack"": ""w:28"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:29"", ""depends_on"": ""w:28""}, {""_id"": ""w:30"", ""depends_on"": ""w:29""}]}"
20260918T141722Z_6d2c08f3,16,normal,1789741043.348122,1789741043.364266,16.157,0,16.157,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:30"", ""w:31"", ""w:32""], ""previous_ack"": ""w:30"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:31"", ""depends_on"": ""w:30""}, {""_id"": ""w:32"", ""depends_on"": ""w:31""}]}"
20260918T141722Z_6d2c08f3,17,normal,1789741043.364266,1789741043.3820126,17.847,0,17.847,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:32"", ""w:33"", ""w:34""], ""previous_ack"": ""w:32"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:33"", ""depends_on"": ""w:32""}, {""_id"": ""w:34"", ""depends_on"": ""w:33""}]}"
20260918T141722Z_6d2c08f3,18,normal,1789741043.3820126,1789741043.3989882,16.699,0,16.699,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:34"", ""w:35"", ""w:36""], ""previous_ack"": ""w:34"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:35"", ""depends_on"": ""w:34""}, {""_id"": ""w:36"", ""depends_on"": ""w:35""}]}"
20260918T141722Z_6d2c08f3,19,normal,1789741043.3989882,1789741043.4137483,15.037,0,15.037,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:36"", ""w:37"", ""w:38""], ""previous_ack"": ""w:36"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:37"", ""depends_on"": ""w:36""}, {""_id"": ""w:38"", ""depends_on"": ""w:37""}]}"
20260918T141722Z_6d2c08f3,20,normal,1789741043.4137483,1789741043.4295166,15.675,0,15.675,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:38"", ""w:39"", ""w:40""], ""previous_ack"": ""w:38"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:39"", ""depends_on"": ""w:38""}, {""_id"": ""w:40"", ""depends_on"": ""w:39""}]}"
20260918T141722Z_6d2c08f3,21,normal,1789741043.4300873,1789741043.4451168,15.013,0,15.013,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:40"", ""w:41"", ""w:42""], ""previous_ack"": ""w:40"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:41"", ""depends_on"": ""w:40""}, {""_id"": ""w:42"", ""depends_on"": ""w:41""}]}"
20260918T141722Z_6d2c08f3,22,normal,1789741043.4451168,1789741043.4614685,16.136,0,16.136,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:42"", ""w:43"", ""w:44""], ""previous_ack"": ""w:42"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:43"", ""depends_on"": ""w:42""}, {""_id"": ""w:44"", ""depends_on"": ""w:43""}]}"
20260918T141722Z_6d2c08f3,23,normal,1789741043.4614685,1789741043.4772725,15.742,0,15.742,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:44"", ""w:45"", ""w:46""], ""previous_ack"": ""w:44"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:45"", ""depends_on"": ""w:44""}, {""_id"": ""w:46"", ""depends_on"": ""w:45""}]}"
20260918T141722Z_6d2c08f3,24,normal,1789741043.4772725,1789741043.492684,15.499,0,15.499,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:46"", ""w:47"", ""w:48""], ""previous_ack"": ""w:46"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:47"", ""depends_on"": ""w:46""}, {""_id"": ""w:48"", ""depends_on"": ""w:47""}]}"
20260918T141722Z_6d2c08f3,25,normal,1789741043.492684,1789741043.510122,17.412,0,17.412,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:48"", ""w:49"", ""w:50""], ""previous_ack"": ""w:48"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:49"", ""depends_on"": ""w:48""}, {""_id"": ""w:50"", ""depends_on"": ""w:49""}]}"
20260918T141722Z_6d2c08f3,26,normal,1789741043.510122,1789741043.5273314,17.271,0,17.271,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:50"", ""w:51"", ""w:52""], ""previous_ack"": ""w:50"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:51"", ""depends_on"": ""w:50""}, {""_id"": ""w:52"", ""depends_on"": ""w:51""}]}"
20260918T141722Z_6d2c08f3,27,normal,1789741043.5279222,1789741043.5444388,16.858,0,16.858,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:52"", ""w:53"", ""w:54""], ""previous_ack"": ""w:52"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:53"", ""depends_on"": ""w:52""}, {""_id"": ""w:54"", ""depends_on"": ""w:53""}]}"
20260918T141722Z_6d2c08f3,28,normal,1789741043.5444388,1789741043.5624607,17.891,0,17.891,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:54"", ""w:55"", ""w:56""], ""previous_ack"": ""w:54"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:55"", ""depends_on"": ""w:54""}, {""_id"": ""w:56"", ""depends_on"": ""w:55""}]}"
20260918T141722Z_6d2c08f3,29,normal,1789741043.5624607,1789741043.5808275,18.206,0,18.206,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:56"", ""w:57"", ""w:58""], ""previous_ack"": ""w:56"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:57"", ""depends_on"": ""w:56""}, {""_id"": ""w:58"", ""depends_on"": ""w:57""}]}"
20260918T141722Z_6d2c08f3,30,normal,1789741043.5808275,1789741043.5985467,17.266,0,17.266,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:58"", ""w:59"", ""w:60""], ""previous_ack"": ""w:58"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:59"", ""depends_on"": ""w:58""}, {""_id"": ""w:60"", ""depends_on"": ""w:59""}]}"
20260918T141722Z_6d2c08f3,31,normal,1789741043.5985467,1789741043.6138017,15.596,0,15.596,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:60"", ""w:61"", ""w:62""], ""previous_ack"": ""w:60"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:61"", ""depends_on"": ""w:60""}, {""_id"": ""w:62"", ""depends_on"": ""w:61""}]}"
20260918T141722Z_6d2c08f3,32,normal,1789741043.614429,1789741043.630404,16.424,0,16.424,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:62"", ""w:63"", ""w:64""], ""previous_ack"": ""w:62"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:63"", ""depends_on"": ""w:62""}, {""_id"": ""w:64"", ""depends_on"": ""w:63""}]}"
20260918T141722Z_6d2c08f3,33,normal,1789741043.630404,1789741043.6475651,16.979,0,16.979,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:64"", ""w:65"", ""w:66""], ""previous_ack"": ""w:64"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:65"", ""depends_on"": ""w:64""}, {""_id"": ""w:66"", ""depends_on"": ""w:65""}]}"
20260918T141722Z_6d2c08f3,34,normal,1789741043.6475651,1789741043.6639695,16.376,0,16.376,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:66"", ""w:67"", ""w:68""], ""previous_ack"": ""w:66"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:67"", ""depends_on"": ""w:66""}, {""_id"": ""w:68"", ""depends_on"": ""w:67""}]}"
20260918T141722Z_6d2c08f3,35,normal,1789741043.6645653,1789741043.6809416,16.652,0,16.652,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:68"", ""w:69"", ""w:70""], ""previous_ack"": ""w:68"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:69"", ""depends_on"": ""w:68""}, {""_id"": ""w:70"", ""depends_on"": ""w:69""}]}"
20260918T141722Z_6d2c08f3,36,normal,1789741043.6814773,1789741043.69604,14.701,0,14.701,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:70"", ""w:71"", ""w:72""], ""previous_ack"": ""w:70"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:71"", ""depends_on"": ""w:70""}, {""_id"": ""w:72"", ""depends_on"": ""w:71""}]}"
20260918T141722Z_6d2c08f3,37,normal,1789741043.69604,1789741043.7100883,14.26,0,14.26,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:72"", ""w:73"", ""w:74""], ""previous_ack"": ""w:72"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:73"", ""depends_on"": ""w:72""}, {""_id"": ""w:74"", ""depends_on"": ""w:73""}]}"
20260918T141722Z_6d2c08f3,38,normal,1789741043.710618,1789741043.7263255,16.033,0,16.033,pass,,independent_snapshot,"{""first_acknowledged"": true, ""second_acknowledged"": true, ""visible_ids"": [""w:74"", ""w:75"", ""w:76""], ""previous_ack"": ""w:74"", ""snapshot_polls"": 1, ""visible_dependencies"": [{""_id"": ""w:75"", ""depends_on"": ""w:74""}, {""_id"": ""w:76"", ""depends_on"": ""w:75""}]}"
