run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T141914Z_2b87e7ac,1,normal,1789741155.2520304,1789741155.2881896,36.103,0,36.103,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260918T141914Z_2b87e7ac,2,normal,1789741155.2881896,1789741155.2946465,6.075,0,6.075,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260918T141914Z_2b87e7ac,3,normal,1789741155.2946465,1789741155.3181462,23.636,0,23.636,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260918T141914Z_2b87e7ac,4,normal,1789741155.3198893,1789741155.3269427,7.223,0,7.223,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260918T141914Z_2b87e7ac,5,normal,1789741155.3269427,1789741155.3341238,7.053,0,7.053,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260918T141914Z_2b87e7ac,6,normal,1789741155.3341238,1789741155.3410923,7.07,0,7.07,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260918T141914Z_2b87e7ac,7,normal,1789741155.341714,1789741155.3493996,8.002,0,8.002,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260918T141914Z_2b87e7ac,8,normal,1789741155.3493996,1789741155.3570497,7.242,0,7.242,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260918T141914Z_2b87e7ac,9,normal,1789741155.3570497,1789741155.3642473,7.244,0,7.244,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260918T141914Z_2b87e7ac,10,normal,1789741155.3642473,1789741155.370812,6.701,0,6.701,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260918T141914Z_2b87e7ac,11,normal,1789741155.3713984,1789741155.378408,7.335,0,7.335,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
