run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T142024Z_20187dee,1,normal,1789741225.2840257,1789741225.310659,26.159,0,26.159,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T142024Z_20187dee,2,normal,1789741225.310659,1789741225.320994,9.897,0,9.897,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260918T142024Z_20187dee,3,normal,1789741225.320994,1789741225.3368511,15.848,0,15.848,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260918T142024Z_20187dee,4,normal,1789741225.3375554,1789741225.347547,10.092,0,10.092,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260918T142024Z_20187dee,5,normal,1789741225.347547,1789741225.3575957,9.925,0,9.925,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260918T142024Z_20187dee,6,normal,1789741225.3575957,1789741225.3692107,11.357,0,11.357,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260918T142024Z_20187dee,7,normal,1789741225.3692107,1789741225.380439,11.724,0,11.724,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260918T142024Z_20187dee,8,normal,1789741225.380439,1789741225.390944,9.943,0,9.943,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260918T142024Z_20187dee,9,normal,1789741225.390944,1789741225.4005654,9.348,0,9.348,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260918T142024Z_20187dee,10,normal,1789741225.4005654,1789741225.409985,9.435,0,9.435,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260918T142024Z_20187dee,11,normal,1789741225.409985,1789741225.42084,10.602,0,10.602,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260918T142024Z_20187dee,12,normal,1789741225.42084,1789741225.4310377,10.098,0,10.098,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260918T142024Z_20187dee,13,normal,1789741225.4310377,1789741225.4398894,9.15,0,9.15,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260918T142024Z_20187dee,14,normal,1789741225.4404478,1789741225.4491885,8.693,0,8.693,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260918T142024Z_20187dee,15,normal,1789741225.4491885,1789741225.4588513,9.766,0,9.766,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260918T142024Z_20187dee,16,normal,1789741225.4588513,1789741225.4686332,9.57,0,9.57,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260918T142024Z_20187dee,17,normal,1789741225.4686332,1789741225.4779193,9.249,0,9.249,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260918T142024Z_20187dee,18,normal,1789741225.4779193,1789741225.4873188,9.474,0,9.474,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260918T142024Z_20187dee,19,normal,1789741225.4873188,1789741225.496635,8.909,0,8.909,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260918T142024Z_20187dee,20,normal,1789741225.496635,1789741225.5055685,8.951,0,8.951,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260918T142024Z_20187dee,21,normal,1789741225.5055685,1789741225.515724,9.963,0,9.963,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260918T142024Z_20187dee,22,normal,1789741225.515724,1789741225.5254817,9.589,0,9.589,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260918T142024Z_20187dee,23,normal,1789741225.5254817,1789741225.5346224,9.148,0,9.148,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260918T142024Z_20187dee,24,normal,1789741225.5346224,1789741225.544465,9.946,0,9.946,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260918T142024Z_20187dee,25,normal,1789741225.544465,1789741225.5546968,9.666,0,9.666,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260918T142024Z_20187dee,26,normal,1789741225.5546968,1789741225.5642354,9.709,0,9.709,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260918T142024Z_20187dee,27,normal,1789741225.5642354,1789741225.5733325,9.215,0,9.215,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260918T142024Z_20187dee,28,normal,1789741225.573954,1789741225.5831645,9.207,0,9.207,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260918T142024Z_20187dee,29,normal,1789741225.5831645,1789741225.5923781,9.201,0,9.201,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260918T142024Z_20187dee,30,normal,1789741225.5923781,1789741225.601174,8.767,0,8.767,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 30}"
20260918T142024Z_20187dee,31,normal,1789741225.601174,1789741225.610494,9.101,0,9.101,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 31}"
20260918T142024Z_20187dee,32,normal,1789741225.610494,1789741225.6207626,10.232,0,10.232,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 32}"
20260918T142024Z_20187dee,33,normal,1789741225.6207626,1789741225.630302,9.475,0,9.475,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 33}"
20260918T142024Z_20187dee,34,normal,1789741225.630302,1789741225.6395016,8.831,0,8.831,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 34}"
20260918T142024Z_20187dee,35,normal,1789741225.6395016,1789741225.648155,8.525,0,8.525,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 35}"
20260918T142024Z_20187dee,36,normal,1789741225.648155,1789741225.6577163,9.675,0,9.675,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 36}"
20260918T142024Z_20187dee,37,normal,1789741225.6577163,1789741225.6674569,9.376,0,9.376,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 37}"
20260918T142024Z_20187dee,38,normal,1789741225.6674569,1789741225.6769583,9.495,0,9.495,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 38}"
20260918T142024Z_20187dee,39,normal,1789741225.6769583,1789741225.6862242,9.425,0,9.425,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 39}"
20260918T142024Z_20187dee,40,normal,1789741225.6862242,1789741225.6955292,9.162,0,9.162,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 40}"
20260918T142024Z_20187dee,41,normal,1789741225.6955292,1789741225.7051978,9.385,0,9.385,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 41}"
20260918T142024Z_20187dee,42,normal,1789741225.7051978,1789741225.7142148,9.309,0,9.309,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 42}"
20260918T142024Z_20187dee,43,normal,1789741225.714804,1789741225.725632,10.771,0,10.771,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 43}"
20260918T142024Z_20187dee,44,normal,1789741225.725632,1789741225.734941,9.468,0,9.468,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 44}"
20260918T142024Z_20187dee,45,normal,1789741225.734941,1789741225.7448146,9.565,0,9.565,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 45}"
20260918T142024Z_20187dee,46,normal,1789741225.7448146,1789741225.7538314,8.982,0,8.982,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 46}"
20260918T142024Z_20187dee,47,normal,1789741225.7538314,1789741225.7637289,9.763,0,9.763,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 47}"
20260918T142024Z_20187dee,48,normal,1789741225.7637289,1789741225.7731686,9.701,0,9.701,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 48}"
20260918T142024Z_20187dee,49,normal,1789741225.7737348,1789741225.7822137,8.814,0,8.814,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 49}"
20260918T142024Z_20187dee,50,normal,1789741225.7822137,1789741225.7919822,9.319,0,9.319,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 50}"
20260918T142024Z_20187dee,51,normal,1789741225.7919822,1789741225.8011081,9.023,0,9.023,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 51}"
20260918T142024Z_20187dee,52,normal,1789741225.8011081,1789741225.810265,9.503,0,9.503,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 52}"
20260918T142024Z_20187dee,53,normal,1789741225.810825,1789741225.8210268,10.601,0,10.601,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 53}"
20260918T142024Z_20187dee,54,normal,1789741225.8216355,1789741225.831341,9.779,0,9.779,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 54}"
20260918T142024Z_20187dee,55,normal,1789741225.831341,1789741225.8402352,9.285,0,9.285,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 55}"
20260918T142024Z_20187dee,56,normal,1789741225.8409028,1789741225.8499966,9.592,0,9.592,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 56}"
20260918T142024Z_20187dee,57,normal,1789741225.8506138,1789741225.860404,9.845,0,9.845,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 57}"
20260918T142024Z_20187dee,58,normal,1789741225.860404,1789741225.8703208,9.696,0,9.696,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 58}"
20260918T142024Z_20187dee,59,normal,1789741225.8703208,1789741225.879671,9.679,0,9.679,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 59}"
20260918T142024Z_20187dee,60,normal,1789741225.879671,1789741225.8890727,9.281,0,9.281,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 60}"
20260918T142024Z_20187dee,61,normal,1789741225.8890727,1789741225.8986058,9.791,0,9.791,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 61}"
20260918T142024Z_20187dee,62,normal,1789741225.8994114,1789741225.9090245,9.749,0,9.749,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 62}"
20260918T142024Z_20187dee,63,normal,1789741225.9090245,1789741225.9187753,9.57,0,9.57,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 63}"
20260918T142024Z_20187dee,64,normal,1789741225.9187753,1789741225.9276206,9.118,0,9.118,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 64}"
20260918T142024Z_20187dee,65,normal,1789741225.9282234,1789741225.937013,9.25,0,9.25,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 65}"
20260918T142024Z_20187dee,66,normal,1789741225.9375389,1789741225.9478014,10.687,0,10.687,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 66}"
20260918T142024Z_20187dee,67,normal,1789741225.9478014,1789741225.9575956,9.398,0,9.398,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 67}"
20260918T142024Z_20187dee,68,normal,1789741225.9575956,1789741225.9678357,10.503,0,10.503,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 68}"
20260918T142024Z_20187dee,69,normal,1789741225.9684217,1789741225.9786205,10.155,0,10.155,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 69}"
20260918T142024Z_20187dee,70,normal,1789741225.9786205,1789741225.9877944,9.553,0,9.553,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 70}"
20260918T142024Z_20187dee,71,normal,1789741225.9883847,1789741225.99776,9.522,0,9.522,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 71}"
20260918T142024Z_20187dee,72,normal,1789741225.99776,1789741226.00696,9.471,0,9.471,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 72}"
20260918T142024Z_20187dee,73,normal,1789741226.0075364,1789741226.0165617,9.141,0,9.141,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 73}"
20260918T142024Z_20187dee,74,normal,1789741226.0165617,1789741226.0264022,9.621,0,9.621,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 74}"
20260918T142024Z_20187dee,75,normal,1789741226.0264022,1789741226.037274,10.729,0,10.729,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 75}"
20260918T142024Z_20187dee,76,normal,1789741226.037274,1789741226.04741,10.142,0,10.142,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 76}"
20260918T142024Z_20187dee,77,normal,1789741226.04741,1789741226.0569692,9.597,0,9.597,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 77}"
20260918T142024Z_20187dee,78,normal,1789741226.057306,1789741226.066835,9.619,0,9.619,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 78}"
20260918T142024Z_20187dee,79,normal,1789741226.066835,1789741226.076027,9.098,0,9.098,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 79}"
20260918T142024Z_20187dee,80,normal,1789741226.076027,1789741226.086311,10.092,0,10.092,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 80}"
20260918T142024Z_20187dee,81,normal,1789741226.086311,1789741226.0957494,9.86,0,9.86,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 81}"
20260918T142024Z_20187dee,82,normal,1789741226.096328,1789741226.1056924,9.402,0,9.402,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 82}"
20260918T142024Z_20187dee,83,normal,1789741226.1056924,1789741226.1155167,9.952,0,9.952,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 83}"
20260918T142024Z_20187dee,84,normal,1789741226.1155167,1789741226.124367,9.011,0,9.011,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 84}"
20260918T142024Z_20187dee,85,normal,1789741226.124367,1789741226.133615,8.611,0,8.611,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 85}"
20260918T142024Z_20187dee,86,normal,1789741226.133615,1789741226.1446419,11.162,0,11.162,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 86}"
20260918T142024Z_20187dee,87,normal,1789741226.1446419,1789741226.1549647,10.437,0,10.437,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 87}"
20260918T142024Z_20187dee,88,normal,1789741226.1555808,1789741226.1658003,10.672,0,10.672,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 88}"
20260918T142024Z_20187dee,89,normal,1789741226.1658003,1789741226.1766982,10.477,0,10.477,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 89}"
20260918T142024Z_20187dee,90,normal,1789741226.1766982,1789741226.1869974,10.058,0,10.058,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 90}"
20260918T142024Z_20187dee,91,normal,1789741226.1869974,1789741226.1969433,10.145,0,10.145,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 91}"
20260918T142024Z_20187dee,92,normal,1789741226.1969433,1789741226.2072191,10.327,0,10.327,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 92}"
20260918T142024Z_20187dee,93,normal,1789741226.2072191,1789741226.2177007,9.973,0,9.973,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 93}"
20260918T142024Z_20187dee,94,normal,1789741226.2177007,1789741226.2269998,9.33,0,9.33,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 94}"
20260918T142024Z_20187dee,95,normal,1789741226.2269998,1789741226.2363024,9.175,0,9.175,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 95}"
20260918T142024Z_20187dee,96,normal,1789741226.2363024,1789741226.246777,10.284,0,10.284,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 96}"
20260918T142024Z_20187dee,97,normal,1789741226.246777,1789741226.255569,9.168,0,9.168,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 97}"
20260918T142024Z_20187dee,98,normal,1789741226.25617,1789741226.2643921,8.568,0,8.568,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 98}"
20260918T142024Z_20187dee,99,normal,1789741226.2643921,1789741226.2732215,8.877,0,8.877,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 99}"
20260918T142024Z_20187dee,100,normal,1789741226.2738962,1789741226.2828312,9.01,0,9.01,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 100}"
20260918T142024Z_20187dee,101,normal,1789741226.2835872,1789741226.2923121,8.68,0,8.68,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 101}"
20260918T142024Z_20187dee,102,normal,1789741226.2923121,1789741226.3011322,9.072,0,9.072,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 102}"
20260918T142024Z_20187dee,103,normal,1789741226.3011322,1789741226.3099658,8.535,0,8.535,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 103}"
