run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T143331Z_10bb9f0b,1,normal,1789742012.5266626,1789742012.5863907,59.663,0,59.663,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 1, ""max_seen_before"": -1, ""violation"": false}, {""version"": 1, ""max_seen_before"": 1, ""violation"": false}]}"
20260918T143331Z_10bb9f0b,2,normal,1789742012.5870707,1789742012.6022573,15.003,0,15.003,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 2, ""max_seen_before"": 1, ""violation"": false}, {""version"": 2, ""max_seen_before"": 2, ""violation"": false}]}"
20260918T143331Z_10bb9f0b,3,normal,1789742012.6022573,1789742012.6166277,14.037,0,14.037,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 3, ""max_seen_before"": 2, ""violation"": false}, {""version"": 3, ""max_seen_before"": 3, ""violation"": false}]}"
20260918T143331Z_10bb9f0b,4,normal,1789742012.6166277,1789742012.6306417,14.179,0,14.179,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 4, ""max_seen_before"": 3, ""violation"": false}, {""version"": 4, ""max_seen_before"": 4, ""violation"": false}]}"
20260918T143331Z_10bb9f0b,5,normal,1789742012.6313114,1789742012.6437542,12.959,0,12.959,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 5, ""max_seen_before"": 4, ""violation"": false}, {""version"": 5, ""max_seen_before"": 5, ""violation"": false}]}"
20260918T143331Z_10bb9f0b,6,normal,1789742012.6444035,1789742012.6571476,12.854,0,12.854,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 6, ""max_seen_before"": 5, ""violation"": false}, {""version"": 6, ""max_seen_before"": 6, ""violation"": false}]}"
20260918T143331Z_10bb9f0b,7,normal,1789742012.6571476,1789742012.6704404,13.077,0,13.077,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 7, ""max_seen_before"": 6, ""violation"": false}, {""version"": 7, ""max_seen_before"": 7, ""violation"": false}]}"
20260918T143331Z_10bb9f0b,8,normal,1789742012.6704404,1789742012.6837943,13.29,0,13.29,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 8, ""max_seen_before"": 7, ""violation"": false}, {""version"": 8, ""max_seen_before"": 8, ""violation"": false}]}"
20260918T143331Z_10bb9f0b,9,normal,1789742012.6837943,1789742012.6974106,13.496,0,13.496,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 9, ""max_seen_before"": 8, ""violation"": false}, {""version"": 9, ""max_seen_before"": 9, ""violation"": false}]}"
20260918T143331Z_10bb9f0b,10,normal,1789742012.6974106,1789742012.708474,12.225,0,12.225,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 10, ""max_seen_before"": 9, ""violation"": false}, {""version"": 10, ""max_seen_before"": 10, ""violation"": false}]}"
20260918T143331Z_10bb9f0b,11,normal,1789742012.7100177,1789742012.7225652,12.477,0,12.477,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 11, ""max_seen_before"": 10, ""violation"": false}, {""version"": 11, ""max_seen_before"": 11, ""violation"": false}]}"
20260918T143331Z_10bb9f0b,12,normal,1789742012.7225652,1789742012.7344928,12.387,0,12.387,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 12, ""max_seen_before"": 11, ""violation"": false}, {""version"": 12, ""max_seen_before"": 12, ""violation"": false}]}"
20260918T143331Z_10bb9f0b,13,normal,1789742012.7351286,1789742012.747692,12.492,0,12.492,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 13, ""max_seen_before"": 12, ""violation"": false}, {""version"": 13, ""max_seen_before"": 13, ""violation"": false}]}"
20260918T143331Z_10bb9f0b,14,normal,1789742012.747692,1789742012.7605045,12.679,0,12.679,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 14, ""max_seen_before"": 13, ""violation"": false}, {""version"": 14, ""max_seen_before"": 14, ""violation"": false}]}"
20260918T143331Z_10bb9f0b,15,normal,1789742012.7605045,1789742012.7732406,12.575,0,12.575,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 15, ""max_seen_before"": 14, ""violation"": false}, {""version"": 15, ""max_seen_before"": 15, ""violation"": false}]}"
20260918T143331Z_10bb9f0b,16,normal,1789742012.7732406,1789742012.7863038,12.969,0,12.969,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 16, ""max_seen_before"": 15, ""violation"": false}, {""version"": 16, ""max_seen_before"": 16, ""violation"": false}]}"
20260918T143331Z_10bb9f0b,17,normal,1789742012.7863038,1789742012.7994018,13.275,0,13.275,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 17, ""max_seen_before"": 16, ""violation"": false}, {""version"": 17, ""max_seen_before"": 17, ""violation"": false}]}"
20260918T143331Z_10bb9f0b,18,normal,1789742012.7994018,1789742012.812712,13.43,0,13.43,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 18, ""max_seen_before"": 17, ""violation"": false}, {""version"": 18, ""max_seen_before"": 18, ""violation"": false}]}"
20260918T143331Z_10bb9f0b,19,normal,1789742012.8133836,1789742012.8263915,13.006,0,13.006,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 19, ""max_seen_before"": 18, ""violation"": false}, {""version"": 19, ""max_seen_before"": 19, ""violation"": false}]}"
