run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T143522Z_dc375585,1,normal,1789742123.2243302,1789742123.252545,28.332,0,28.332,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260918T143522Z_dc375585,2,normal,1789742123.2531822,1789742123.284123,31.267,0,31.267,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260918T143522Z_dc375585,3,normal,1789742123.2847273,1789742123.2979891,13.774,0,13.774,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260918T143522Z_dc375585,4,normal,1789742123.2986674,1789742123.311008,12.216,0,12.216,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260918T143522Z_dc375585,5,normal,1789742123.311008,1789742123.3234222,12.586,0,12.586,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260918T143522Z_dc375585,6,normal,1789742123.3234222,1789742123.336333,12.393,0,12.393,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260918T143522Z_dc375585,7,normal,1789742123.336333,1789742123.348031,11.706,0,11.706,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260918T143522Z_dc375585,8,normal,1789742123.348031,1789742123.3586838,10.627,0,10.627,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260918T143522Z_dc375585,9,normal,1789742123.3586838,1789742123.3702993,11.199,0,11.199,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260918T143522Z_dc375585,10,normal,1789742123.3702993,1789742123.3823707,12.097,0,12.097,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260918T143522Z_dc375585,11,normal,1789742123.3823707,1789742123.3944163,12.182,0,12.182,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260918T143522Z_dc375585,12,normal,1789742123.3944163,1789742123.406832,12.291,0,12.291,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260918T143522Z_dc375585,13,normal,1789742123.406832,1789742123.419966,13.081,0,13.081,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260918T143522Z_dc375585,14,normal,1789742123.419966,1789742123.430371,10.089,0,10.089,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260918T143522Z_dc375585,15,normal,1789742123.430371,1789742123.440498,9.749,0,9.749,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260918T143522Z_dc375585,16,normal,1789742123.440498,1789742123.451069,10.517,0,10.517,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260918T143522Z_dc375585,17,normal,1789742123.451069,1789742123.4610069,9.8,0,9.8,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260918T143522Z_dc375585,18,normal,1789742123.4610069,1789742123.4695017,9.036,0,9.036,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260918T143522Z_dc375585,19,normal,1789742123.4695017,1789742123.4822524,12.15,0,12.15,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260918T143522Z_dc375585,20,normal,1789742123.4822524,1789742123.492044,9.922,0,9.922,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260918T143522Z_dc375585,21,normal,1789742123.492044,1789742123.5020278,9.668,0,9.668,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260918T143522Z_dc375585,22,normal,1789742123.5020278,1789742123.5113626,9.088,0,9.088,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260918T143522Z_dc375585,23,normal,1789742123.5113626,1789742123.5204992,9.342,0,9.342,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260918T143522Z_dc375585,24,normal,1789742123.5204992,1789742123.5317504,10.827,0,10.827,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260918T143522Z_dc375585,25,normal,1789742123.5317504,1789742123.541465,9.731,0,9.731,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260918T143522Z_dc375585,26,normal,1789742123.541465,1789742123.5514965,10.184,0,10.184,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260918T143522Z_dc375585,27,normal,1789742123.5514965,1789742123.5615342,9.919,0,9.919,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260918T143522Z_dc375585,28,normal,1789742123.5615342,1789742123.5718455,9.997,0,9.997,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260918T143522Z_dc375585,29,normal,1789742123.5718455,1789742123.58222,10.409,0,10.409,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260918T143522Z_dc375585,30,normal,1789742123.58222,1789742123.5910614,9.188,0,9.188,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 30}"
20260918T143522Z_dc375585,31,normal,1789742123.5920093,1789742123.6011107,9.411,0,9.411,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 31}"
20260918T143522Z_dc375585,32,normal,1789742123.6011107,1789742123.6100729,9.061,0,9.061,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 32}"
20260918T143522Z_dc375585,33,normal,1789742123.610623,1789742123.6202838,9.896,0,9.896,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 33}"
20260918T143522Z_dc375585,34,normal,1789742123.6202838,1789742123.6304073,9.79,0,9.79,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 34}"
20260918T143522Z_dc375585,35,normal,1789742123.6304073,1789742123.6414459,11.477,0,11.477,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 35}"
20260918T143522Z_dc375585,36,normal,1789742123.6414459,1789742123.6515484,9.724,0,9.724,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 36}"
20260918T143522Z_dc375585,37,normal,1789742123.6515484,1789742123.66027,8.638,0,8.638,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 37}"
20260918T143522Z_dc375585,38,normal,1789742123.66027,1789742123.6700587,9.49,0,9.49,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 38}"
20260918T143522Z_dc375585,39,normal,1789742123.6700587,1789742123.6793647,9.698,0,9.698,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 39}"
20260918T143522Z_dc375585,40,normal,1789742123.679941,1789742123.6893528,9.386,0,9.386,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 40}"
20260918T143522Z_dc375585,41,normal,1789742123.6893528,1789742123.6997302,10.66,0,10.66,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 41}"
20260918T143522Z_dc375585,42,normal,1789742123.6997302,1789742123.710401,10.496,0,10.496,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 42}"
20260918T143522Z_dc375585,43,normal,1789742123.710401,1789742123.719842,9.171,0,9.171,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 43}"
20260918T143522Z_dc375585,44,normal,1789742123.719842,1789742123.7300234,9.859,0,9.859,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 44}"
20260918T143522Z_dc375585,45,normal,1789742123.7300234,1789742123.7422874,12.23,0,12.23,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 45}"
20260918T143522Z_dc375585,46,normal,1789742123.7422874,1789742123.7527032,10.711,0,10.711,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 46}"
20260918T143522Z_dc375585,47,normal,1789742123.7527032,1789742123.7628956,9.67,0,9.67,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 47}"
20260918T143522Z_dc375585,48,normal,1789742123.7628956,1789742123.772557,9.921,0,9.921,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 48}"
20260918T143522Z_dc375585,49,normal,1789742123.772557,1789742123.7843113,11.645,0,11.645,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 49}"
20260918T143522Z_dc375585,50,normal,1789742123.7843113,1789742123.7961385,11.397,0,11.397,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 50}"
20260918T143522Z_dc375585,51,normal,1789742123.7961385,1789742123.8094084,13.399,0,13.399,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 51}"
20260918T143522Z_dc375585,52,normal,1789742123.8094084,1789742123.819871,10.692,0,10.692,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 52}"
20260918T143522Z_dc375585,53,normal,1789742123.8206468,1789742123.831206,10.642,0,10.642,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 53}"
20260918T143522Z_dc375585,54,normal,1789742123.831206,1789742123.8421674,11.156,0,11.156,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 54}"
20260918T143522Z_dc375585,55,normal,1789742123.8421674,1789742123.8522942,10.194,0,10.194,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 55}"
20260918T143522Z_dc375585,56,normal,1789742123.852897,1789742123.8641064,11.403,0,11.403,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 56}"
20260918T143522Z_dc375585,57,normal,1789742123.8641064,1789742123.8752832,10.977,0,10.977,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 57}"
20260918T143522Z_dc375585,58,normal,1789742123.8752832,1789742123.885165,9.815,0,9.815,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 58}"
20260918T143522Z_dc375585,59,normal,1789742123.885165,1789742123.8948116,9.521,0,9.521,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 59}"
20260918T143522Z_dc375585,60,normal,1789742123.8948116,1789742123.9057064,10.76,0,10.76,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 60}"
20260918T143522Z_dc375585,61,normal,1789742123.9057064,1789742123.9152062,9.675,0,9.675,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 61}"
20260918T143522Z_dc375585,62,normal,1789742123.9152062,1789742123.9252713,9.649,0,9.649,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 62}"
20260918T143522Z_dc375585,63,normal,1789742123.9252713,1789742123.934568,9.435,0,9.435,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 63}"
20260918T143522Z_dc375585,64,normal,1789742123.934568,1789742123.9446888,9.854,0,9.854,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 64}"
20260918T143522Z_dc375585,65,normal,1789742123.9446888,1789742123.9547312,9.921,0,9.921,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 65}"
20260918T143522Z_dc375585,66,normal,1789742123.9547312,1789742123.964492,9.842,0,9.842,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 66}"
20260918T143522Z_dc375585,67,normal,1789742123.964492,1789742123.9768512,11.952,0,11.952,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 67}"
20260918T143522Z_dc375585,68,normal,1789742123.9768512,1789742123.9866045,9.736,0,9.736,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 68}"
20260918T143522Z_dc375585,69,normal,1789742123.9866045,1789742123.9963875,9.987,0,9.987,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 69}"
20260918T143522Z_dc375585,70,normal,1789742123.9963875,1789742124.006131,9.364,0,9.364,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 70}"
20260918T143522Z_dc375585,71,normal,1789742124.006131,1789742124.015872,10.1,0,10.1,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 71}"
20260918T143522Z_dc375585,72,normal,1789742124.015872,1789742124.026911,10.674,0,10.674,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 72}"
20260918T143522Z_dc375585,73,normal,1789742124.026911,1789742124.036983,9.79,0,9.79,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 73}"
20260918T143522Z_dc375585,74,normal,1789742124.036983,1789742124.046945,9.683,0,9.683,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 74}"
20260918T143522Z_dc375585,75,normal,1789742124.046945,1789742124.0557013,8.762,0,8.762,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 75}"
20260918T143522Z_dc375585,76,normal,1789742124.0557013,1789742124.0656316,9.887,0,9.887,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 76}"
20260918T143522Z_dc375585,77,normal,1789742124.0656316,1789742124.0755126,10.045,0,10.045,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 77}"
20260918T143522Z_dc375585,78,normal,1789742124.0755126,1789742124.0866222,10.917,0,10.917,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 78}"
20260918T143522Z_dc375585,79,normal,1789742124.0866222,1789742124.0972638,10.307,0,10.307,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 79}"
20260918T143522Z_dc375585,80,normal,1789742124.0972638,1789742124.108075,10.667,0,10.667,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 80}"
20260918T143522Z_dc375585,81,normal,1789742124.108075,1789742124.11725,9.464,0,9.464,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 81}"
20260918T143522Z_dc375585,82,normal,1789742124.117779,1789742124.1270635,9.339,0,9.339,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 82}"
20260918T143522Z_dc375585,83,normal,1789742124.1270635,1789742124.139053,11.907,0,11.907,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 83}"
20260918T143522Z_dc375585,84,normal,1789742124.139053,1789742124.1478047,8.876,0,8.876,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 84}"
20260918T143522Z_dc375585,85,normal,1789742124.1478047,1789742124.1575592,9.693,0,9.693,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 85}"
20260918T143522Z_dc375585,86,normal,1789742124.1575592,1789742124.1669483,9.412,0,9.412,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 86}"
20260918T143522Z_dc375585,87,normal,1789742124.1675012,1789742124.176719,9.368,0,9.368,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 87}"
20260918T143522Z_dc375585,88,normal,1789742124.176719,1789742124.1878054,11.182,0,11.182,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 88}"
20260918T143522Z_dc375585,89,normal,1789742124.1878054,1789742124.1971822,9.069,0,9.069,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 89}"
20260918T143522Z_dc375585,90,normal,1789742124.1971822,1789742124.2059054,8.969,0,8.969,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 90}"
20260918T143522Z_dc375585,91,normal,1789742124.2065125,1789742124.2158287,9.317,0,9.317,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 91}"
