run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T143627Z_ec7b5cab,1,normal,1789742189.1714633,1789742189.2310004,59.095,0,59.095,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 1, ""max_seen_before"": -1, ""violation"": false}, {""version"": 1, ""max_seen_before"": 1, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,2,normal,1789742189.2310004,1789742189.2409737,9.608,0,9.608,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 2, ""max_seen_before"": 1, ""violation"": false}, {""version"": 2, ""max_seen_before"": 2, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,3,normal,1789742189.2409737,1789742189.2505977,9.368,0,9.368,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 3, ""max_seen_before"": 2, ""violation"": false}, {""version"": 3, ""max_seen_before"": 3, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,4,normal,1789742189.2505977,1789742189.2596,8.912,0,8.912,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 4, ""max_seen_before"": 3, ""violation"": false}, {""version"": 4, ""max_seen_before"": 4, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,5,normal,1789742189.2596,1789742189.2688792,9.268,0,9.268,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 5, ""max_seen_before"": 4, ""violation"": false}, {""version"": 5, ""max_seen_before"": 5, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,6,normal,1789742189.2688792,1789742189.2770202,7.836,0,7.836,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 6, ""max_seen_before"": 5, ""violation"": false}, {""version"": 6, ""max_seen_before"": 6, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,7,normal,1789742189.2770202,1789742189.286293,8.907,0,8.907,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 7, ""max_seen_before"": 6, ""violation"": false}, {""version"": 7, ""max_seen_before"": 7, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,8,normal,1789742189.286293,1789742189.295946,9.616,0,9.616,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 8, ""max_seen_before"": 7, ""violation"": false}, {""version"": 8, ""max_seen_before"": 8, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,9,normal,1789742189.295946,1789742189.3046412,8.28,0,8.28,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 9, ""max_seen_before"": 8, ""violation"": false}, {""version"": 9, ""max_seen_before"": 9, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,10,normal,1789742189.3046412,1789742189.3122833,7.996,0,7.996,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 10, ""max_seen_before"": 9, ""violation"": false}, {""version"": 10, ""max_seen_before"": 10, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,11,normal,1789742189.3128357,1789742189.3213644,8.735,0,8.735,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 11, ""max_seen_before"": 10, ""violation"": false}, {""version"": 11, ""max_seen_before"": 11, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,12,normal,1789742189.3213644,1789742189.329162,7.541,0,7.541,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 12, ""max_seen_before"": 11, ""violation"": false}, {""version"": 12, ""max_seen_before"": 12, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,13,normal,1789742189.329162,1789742189.3368564,8.032,0,8.032,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 13, ""max_seen_before"": 12, ""violation"": false}, {""version"": 13, ""max_seen_before"": 13, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,14,normal,1789742189.3374202,1789742189.345337,8.213,0,8.213,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 14, ""max_seen_before"": 13, ""violation"": false}, {""version"": 14, ""max_seen_before"": 14, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,15,normal,1789742189.34593,1789742189.3541944,8.199,0,8.199,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 15, ""max_seen_before"": 14, ""violation"": false}, {""version"": 15, ""max_seen_before"": 15, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,16,normal,1789742189.3541944,1789742189.3635836,9.694,0,9.694,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 16, ""max_seen_before"": 15, ""violation"": false}, {""version"": 16, ""max_seen_before"": 16, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,17,normal,1789742189.3635836,1789742189.3722165,8.423,0,8.423,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 17, ""max_seen_before"": 16, ""violation"": false}, {""version"": 17, ""max_seen_before"": 17, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,18,normal,1789742189.3722165,1789742189.380661,8.094,0,8.094,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 18, ""max_seen_before"": 17, ""violation"": false}, {""version"": 18, ""max_seen_before"": 18, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,19,normal,1789742189.380661,1789742189.3897374,8.877,0,8.877,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 19, ""max_seen_before"": 18, ""violation"": false}, {""version"": 19, ""max_seen_before"": 19, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,20,normal,1789742189.3897374,1789742189.3993144,9.881,0,9.881,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 20, ""max_seen_before"": 19, ""violation"": false}, {""version"": 20, ""max_seen_before"": 20, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,21,normal,1789742189.3993144,1789742189.4095533,9.958,0,9.958,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 21, ""max_seen_before"": 20, ""violation"": false}, {""version"": 21, ""max_seen_before"": 21, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,22,normal,1789742189.4095533,1789742189.4188097,9.314,0,9.314,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 22, ""max_seen_before"": 21, ""violation"": false}, {""version"": 22, ""max_seen_before"": 22, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,23,normal,1789742189.419395,1789742189.4284008,9.339,0,9.339,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 23, ""max_seen_before"": 22, ""violation"": false}, {""version"": 23, ""max_seen_before"": 23, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,24,normal,1789742189.4284008,1789742189.4387226,9.835,0,9.835,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 24, ""max_seen_before"": 23, ""violation"": false}, {""version"": 24, ""max_seen_before"": 24, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,25,normal,1789742189.4387226,1789742189.449286,10.544,0,10.544,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 25, ""max_seen_before"": 24, ""violation"": false}, {""version"": 25, ""max_seen_before"": 25, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,26,normal,1789742189.449286,1789742189.4589503,9.433,0,9.433,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 26, ""max_seen_before"": 25, ""violation"": false}, {""version"": 26, ""max_seen_before"": 26, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,27,normal,1789742189.4589503,1789742189.4676073,9.021,0,9.021,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 27, ""max_seen_before"": 26, ""violation"": false}, {""version"": 27, ""max_seen_before"": 27, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,28,normal,1789742189.4682064,1789742189.4776049,9.876,0,9.876,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 28, ""max_seen_before"": 27, ""violation"": false}, {""version"": 28, ""max_seen_before"": 28, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,29,normal,1789742189.4782937,1789742189.4877188,9.307,0,9.307,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 29, ""max_seen_before"": 28, ""violation"": false}, {""version"": 29, ""max_seen_before"": 29, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,30,normal,1789742189.4877188,1789742189.4972787,9.465,0,9.465,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 30, ""max_seen_before"": 29, ""violation"": false}, {""version"": 30, ""max_seen_before"": 30, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,31,normal,1789742189.4972787,1789742189.507182,10.161,0,10.161,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 31, ""max_seen_before"": 30, ""violation"": false}, {""version"": 31, ""max_seen_before"": 31, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,32,normal,1789742189.507182,1789742189.5176425,10.078,0,10.078,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 32, ""max_seen_before"": 31, ""violation"": false}, {""version"": 32, ""max_seen_before"": 32, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,33,normal,1789742189.5176425,1789742189.527129,9.71,0,9.71,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 33, ""max_seen_before"": 32, ""violation"": false}, {""version"": 33, ""max_seen_before"": 33, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,34,normal,1789742189.527129,1789742189.5361536,8.634,0,8.634,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 34, ""max_seen_before"": 33, ""violation"": false}, {""version"": 34, ""max_seen_before"": 34, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,35,normal,1789742189.5361536,1789742189.5448668,8.781,0,8.781,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 35, ""max_seen_before"": 34, ""violation"": false}, {""version"": 35, ""max_seen_before"": 35, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,36,normal,1789742189.5448668,1789742189.5542853,9.038,0,9.038,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 36, ""max_seen_before"": 35, ""violation"": false}, {""version"": 36, ""max_seen_before"": 36, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,37,normal,1789742189.5542853,1789742189.563431,8.907,0,8.907,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 37, ""max_seen_before"": 36, ""violation"": false}, {""version"": 37, ""max_seen_before"": 37, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,38,normal,1789742189.563431,1789742189.5712464,8.134,0,8.134,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 38, ""max_seen_before"": 37, ""violation"": false}, {""version"": 38, ""max_seen_before"": 38, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,39,normal,1789742189.5717986,1789742189.5797915,8.241,0,8.241,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 39, ""max_seen_before"": 38, ""violation"": false}, {""version"": 39, ""max_seen_before"": 39, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,40,normal,1789742189.5797915,1789742189.5887055,8.724,0,8.724,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 40, ""max_seen_before"": 39, ""violation"": false}, {""version"": 40, ""max_seen_before"": 40, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,41,normal,1789742189.5887055,1789742189.5976527,8.787,0,8.787,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 41, ""max_seen_before"": 40, ""violation"": false}, {""version"": 41, ""max_seen_before"": 41, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,42,normal,1789742189.5976527,1789742189.606453,8.95,0,8.95,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 42, ""max_seen_before"": 41, ""violation"": false}, {""version"": 42, ""max_seen_before"": 42, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,43,normal,1789742189.606453,1789742189.6160817,9.251,0,9.251,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 43, ""max_seen_before"": 42, ""violation"": false}, {""version"": 43, ""max_seen_before"": 43, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,44,normal,1789742189.6160817,1789742189.6243408,8.378,0,8.378,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 44, ""max_seen_before"": 43, ""violation"": false}, {""version"": 44, ""max_seen_before"": 44, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,45,normal,1789742189.6249485,1789742189.6346052,9.552,0,9.552,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 45, ""max_seen_before"": 44, ""violation"": false}, {""version"": 45, ""max_seen_before"": 45, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,46,normal,1789742189.6346052,1789742189.6435244,9.151,0,9.151,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 46, ""max_seen_before"": 45, ""violation"": false}, {""version"": 46, ""max_seen_before"": 46, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,47,normal,1789742189.6435244,1789742189.6539981,10.4,0,10.4,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 47, ""max_seen_before"": 46, ""violation"": false}, {""version"": 47, ""max_seen_before"": 47, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,48,normal,1789742189.6545706,1789742189.6638167,9.553,0,9.553,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 48, ""max_seen_before"": 47, ""violation"": false}, {""version"": 48, ""max_seen_before"": 48, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,49,normal,1789742189.6638167,1789742189.6724946,8.773,0,8.773,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 49, ""max_seen_before"": 48, ""violation"": false}, {""version"": 49, ""max_seen_before"": 49, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,50,normal,1789742189.6730428,1789742189.6813362,8.336,0,8.336,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 50, ""max_seen_before"": 49, ""violation"": false}, {""version"": 50, ""max_seen_before"": 50, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,51,normal,1789742189.6813362,1789742189.6899126,8.743,0,8.743,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 51, ""max_seen_before"": 50, ""violation"": false}, {""version"": 51, ""max_seen_before"": 51, ""violation"": false}]}"
20260918T143627Z_ec7b5cab,52,normal,1789742189.6899126,1789742189.699613,9.347,0,9.347,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 52, ""max_seen_before"": 51, ""violation"": false}, {""version"": 52, ""max_seen_before"": 52, ""violation"": false}]}"
