run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T144150Z_0022f965,1,normal,1789742510.6456053,1789742510.715061,69.628,0,69.628,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:1"", ""v2:1""], ""snapshot_polls"": 1}"
20260918T144150Z_0022f965,2,normal,1789742510.7156646,1789742510.7349489,19.135,0,19.135,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:2"", ""v2:2""], ""snapshot_polls"": 1}"
20260918T144150Z_0022f965,3,normal,1789742510.7349489,1789742510.7545977,19.007,0,19.007,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:3"", ""v2:3""], ""snapshot_polls"": 1}"
20260918T144150Z_0022f965,4,normal,1789742510.7545977,1789742510.7751493,20.771,0,20.771,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:4"", ""v2:4""], ""snapshot_polls"": 1}"
20260918T144150Z_0022f965,5,normal,1789742510.7751493,1789742510.7975585,22.024,0,22.024,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:5"", ""v2:5""], ""snapshot_polls"": 1}"
20260918T144150Z_0022f965,6,normal,1789742510.7975585,1789742510.817243,19.977,0,19.977,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:6"", ""v2:6""], ""snapshot_polls"": 1}"
20260918T144150Z_0022f965,7,normal,1789742510.8177896,1789742510.8395903,22.05,0,22.05,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:7"", ""v2:7""], ""snapshot_polls"": 1}"
20260918T144150Z_0022f965,8,normal,1789742510.8395903,1789742510.86142,21.401,0,21.401,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:8"", ""v2:8""], ""snapshot_polls"": 1}"
20260918T144150Z_0022f965,9,normal,1789742510.86142,1789742510.8817823,20.291,0,20.291,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:9"", ""v2:9""], ""snapshot_polls"": 1}"
20260918T144150Z_0022f965,10,normal,1789742510.8817823,1789742510.9019203,19.997,0,19.997,pass,,independent_snapshot,"{""prerequisite_acknowledged"": true, ""client_b_read_v1"": true, ""dependent_acknowledged"": true, ""visible_ids"": [""v1:10"", ""v2:10""], ""snapshot_polls"": 1}"
