run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T144254Z_80854050,1,normal,1789742575.1762214,1789742575.1912074,15.29,0,15.29,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T144254Z_80854050,2,normal,1789742575.1918597,1789742575.2038865,11.837,0,11.837,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T144254Z_80854050,3,normal,1789742575.2038865,1789742575.2101786,6.51,0,6.51,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T144254Z_80854050,4,normal,1789742575.2108479,1789742575.2164643,5.911,0,5.911,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260918T144254Z_80854050,5,normal,1789742575.2172232,1789742575.2235508,6.317,0,6.317,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260918T144254Z_80854050,6,normal,1789742575.2235508,1789742575.2300642,6.843,0,6.843,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260918T144254Z_80854050,7,normal,1789742575.2307093,1789742575.2362309,6.002,0,6.002,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260918T144254Z_80854050,8,normal,1789742575.2368517,1789742575.2440202,7.289,0,7.289,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260918T144254Z_80854050,9,normal,1789742575.2440202,1789742575.250471,6.685,0,6.685,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260918T144254Z_80854050,10,normal,1789742575.2510602,1789742575.257639,7.014,0,7.014,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260918T144254Z_80854050,11,normal,1789742575.257639,1789742575.264321,6.592,0,6.592,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
