run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T144611Z_b54773ea,1,normal,1789742771.5707169,1789742771.5871665,16.346,0,16.346,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T144611Z_b54773ea,2,normal,1789742771.5877488,1789742771.5996346,11.681,0,11.681,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T144611Z_b54773ea,3,normal,1789742771.5996346,1789742771.6102536,10.538,0,10.538,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260918T144611Z_b54773ea,4,normal,1789742771.610877,1789742771.6277483,17.147,0,17.147,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260918T144611Z_b54773ea,5,normal,1789742771.6277483,1789742771.6379106,9.809,0,9.809,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260918T144611Z_b54773ea,6,normal,1789742771.6379106,1789742771.648524,10.77,0,10.77,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260918T144611Z_b54773ea,7,normal,1789742771.648524,1789742771.6593485,10.499,0,10.499,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260918T144611Z_b54773ea,8,normal,1789742771.6593485,1789742771.670487,11.277,0,11.277,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260918T144611Z_b54773ea,9,normal,1789742771.6711156,1789742771.681062,10.065,0,10.065,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260918T144611Z_b54773ea,10,normal,1789742771.681062,1789742771.690783,9.767,0,9.767,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260918T144611Z_b54773ea,11,normal,1789742771.690783,1789742771.7007709,9.75,0,9.75,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
