run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T144623Z_084b1425,1,normal,1789742784.1300519,1789742784.1939275,63.227,0,63.227,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 1, ""max_seen_before"": -1, ""violation"": false}, {""version"": 1, ""max_seen_before"": 1, ""violation"": false}]}"
20260918T144623Z_084b1425,2,normal,1789742784.1939275,1789742784.2072158,13.367,0,13.367,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 2, ""max_seen_before"": 1, ""violation"": false}, {""version"": 2, ""max_seen_before"": 2, ""violation"": false}]}"
20260918T144623Z_084b1425,3,normal,1789742784.207806,1789742784.2395556,31.579,0,31.579,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 3, ""max_seen_before"": 2, ""violation"": false}, {""version"": 3, ""max_seen_before"": 3, ""violation"": false}]}"
20260918T144623Z_084b1425,4,normal,1789742784.2395556,1789742784.2523205,13.3,0,13.3,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 4, ""max_seen_before"": 3, ""violation"": false}, {""version"": 4, ""max_seen_before"": 4, ""violation"": false}]}"
20260918T144623Z_084b1425,5,normal,1789742784.2532926,1789742784.2655988,12.38,0,12.38,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 5, ""max_seen_before"": 4, ""violation"": false}, {""version"": 5, ""max_seen_before"": 5, ""violation"": false}]}"
20260918T144623Z_084b1425,6,normal,1789742784.2655988,1789742784.2791872,13.506,0,13.506,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 6, ""max_seen_before"": 5, ""violation"": false}, {""version"": 6, ""max_seen_before"": 6, ""violation"": false}]}"
20260918T144623Z_084b1425,7,normal,1789742784.2791872,1789742784.292347,13.409,0,13.409,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 7, ""max_seen_before"": 6, ""violation"": false}, {""version"": 7, ""max_seen_before"": 7, ""violation"": false}]}"
20260918T144623Z_084b1425,8,normal,1789742784.2929115,1789742784.3046834,12.131,0,12.131,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 8, ""max_seen_before"": 7, ""violation"": false}, {""version"": 8, ""max_seen_before"": 8, ""violation"": false}]}"
20260918T144623Z_084b1425,9,normal,1789742784.3046834,1789742784.3169737,12.052,0,12.052,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 9, ""max_seen_before"": 8, ""violation"": false}, {""version"": 9, ""max_seen_before"": 9, ""violation"": false}]}"
20260918T144623Z_084b1425,10,normal,1789742784.3169737,1789742784.3308918,13.514,0,13.514,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 10, ""max_seen_before"": 9, ""violation"": false}, {""version"": 10, ""max_seen_before"": 10, ""violation"": false}]}"
20260918T144623Z_084b1425,11,normal,1789742784.3308918,1789742784.343013,12.352,0,12.352,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 11, ""max_seen_before"": 10, ""violation"": false}, {""version"": 11, ""max_seen_before"": 11, ""violation"": false}]}"
20260918T144623Z_084b1425,12,normal,1789742784.343013,1789742784.3560898,13.043,0,13.043,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 12, ""max_seen_before"": 11, ""violation"": false}, {""version"": 12, ""max_seen_before"": 12, ""violation"": false}]}"
20260918T144623Z_084b1425,13,normal,1789742784.3566532,1789742784.3692803,12.685,0,12.685,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 13, ""max_seen_before"": 12, ""violation"": false}, {""version"": 13, ""max_seen_before"": 13, ""violation"": false}]}"
20260918T144623Z_084b1425,14,normal,1789742784.3692803,1789742784.3812795,12.005,0,12.005,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 14, ""max_seen_before"": 13, ""violation"": false}, {""version"": 14, ""max_seen_before"": 14, ""violation"": false}]}"
20260918T144623Z_084b1425,15,normal,1789742784.3812795,1789742784.3942492,12.882,0,12.882,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 15, ""max_seen_before"": 14, ""violation"": false}, {""version"": 15, ""max_seen_before"": 15, ""violation"": false}]}"
20260918T144623Z_084b1425,16,normal,1789742784.3942492,1789742784.4074855,12.895,0,12.895,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 16, ""max_seen_before"": 15, ""violation"": false}, {""version"": 16, ""max_seen_before"": 16, ""violation"": false}]}"
20260918T144623Z_084b1425,17,normal,1789742784.4074855,1789742784.4206939,13.237,0,13.237,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 17, ""max_seen_before"": 16, ""violation"": false}, {""version"": 17, ""max_seen_before"": 17, ""violation"": false}]}"
20260918T144623Z_084b1425,18,normal,1789742784.4206939,1789742784.4334214,12.439,0,12.439,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 18, ""max_seen_before"": 17, ""violation"": false}, {""version"": 18, ""max_seen_before"": 18, ""violation"": false}]}"
20260918T144623Z_084b1425,19,normal,1789742784.4334214,1789742784.4464722,13.096,0,13.096,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 19, ""max_seen_before"": 18, ""violation"": false}, {""version"": 19, ""max_seen_before"": 19, ""violation"": false}]}"
20260918T144623Z_084b1425,20,normal,1789742784.4464722,1789742784.4599242,13.262,0,13.262,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 20, ""max_seen_before"": 19, ""violation"": false}, {""version"": 20, ""max_seen_before"": 20, ""violation"": false}]}"
20260918T144623Z_084b1425,21,normal,1789742784.4599242,1789742784.4732196,13.21,0,13.21,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 21, ""max_seen_before"": 20, ""violation"": false}, {""version"": 21, ""max_seen_before"": 21, ""violation"": false}]}"
20260918T144623Z_084b1425,22,normal,1789742784.4732196,1789742784.48569,12.423,0,12.423,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 22, ""max_seen_before"": 21, ""violation"": false}, {""version"": 22, ""max_seen_before"": 22, ""violation"": false}]}"
20260918T144623Z_084b1425,23,normal,1789742784.48569,1789742784.4982162,12.609,0,12.609,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 23, ""max_seen_before"": 22, ""violation"": false}, {""version"": 23, ""max_seen_before"": 23, ""violation"": false}]}"
20260918T144623Z_084b1425,24,normal,1789742784.4982162,1789742784.512169,13.585,0,13.585,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 24, ""max_seen_before"": 23, ""violation"": false}, {""version"": 24, ""max_seen_before"": 24, ""violation"": false}]}"
20260918T144623Z_084b1425,25,normal,1789742784.512169,1789742784.5239062,11.582,0,11.582,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 25, ""max_seen_before"": 24, ""violation"": false}, {""version"": 25, ""max_seen_before"": 25, ""violation"": false}]}"
20260918T144623Z_084b1425,26,normal,1789742784.5239062,1789742784.5363271,12.223,0,12.223,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 26, ""max_seen_before"": 25, ""violation"": false}, {""version"": 26, ""max_seen_before"": 26, ""violation"": false}]}"
20260918T144623Z_084b1425,27,normal,1789742784.5363271,1789742784.5488577,12.593,0,12.593,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 27, ""max_seen_before"": 26, ""violation"": false}, {""version"": 27, ""max_seen_before"": 27, ""violation"": false}]}"
20260918T144623Z_084b1425,28,normal,1789742784.5488577,1789742784.5618901,12.893,0,12.893,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 28, ""max_seen_before"": 27, ""violation"": false}, {""version"": 28, ""max_seen_before"": 28, ""violation"": false}]}"
20260918T144623Z_084b1425,29,normal,1789742784.5618901,1789742784.5746706,12.46,0,12.46,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 29, ""max_seen_before"": 28, ""violation"": false}, {""version"": 29, ""max_seen_before"": 29, ""violation"": false}]}"
20260918T144623Z_084b1425,30,normal,1789742784.5746706,1789742784.586749,12.665,0,12.665,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 30, ""max_seen_before"": 29, ""violation"": false}, {""version"": 30, ""max_seen_before"": 30, ""violation"": false}]}"
20260918T144623Z_084b1425,31,normal,1789742784.587531,1789742784.6003182,12.821,0,12.821,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 31, ""max_seen_before"": 30, ""violation"": false}, {""version"": 31, ""max_seen_before"": 31, ""violation"": false}]}"
20260918T144623Z_084b1425,32,normal,1789742784.6003182,1789742784.6130803,13.034,0,13.034,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 32, ""max_seen_before"": 31, ""violation"": false}, {""version"": 32, ""max_seen_before"": 32, ""violation"": false}]}"
20260918T144623Z_084b1425,33,normal,1789742784.6137037,1789742784.6260836,12.404,0,12.404,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 33, ""max_seen_before"": 32, ""violation"": false}, {""version"": 33, ""max_seen_before"": 33, ""violation"": false}]}"
20260918T144623Z_084b1425,34,normal,1789742784.6260836,1789742784.63839,12.454,0,12.454,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 34, ""max_seen_before"": 33, ""violation"": false}, {""version"": 34, ""max_seen_before"": 34, ""violation"": false}]}"
20260918T144623Z_084b1425,35,normal,1789742784.63839,1789742784.6520424,13.288,0,13.288,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 35, ""max_seen_before"": 34, ""violation"": false}, {""version"": 35, ""max_seen_before"": 35, ""violation"": false}]}"
20260918T144623Z_084b1425,36,normal,1789742784.6520424,1789742784.6655378,13.439,0,13.439,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 36, ""max_seen_before"": 35, ""violation"": false}, {""version"": 36, ""max_seen_before"": 36, ""violation"": false}]}"
20260918T144623Z_084b1425,37,normal,1789742784.6655378,1789742784.67824,12.585,0,12.585,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 37, ""max_seen_before"": 36, ""violation"": false}, {""version"": 37, ""max_seen_before"": 37, ""violation"": false}]}"
