run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T145329Z_d76376d7,1,normal,1789743210.3452954,1789743210.3739064,28.882,0,28.882,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T145329Z_d76376d7,2,normal,1789743210.3744931,1789743210.3877907,13.632,0,13.632,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260918T145329Z_d76376d7,3,normal,1789743210.3877907,1789743210.397469,9.365,0,9.365,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260918T145329Z_d76376d7,4,normal,1789743210.3980494,1789743210.4070466,8.995,0,8.995,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260918T145329Z_d76376d7,5,normal,1789743210.4070466,1789743210.4161518,9.019,0,9.019,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260918T145329Z_d76376d7,6,normal,1789743210.4161518,1789743210.4254382,9.165,0,9.165,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260918T145329Z_d76376d7,7,normal,1789743210.4254382,1789743210.4350324,9.378,0,9.378,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260918T145329Z_d76376d7,8,normal,1789743210.4350324,1789743210.444415,9.59,0,9.59,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260918T145329Z_d76376d7,9,normal,1789743210.444415,1789743210.454462,9.702,0,9.702,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260918T145329Z_d76376d7,10,normal,1789743210.454462,1789743210.4641573,9.818,0,9.818,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260918T145329Z_d76376d7,11,normal,1789743210.4641573,1789743210.473357,9.218,0,9.218,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260918T145329Z_d76376d7,12,normal,1789743210.4738724,1789743210.4830098,9.251,0,9.251,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260918T145329Z_d76376d7,13,normal,1789743210.4830098,1789743210.4925716,9.364,0,9.364,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260918T145329Z_d76376d7,14,normal,1789743210.4925716,1789743210.5029337,10.316,0,10.316,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260918T145329Z_d76376d7,15,normal,1789743210.5029337,1789743210.5123022,9.255,0,9.255,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260918T145329Z_d76376d7,16,normal,1789743210.5123022,1789743210.5214438,9.134,0,9.134,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260918T145329Z_d76376d7,17,normal,1789743210.5214438,1789743210.5311408,9.649,0,9.649,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260918T145329Z_d76376d7,18,normal,1789743210.5311408,1789743210.5407631,9.416,0,9.416,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260918T145329Z_d76376d7,19,normal,1789743210.5407631,1789743210.5506134,9.761,0,9.761,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260918T145329Z_d76376d7,20,normal,1789743210.5506134,1789743210.5601618,9.351,0,9.351,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260918T145329Z_d76376d7,21,normal,1789743210.5601618,1789743210.5695784,9.516,0,9.516,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260918T145329Z_d76376d7,22,normal,1789743210.5695784,1789743210.57897,9.118,0,9.118,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260918T145329Z_d76376d7,23,normal,1789743210.57897,1789743210.5893958,10.271,0,10.271,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260918T145329Z_d76376d7,24,normal,1789743210.5893958,1789743210.60047,11.466,0,11.466,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260918T145329Z_d76376d7,25,normal,1789743210.6010926,1789743210.6104581,9.252,0,9.252,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260918T145329Z_d76376d7,26,normal,1789743210.6104581,1789743210.6197438,9.255,0,9.255,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260918T145329Z_d76376d7,27,normal,1789743210.6197438,1789743210.6289306,9.706,0,9.706,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260918T145329Z_d76376d7,28,normal,1789743210.6289306,1789743210.6389964,10.047,0,10.047,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260918T145329Z_d76376d7,29,normal,1789743210.6389964,1789743210.6503224,10.482,0,10.482,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260918T145329Z_d76376d7,30,normal,1789743210.6503224,1789743210.660245,10.264,0,10.264,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 30}"
20260918T145329Z_d76376d7,31,normal,1789743210.660245,1789743210.6699507,9.566,0,9.566,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 31}"
20260918T145329Z_d76376d7,32,normal,1789743210.6705554,1789743210.6805596,10.147,0,10.147,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 32}"
20260918T145329Z_d76376d7,33,normal,1789743210.6805596,1789743210.690758,9.94,0,9.94,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 33}"
20260918T145329Z_d76376d7,34,normal,1789743210.690758,1789743210.700531,9.691,0,9.691,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 34}"
20260918T145329Z_d76376d7,35,normal,1789743210.700531,1789743210.7113707,10.738,0,10.738,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 35}"
20260918T145329Z_d76376d7,36,normal,1789743210.7113707,1789743210.7209997,9.609,0,9.609,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 36}"
20260918T145329Z_d76376d7,37,normal,1789743210.7209997,1789743210.7318778,10.619,0,10.619,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 37}"
20260918T145329Z_d76376d7,38,normal,1789743210.7318778,1789743210.7413101,9.801,0,9.801,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 38}"
20260918T145329Z_d76376d7,39,normal,1789743210.7413101,1789743210.7510464,9.232,0,9.232,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 39}"
20260918T145329Z_d76376d7,40,normal,1789743210.7510464,1789743210.760502,9.458,0,9.458,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 40}"
20260918T145329Z_d76376d7,41,normal,1789743210.760502,1789743210.7700682,9.421,0,9.421,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 41}"
20260918T145329Z_d76376d7,42,normal,1789743210.7700682,1789743210.7797973,9.622,0,9.622,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 42}"
20260918T145329Z_d76376d7,43,normal,1789743210.7797973,1789743210.789455,9.981,0,9.981,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 43}"
20260918T145329Z_d76376d7,44,normal,1789743210.7900736,1789743210.7990103,9.239,0,9.239,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 44}"
20260918T145329Z_d76376d7,45,normal,1789743210.7990103,1789743210.809487,10.432,0,10.432,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 45}"
