run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T145523Z_6e3303b0,1,normal,1789743323.9427574,1789743323.9757247,32.992,0,32.992,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260918T145523Z_6e3303b0,2,normal,1789743323.9763806,1789743324.0157237,39.477,0,39.477,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260918T145523Z_6e3303b0,3,normal,1789743324.0157237,1789743324.0251756,9.478,0,9.478,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260918T145523Z_6e3303b0,4,normal,1789743324.025795,1789743324.035191,9.287,0,9.287,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260918T145523Z_6e3303b0,5,normal,1789743324.035191,1789743324.0446675,9.618,0,9.618,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260918T145523Z_6e3303b0,6,normal,1789743324.0446675,1789743324.0550926,9.944,0,9.944,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260918T145523Z_6e3303b0,7,normal,1789743324.0550926,1789743324.0641859,9.167,0,9.167,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260918T145523Z_6e3303b0,8,normal,1789743324.0641859,1789743324.072941,9.202,0,9.202,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260918T145523Z_6e3303b0,9,normal,1789743324.0737016,1789743324.0829952,9.302,0,9.302,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260918T145523Z_6e3303b0,10,normal,1789743324.0829952,1789743324.0931673,10.117,0,10.117,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260918T145523Z_6e3303b0,11,normal,1789743324.0931673,1789743324.103225,9.864,0,9.864,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260918T145523Z_6e3303b0,12,normal,1789743324.103225,1789743324.1129475,9.617,0,9.617,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260918T145523Z_6e3303b0,13,normal,1789743324.1129475,1789743324.1220694,9.298,0,9.298,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260918T145523Z_6e3303b0,14,normal,1789743324.1220694,1789743324.1320045,9.975,0,9.975,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260918T145523Z_6e3303b0,15,normal,1789743324.1320045,1789743324.1415813,9.227,0,9.227,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260918T145523Z_6e3303b0,16,normal,1789743324.1415813,1789743324.1508813,9.524,0,9.524,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260918T145523Z_6e3303b0,17,normal,1789743324.1508813,1789743324.1613896,10.367,0,10.367,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260918T145523Z_6e3303b0,18,normal,1789743324.1620238,1789743324.1708405,9.206,0,9.206,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260918T145523Z_6e3303b0,19,normal,1789743324.1708405,1789743324.1801286,8.89,0,8.89,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260918T145523Z_6e3303b0,20,normal,1789743324.1801286,1789743324.1891935,8.875,0,8.875,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
