run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260918T145535Z_7097efaa,1,normal,1789743335.7300193,1789743335.7648804,34.573,0,34.573,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T145535Z_7097efaa,2,normal,1789743335.765517,1789743335.7814853,16.487,0,16.487,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260918T145535Z_7097efaa,3,normal,1789743335.7814853,1789743335.7924457,10.481,0,10.481,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260918T145535Z_7097efaa,4,normal,1789743335.7930942,1789743335.80061,7.78,0,7.78,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260918T145535Z_7097efaa,5,normal,1789743335.80061,1789743335.807661,6.918,0,6.918,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260918T145535Z_7097efaa,6,normal,1789743335.807661,1789743335.814285,6.23,0,6.23,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260918T145535Z_7097efaa,7,normal,1789743335.814285,1789743335.8206058,6.22,0,6.22,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260918T145535Z_7097efaa,8,normal,1789743335.8206058,1789743335.8264048,5.991,0,5.991,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260918T145535Z_7097efaa,9,normal,1789743335.8264048,1789743335.8327398,6.163,0,6.163,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260918T145535Z_7097efaa,10,normal,1789743335.8327398,1789743335.839065,6.027,0,6.027,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260918T145535Z_7097efaa,11,normal,1789743335.839065,1789743335.8455868,6.3,0,6.3,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260918T145535Z_7097efaa,12,normal,1789743335.8455868,1789743335.851434,6.118,0,6.118,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260918T145535Z_7097efaa,13,normal,1789743335.851434,1789743335.858132,6.438,0,6.438,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260918T145535Z_7097efaa,14,normal,1789743335.858132,1789743335.8648832,6.504,0,6.504,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260918T145535Z_7097efaa,15,normal,1789743335.8648832,1789743335.8718596,7.21,0,7.21,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260918T145535Z_7097efaa,16,normal,1789743335.8718596,1789743335.879906,7.417,0,7.417,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260918T145535Z_7097efaa,17,normal,1789743335.879906,1789743335.88638,6.576,0,6.576,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260918T145535Z_7097efaa,18,normal,1789743335.88638,1789743335.8927324,6.436,0,6.436,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260918T145535Z_7097efaa,19,normal,1789743335.8927324,1789743335.8986123,6.003,0,6.003,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260918T145535Z_7097efaa,20,normal,1789743335.8993375,1789743335.9051394,5.875,0,5.875,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260918T145535Z_7097efaa,21,normal,1789743335.9051394,1789743335.9108598,5.906,0,5.906,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260918T145535Z_7097efaa,22,normal,1789743335.9108598,1789743335.917109,6.166,0,6.166,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260918T145535Z_7097efaa,23,normal,1789743335.917109,1789743335.9236727,6.075,0,6.075,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260918T145535Z_7097efaa,24,normal,1789743335.9236727,1789743335.9298108,6.159,0,6.159,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260918T145535Z_7097efaa,25,normal,1789743335.9298108,1789743335.9367905,6.98,0,6.98,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260918T145535Z_7097efaa,26,normal,1789743335.9367905,1789743335.9430954,6.004,0,6.004,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260918T145535Z_7097efaa,27,normal,1789743335.9430954,1789743335.9492264,6.097,0,6.097,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260918T145535Z_7097efaa,28,normal,1789743335.9492264,1789743335.9548376,5.645,0,5.645,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260918T145535Z_7097efaa,29,normal,1789743335.9548376,1789743335.9611683,6.001,0,6.001,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260918T145535Z_7097efaa,30,normal,1789743335.9611683,1789743335.967393,6.209,0,6.209,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 30}"
20260918T145535Z_7097efaa,31,normal,1789743335.967393,1789743335.9736161,5.982,0,5.982,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 31}"
20260918T145535Z_7097efaa,32,normal,1789743335.9736161,1789743335.979365,6.012,0,6.012,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 32}"
20260918T145535Z_7097efaa,33,normal,1789743335.979365,1789743335.9859617,6.131,0,6.131,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 33}"
20260918T145535Z_7097efaa,34,normal,1789743335.9859617,1789743335.9915462,5.747,0,5.747,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 34}"
20260918T145535Z_7097efaa,35,normal,1789743335.9915462,1789743335.9975903,5.813,0,5.813,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 35}"
20260918T145535Z_7097efaa,36,normal,1789743335.9975903,1789743336.003175,5.629,0,5.629,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 36}"
20260918T145535Z_7097efaa,37,normal,1789743336.003175,1789743336.0088222,5.66,0,5.66,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 37}"
20260918T145535Z_7097efaa,38,normal,1789743336.0094044,1789743336.0157342,6.627,0,6.627,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 38}"
20260918T145535Z_7097efaa,39,normal,1789743336.0157342,1789743336.0222778,6.092,0,6.092,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 39}"
20260918T145535Z_7097efaa,40,normal,1789743336.0222778,1789743336.0289428,6.775,0,6.775,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 40}"
20260918T145535Z_7097efaa,41,normal,1789743336.0289428,1789743336.0349474,5.917,0,5.917,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 41}"
20260918T145535Z_7097efaa,42,normal,1789743336.0349474,1789743336.0406158,5.462,0,5.462,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 42}"
20260918T145535Z_7097efaa,43,normal,1789743336.0406158,1789743336.0461211,5.67,0,5.67,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 43}"
20260918T145535Z_7097efaa,44,normal,1789743336.0461211,1789743336.0519714,5.659,0,5.659,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 44}"
20260918T145535Z_7097efaa,45,normal,1789743336.0519714,1789743336.058114,6.338,0,6.338,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 45}"
20260918T145535Z_7097efaa,46,normal,1789743336.0586977,1789743336.0642846,5.892,0,5.892,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260918T145535Z_7097efaa,47,normal,1789743336.0642846,1789743336.0712578,6.633,0,6.633,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 47}"
20260918T145535Z_7097efaa,48,normal,1789743336.0712578,1789743336.0778306,6.848,0,6.848,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 48}"
20260918T145535Z_7097efaa,49,normal,1789743336.0784216,1789743336.0846632,6.342,0,6.342,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 49}"
20260918T145535Z_7097efaa,50,normal,1789743336.0846632,1789743336.0905936,5.795,0,5.795,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 50}"
20260918T145535Z_7097efaa,51,normal,1789743336.0905936,1789743336.0964863,6.022,0,6.022,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 51}"
20260918T145535Z_7097efaa,52,normal,1789743336.0964863,1789743336.103197,6.307,0,6.307,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 52}"
20260918T145535Z_7097efaa,53,normal,1789743336.103197,1789743336.108982,5.722,0,5.722,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 53}"
20260918T145535Z_7097efaa,54,normal,1789743336.108982,1789743336.114774,5.755,0,5.755,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 54}"
20260918T145535Z_7097efaa,55,normal,1789743336.114774,1789743336.121504,6.975,0,6.975,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 55}"
20260918T145535Z_7097efaa,56,normal,1789743336.1221936,1789743336.1280036,6.053,0,6.053,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 56}"
20260918T145535Z_7097efaa,57,normal,1789743336.1280036,1789743336.1336637,5.4,0,5.4,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 57}"
20260918T145535Z_7097efaa,58,normal,1789743336.1336637,1789743336.1396554,6.137,0,6.137,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 58}"
20260918T145535Z_7097efaa,59,normal,1789743336.1396554,1789743336.1462042,6.425,0,6.425,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 59}"
20260918T145535Z_7097efaa,60,normal,1789743336.1462042,1789743336.15338,7.16,0,7.16,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 60}"
20260918T145535Z_7097efaa,61,normal,1789743336.153987,1789743336.1598995,5.973,0,5.973,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 61}"
20260918T145535Z_7097efaa,62,normal,1789743336.1598995,1789743336.1660237,6.329,0,6.329,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 62}"
20260918T145535Z_7097efaa,63,normal,1789743336.1660237,1789743336.172253,6.152,0,6.152,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 63}"
20260918T145535Z_7097efaa,64,normal,1789743336.172253,1789743336.1784952,5.961,0,5.961,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 64}"
20260918T145535Z_7097efaa,65,normal,1789743336.1784952,1789743336.1840904,5.457,0,5.457,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 65}"
20260918T145535Z_7097efaa,66,normal,1789743336.1840904,1789743336.189675,5.712,0,5.712,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 66}"
20260918T145535Z_7097efaa,67,normal,1789743336.189675,1789743336.1954865,5.752,0,5.752,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 67}"
