model,scenario,profile,phase,repeats,attempts_total,eligible_total,violations_total,errors_total,not_observed_total,successful_mr_reads_total,mr_read_regressions_total,violation_rate_mean,violation_rate_sd,violation_rate_n,coverage_mean,coverage_sd,coverage_n,eligible_workload_p50_ms_mean,eligible_workload_p50_ms_sd,eligible_workload_p50_ms_n,eligible_workload_p95_ms_mean,eligible_workload_p95_ms_sd,eligible_workload_p95_ms_n
mr,failure,causal,fault,3,1197,1197,0,0,0,2394,0,0.0,0.0,3,1.0,0.0,3,13.359,0.3092587913059219,3,16.421666666666667,0.8539029999556927,3
mr,failure,causal,normal,3,597,597,0,0,0,1194,0,0.0,0.0,3,1.0,0.0,3,13.118333333333334,0.5280012626247534,3,16.34166666666667,1.964490094994967,3
mr,failure,causal,overall,3,3000,3000,0,0,0,6000,0,0.0,0.0,3,1.0,0.0,3,13.272333333333334,0.46604112837102013,3,16.11,0.7012324864123166,3
mr,failure,causal,recovery,3,1203,1203,0,0,0,2406,0,0.0,0.0,3,1.0,0.0,3,13.305333333333333,0.7054050845672531,3,16.58533333333333,1.2600477504179477,3
mr,failure,causal,transition,3,3,3,0,0,0,6,0,0.0,0.0,3,1.0,0.0,3,18.762666666666668,0.8601495993914857,3,18.762666666666668,0.8601495993914857,3
mr,failure,majority,fault,3,1197,1197,0,0,0,2394,0,0.0,0.0,3,1.0,0.0,3,13.477666666666666,0.515474861980032,3,16.328333333333333,0.560780111392455,3
mr,failure,majority,normal,3,597,597,2,0,0,1194,2,0.0033500837520938024,0.005802515268237445,3,1.0,0.0,3,13.463666666666667,0.22556669375892677,3,15.819333333333333,0.782601005195709,3
mr,failure,majority,overall,3,3000,3000,2,0,0,6000,2,0.0006666666666666666,0.0011547005383792516,3,1.0,0.0,3,13.330666666666666,0.41184260747685286,3,15.944333333333335,0.7335675383584898,3
mr,failure,majority,recovery,3,1203,1203,0,0,0,2406,0,0.0,0.0,3,1.0,0.0,3,13.173,0.4694688488068191,3,15.674666666666667,1.0102996255237013,3
mr,failure,majority,transition,3,3,3,0,0,0,6,0,0.0,0.0,3,1.0,0.0,3,17.219,1.3050735611451172,3,17.219,1.3050735611451172,3
mr,failure,weak,fault,3,1197,1197,49,0,0,2394,49,0.04093567251461988,0.062422285190384764,3,1.0,0.0,3,9.781333333333333,0.13066113933887616,3,17.645333333333333,11.103150108565286,3
mr,failure,weak,normal,3,597,597,1,0,0,1194,1,0.0016750418760469012,0.0029012576341187223,3,1.0,0.0,3,9.42,0.5456271620804809,3,11.181333333333333,1.31801150728411,3
mr,failure,weak,overall,3,3000,3000,50,0,0,6000,50,0.016666666666666666,0.024583192089989724,3,1.0,0.0,3,9.667333333333334,0.34793725487986116,3,13.81,5.043695966253318,3
mr,failure,weak,recovery,3,1203,1203,0,0,0,2406,0,0.0,0.0,3,1.0,0.0,3,9.677333333333333,0.437058729844552,3,11.200333333333333,1.1543597070815201,3
mr,failure,weak,transition,3,3,3,0,0,0,6,0,0.0,0.0,3,1.0,0.0,3,14.879333333333333,3.8617755415525306,3,14.879333333333333,3.8617755415525306,3
mr,normal,causal,normal,3,3000,3000,0,0,0,6000,0,0.0,0.0,3,1.0,0.0,3,12.980666666666666,0.19993082136912563,3,14.963000000000001,0.6314039911182062,3
mr,normal,causal,overall,3,3000,3000,0,0,0,6000,0,0.0,0.0,3,1.0,0.0,3,12.980666666666666,0.19993082136912563,3,14.963000000000001,0.6314039911182062,3
mr,normal,majority,normal,3,3000,3000,1,0,0,6000,1,0.0003333333333333333,0.0005773502691896258,3,1.0,0.0,3,13.324666666666666,0.481279890846619,3,18.715666666666667,4.624515361995604,3
mr,normal,majority,overall,3,3000,3000,1,0,0,6000,1,0.0003333333333333333,0.0005773502691896258,3,1.0,0.0,3,13.324666666666666,0.481279890846619,3,18.715666666666667,4.624515361995604,3
