repeat,model,scenario,profile,phase,attempts,eligible,violations,errors,not_observed,coverage,violation_rate,successful_mr_reads,mr_read_regressions,eligible_workload_p50_ms,eligible_workload_p95_ms,folder
1,mr,normal,causal,overall,1000,1000,0,0,0,1.0,0.0,2000,0,13.209,15.692,20260918T135314Z_5c2d1525_mr_normal_causal
1,mr,normal,causal,normal,1000,1000,0,0,0,1.0,0.0,2000,0,13.209,15.692,20260918T135314Z_5c2d1525_mr_normal_causal
1,wfr,normal,causal,overall,1000,1000,0,0,0,1.0,0.0,0,0,20.262,23.17,20260918T135329Z_cc861c32_wfr_normal_causal
1,wfr,normal,causal,normal,1000,1000,0,0,0,1.0,0.0,0,0,20.262,23.17,20260918T135329Z_cc861c32_wfr_normal_causal
1,wfr,normal,weak,overall,1000,1000,0,0,0,1.0,0.0,0,0,29.873,33.74,20260918T135352Z_82a57953_wfr_normal_weak
1,wfr,normal,weak,normal,1000,1000,0,0,0,1.0,0.0,0,0,29.873,33.74,20260918T135352Z_82a57953_wfr_normal_weak
1,ryw,normal,causal,overall,1000,1000,0,0,0,1.0,0.0,0,0,10.415,12.734,20260918T135423Z_19292993_ryw_normal_causal
1,ryw,normal,causal,normal,1000,1000,0,0,0,1.0,0.0,0,0,10.415,12.734,20260918T135423Z_19292993_ryw_normal_causal
1,wfr,failure,weak,overall,1000,1000,0,0,0,1.0,0.0,0,0,32.477,110.734,20260918T135436Z_0084cfa3_wfr_failure_weak
1,wfr,failure,weak,normal,199,199,0,0,0,1.0,0.0,0,0,30.072,33.89,20260918T135436Z_0084cfa3_wfr_failure_weak
1,wfr,failure,weak,transition,1,1,0,0,0,1.0,0.0,0,0,107.857,107.857,20260918T135436Z_0084cfa3_wfr_failure_weak
1,wfr,failure,weak,fault,399,399,0,0,0,1.0,0.0,0,0,102.595,115.215,20260918T135436Z_0084cfa3_wfr_failure_weak
1,wfr,failure,weak,recovery,401,401,0,0,0,1.0,0.0,0,0,30.336,35.957,20260918T135436Z_0084cfa3_wfr_failure_weak
1,ryw,normal,majority,overall,1000,1000,0,0,0,1.0,0.0,0,0,10.006,11.654,20260918T135547Z_2b3e7ef3_ryw_normal_majority
1,ryw,normal,majority,normal,1000,1000,0,0,0,1.0,0.0,0,0,10.006,11.654,20260918T135547Z_2b3e7ef3_ryw_normal_majority
1,wfr,partition,weak,overall,1000,987,0,1,12,0.987,0.0,0,0,32.536,110.714,20260918T135559Z_5817ce0e_wfr_partition_weak
1,wfr,partition,weak,normal,199,199,0,0,0,1.0,0.0,0,0,30.119,34.958,20260918T135559Z_5817ce0e_wfr_partition_weak
1,wfr,partition,weak,transition,1,0,0,1,0,0.0,,0,0,,,20260918T135559Z_5817ce0e_wfr_partition_weak
1,wfr,partition,weak,fault,399,387,0,0,12,0.9699248120300752,0.0,0,0,102.879,117.125,20260918T135559Z_5817ce0e_wfr_partition_weak
1,wfr,partition,weak,recovery,401,401,0,0,0,1.0,0.0,0,0,30.39,34.491,20260918T135559Z_5817ce0e_wfr_partition_weak
1,mr,failure,causal,overall,1000,1000,0,0,0,1.0,0.0,2000,0,13.81,16.829,20260918T135735Z_2326ac4b_mr_failure_causal
1,mr,failure,causal,normal,199,199,0,0,0,1.0,0.0,398,0,13.647,18.547,20260918T135735Z_2326ac4b_mr_failure_causal
1,mr,failure,causal,transition,1,1,0,0,0,1.0,0.0,2,0,17.878,17.878,20260918T135735Z_2326ac4b_mr_failure_causal
1,mr,failure,causal,fault,399,399,0,0,0,1.0,0.0,798,0,13.655,17.403,20260918T135735Z_2326ac4b_mr_failure_causal
1,mr,failure,causal,recovery,401,401,0,0,0,1.0,0.0,802,0,14.119,16.598,20260918T135735Z_2326ac4b_mr_failure_causal
1,ryw,partition,causal,overall,1000,999,0,1,0,0.999,0.0,0,0,10.398,13.447,20260918T135801Z_d006ffc9_ryw_partition_causal
1,ryw,partition,causal,normal,199,199,0,0,0,1.0,0.0,0,0,10.057,11.506,20260918T135801Z_d006ffc9_ryw_partition_causal
1,ryw,partition,causal,transition,1,1,0,0,0,1.0,0.0,0,0,13.916,13.916,20260918T135801Z_d006ffc9_ryw_partition_causal
1,ryw,partition,causal,fault,399,398,0,1,0,0.9974937343358395,0.0,0,0,10.781,14.548,20260918T135801Z_d006ffc9_ryw_partition_causal
1,ryw,partition,causal,recovery,401,401,0,0,0,1.0,0.0,0,0,10.361,12.747,20260918T135801Z_d006ffc9_ryw_partition_causal
1,mr,normal,weak,overall,1000,1000,3,0,0,1.0,0.003,2000,3,9.599,11.603,20260918T135850Z_c2469c67_mr_normal_weak
1,mr,normal,weak,normal,1000,1000,3,0,0,1.0,0.003,2000,3,9.599,11.603,20260918T135850Z_c2469c67_mr_normal_weak
1,mr,partition,majority,overall,1000,999,1,1,0,0.999,0.001001001001001001,1998,1,13.946,17.528,20260918T135902Z_ab0d4ba4_mr_partition_majority
1,mr,partition,majority,normal,199,199,1,0,0,1.0,0.005025125628140704,398,1,14.183,17.373,20260918T135902Z_ab0d4ba4_mr_partition_majority
1,mr,partition,majority,transition,1,1,0,0,0,1.0,0.0,2,0,17.347,17.347,20260918T135902Z_ab0d4ba4_mr_partition_majority
1,mr,partition,majority,fault,399,398,0,1,0,0.9974937343358395,0.0,796,0,13.818,18.41,20260918T135902Z_ab0d4ba4_mr_partition_majority
1,mr,partition,majority,recovery,401,401,0,0,0,1.0,0.0,802,0,13.904,16.472,20260918T135902Z_ab0d4ba4_mr_partition_majority
1,ryw,failure,causal,overall,1000,1000,0,0,0,1.0,0.0,0,0,10.839,13.08,20260918T135955Z_7b0f9647_ryw_failure_causal
1,ryw,failure,causal,normal,199,199,0,0,0,1.0,0.0,0,0,10.173,12.471,20260918T135955Z_7b0f9647_ryw_failure_causal
1,ryw,failure,causal,transition,1,1,0,0,0,1.0,0.0,0,0,16.371,16.371,20260918T135955Z_7b0f9647_ryw_failure_causal
1,ryw,failure,causal,fault,399,399,0,0,0,1.0,0.0,0,0,10.596,13.13,20260918T135955Z_7b0f9647_ryw_failure_causal
1,ryw,failure,causal,recovery,401,401,0,0,0,1.0,0.0,0,0,11.46,13.101,20260918T135955Z_7b0f9647_ryw_failure_causal
1,wfr,normal,majority,overall,1000,1000,0,0,0,1.0,0.0,0,0,20.674,24.669,20260918T140017Z_e59cdb50_wfr_normal_majority
1,wfr,normal,majority,normal,1000,1000,0,0,0,1.0,0.0,0,0,20.674,24.669,20260918T140017Z_e59cdb50_wfr_normal_majority
1,mw,failure,causal,overall,1000,1000,0,0,0,1.0,0.0,0,0,18.092,23.719,20260918T140041Z_31a9f3bb_mw_failure_causal
1,mw,failure,causal,normal,199,199,0,0,0,1.0,0.0,0,0,17.801,20.69,20260918T140041Z_31a9f3bb_mw_failure_causal
1,mw,failure,causal,transition,1,1,0,0,0,1.0,0.0,0,0,579.118,579.118,20260918T140041Z_31a9f3bb_mw_failure_causal
1,mw,failure,causal,fault,399,399,0,0,0,1.0,0.0,0,0,18.213,22.615,20260918T140041Z_31a9f3bb_mw_failure_causal
1,mw,failure,causal,recovery,401,401,0,0,0,1.0,0.0,0,0,18.251,29.571,20260918T140041Z_31a9f3bb_mw_failure_causal
1,mw,normal,causal,overall,1000,1000,0,0,0,1.0,0.0,0,0,20.342,73.179,20260918T140111Z_66339021_mw_normal_causal
1,mw,normal,causal,normal,1000,1000,0,0,0,1.0,0.0,0,0,20.342,73.179,20260918T140111Z_66339021_mw_normal_causal
1,wfr,partition,majority,overall,1000,999,0,1,0,0.999,0.0,0,0,21.477,25.658,20260918T140141Z_d0b63c0a_wfr_partition_majority
1,wfr,partition,majority,normal,199,199,0,0,0,1.0,0.0,0,0,22.168,25.29,20260918T140141Z_d0b63c0a_wfr_partition_majority
1,wfr,partition,majority,transition,1,0,0,1,0,0.0,,0,0,,,20260918T140141Z_d0b63c0a_wfr_partition_majority
1,wfr,partition,majority,fault,399,399,0,0,0,1.0,0.0,0,0,21.213,27.967,20260918T140141Z_d0b63c0a_wfr_partition_majority
1,wfr,partition,majority,recovery,401,401,0,0,0,1.0,0.0,0,0,21.317,24.993,20260918T140141Z_d0b63c0a_wfr_partition_majority
1,ryw,failure,weak,overall,1000,1000,62,0,0,1.0,0.062,0,0,7.12,9.549,20260918T140242Z_6b920901_ryw_failure_weak
1,ryw,failure,weak,normal,199,199,61,0,0,1.0,0.3065326633165829,0,0,6.822,21.477,20260918T140242Z_6b920901_ryw_failure_weak
1,ryw,failure,weak,transition,1,1,0,0,0,1.0,0.0,0,0,9.626,9.626,20260918T140242Z_6b920901_ryw_failure_weak
1,ryw,failure,weak,fault,399,399,0,0,0,1.0,0.0,0,0,7.151,8.846,20260918T140242Z_6b920901_ryw_failure_weak
1,ryw,failure,weak,recovery,401,401,1,0,0,1.0,0.0024937655860349127,0,0,7.167,9.064,20260918T140242Z_6b920901_ryw_failure_weak
1,mr,partition,causal,overall,1000,999,0,1,0,0.999,0.0,1998,0,14.176,17.716,20260918T140302Z_3b9be7f9_mr_partition_causal
1,mr,partition,causal,normal,199,199,0,0,0,1.0,0.0,398,0,14.827,16.512,20260918T140302Z_3b9be7f9_mr_partition_causal
1,mr,partition,causal,transition,1,1,0,0,0,1.0,0.0,2,0,18.157,18.157,20260918T140302Z_3b9be7f9_mr_partition_causal
1,mr,partition,causal,fault,399,398,0,1,0,0.9974937343358395,0.0,796,0,14.083,19.964,20260918T140302Z_3b9be7f9_mr_partition_causal
1,mr,partition,causal,recovery,401,401,0,0,0,1.0,0.0,802,0,13.826,16.782,20260918T140302Z_3b9be7f9_mr_partition_causal
1,wfr,failure,causal,overall,1000,1000,0,0,0,1.0,0.0,0,0,21.071,25.672,20260918T140356Z_a0fc630a_wfr_failure_causal
1,wfr,failure,causal,normal,199,199,0,0,0,1.0,0.0,0,0,20.637,24.827,20260918T140356Z_a0fc630a_wfr_failure_causal
1,wfr,failure,causal,transition,1,1,0,0,0,1.0,0.0,0,0,419.622,419.622,20260918T140356Z_a0fc630a_wfr_failure_causal
1,wfr,failure,causal,fault,399,399,0,0,0,1.0,0.0,0,0,21.403,25.427,20260918T140356Z_a0fc630a_wfr_failure_causal
1,wfr,failure,causal,recovery,401,401,0,0,0,1.0,0.0,0,0,20.895,26.718,20260918T140356Z_a0fc630a_wfr_failure_causal
1,mw,partition,causal,overall,1000,999,0,1,0,0.999,0.0,0,0,17.689,22.155,20260918T140429Z_7264f565_mw_partition_causal
1,mw,partition,causal,normal,199,199,0,0,0,1.0,0.0,0,0,17.621,20.711,20260918T140429Z_7264f565_mw_partition_causal
1,mw,partition,causal,transition,1,0,0,1,0,0.0,,0,0,,,20260918T140429Z_7264f565_mw_partition_causal
1,mw,partition,causal,fault,399,399,0,0,0,1.0,0.0,0,0,18.374,23.651,20260918T140429Z_7264f565_mw_partition_causal
1,mw,partition,causal,recovery,401,401,0,0,0,1.0,0.0,0,0,17.246,20.326,20260918T140429Z_7264f565_mw_partition_causal
1,ryw,partition,majority,overall,1000,999,2,1,0,0.999,0.002002002002002002,0,0,10.428,13.558,20260918T140526Z_94529d16_ryw_partition_majority
1,ryw,partition,majority,normal,199,199,2,0,0,1.0,0.010050251256281407,0,0,10.001,11.16,20260918T140526Z_94529d16_ryw_partition_majority
1,ryw,partition,majority,transition,1,1,0,0,0,1.0,0.0,0,0,15.773,15.773,20260918T140526Z_94529d16_ryw_partition_majority
1,ryw,partition,majority,fault,399,398,0,1,0,0.9974937343358395,0.0,0,0,10.73,15.385,20260918T140526Z_94529d16_ryw_partition_majority
1,ryw,partition,majority,recovery,401,401,0,0,0,1.0,0.0,0,0,10.385,13.153,20260918T140526Z_94529d16_ryw_partition_majority
1,mr,failure,majority,overall,1000,1000,0,0,0,1.0,0.0,2000,0,13.799,16.789,20260918T140616Z_b478d129_mr_failure_majority
1,mr,failure,majority,normal,199,199,0,0,0,1.0,0.0,398,0,13.686,16.515,20260918T140616Z_b478d129_mr_failure_majority
1,mr,failure,majority,transition,1,1,0,0,0,1.0,0.0,2,0,17.578,17.578,20260918T140616Z_b478d129_mr_failure_majority
