iteration,timestamp,client_id,operation,target,phase,failed_node,written_version,observed_version,max_seen_before,read_concern,write_concern,causal_session,scenario,latency_ms,success,violation,error
1,1789628072.1751785,client_mr,READ_PRIMARY,primary,normal,,1,1,-1,local,1,False,failure,2.84,True,False,
1,1789628072.177796,client_mr,READ_SECONDARY,localhost:27017,normal,,1,1,1,local,1,False,failure,2.6,True,False,
2,1789628072.1799223,client_mr,READ_PRIMARY,primary,normal,,2,2,1,local,1,False,failure,0.99,True,False,
2,1789628072.182835,client_mr,READ_SECONDARY,localhost:27019,normal,,2,2,2,local,1,False,failure,2.9,True,False,
3,1789628072.18424,client_mr,READ_PRIMARY,primary,normal,,3,3,2,local,1,False,failure,0.61,True,False,
3,1789628072.184735,client_mr,READ_SECONDARY,localhost:27017,normal,,3,2,3,local,1,False,failure,0.49,True,True,
4,1789628072.1858335,client_mr,READ_PRIMARY,primary,normal,,4,4,3,local,1,False,failure,0.5,True,False,
4,1789628072.1866865,client_mr,READ_SECONDARY,localhost:27019,normal,,4,4,4,local,1,False,failure,0.85,True,False,
5,1789628072.188469,client_mr,READ_PRIMARY,primary,normal,,5,5,4,local,1,False,failure,1.13,True,False,
5,1789628072.1890965,client_mr,READ_SECONDARY,localhost:27017,normal,,5,5,5,local,1,False,failure,0.62,True,False,
6,1789628072.190773,client_mr,READ_PRIMARY,primary,normal,,6,6,5,local,1,False,failure,0.86,True,False,
6,1789628072.1917744,client_mr,READ_SECONDARY,localhost:27019,normal,,6,6,6,local,1,False,failure,0.99,True,False,
7,1789628072.1930015,client_mr,READ_PRIMARY,primary,normal,,7,7,6,local,1,False,failure,0.63,True,False,
7,1789628072.19363,client_mr,READ_SECONDARY,localhost:27017,normal,,7,7,7,local,1,False,failure,0.62,True,False,
8,1789628072.1949668,client_mr,READ_PRIMARY,primary,normal,,8,8,7,local,1,False,failure,0.56,True,False,
8,1789628072.1958923,client_mr,READ_SECONDARY,localhost:27019,normal,,8,8,8,local,1,False,failure,0.92,True,False,
9,1789628072.1969652,client_mr,READ_PRIMARY,primary,normal,,9,9,8,local,1,False,failure,0.53,True,False,
9,1789628072.1974232,client_mr,READ_SECONDARY,localhost:27017,normal,,9,9,9,local,1,False,failure,0.45,True,False,
10,1789628072.1986096,client_mr,READ_PRIMARY,primary,normal,,10,10,9,local,1,False,failure,0.62,True,False,
10,1789628072.199514,client_mr,READ_SECONDARY,localhost:27019,normal,,10,10,10,local,1,False,failure,0.9,True,False,
11,1789628072.2006035,client_mr,READ_PRIMARY,primary,normal,,11,11,10,local,1,False,failure,0.45,True,False,
11,1789628072.2011464,client_mr,READ_SECONDARY,localhost:27017,normal,,11,11,11,local,1,False,failure,0.53,True,False,
12,1789628072.2019165,client_mr,READ_PRIMARY,primary,normal,,12,12,11,local,1,False,failure,0.37,True,False,
12,1789628072.2027974,client_mr,READ_SECONDARY,localhost:27019,normal,,12,12,12,local,1,False,failure,0.88,True,False,
13,1789628072.2038267,client_mr,READ_PRIMARY,primary,normal,,13,13,12,local,1,False,failure,0.55,True,False,
13,1789628072.2041934,client_mr,READ_SECONDARY,localhost:27017,normal,,13,13,13,local,1,False,failure,0.36,True,False,
14,1789628072.2050562,client_mr,READ_PRIMARY,primary,normal,,14,14,13,local,1,False,failure,0.38,True,False,
14,1789628072.2057447,client_mr,READ_SECONDARY,localhost:27019,normal,,14,14,14,local,1,False,failure,0.68,True,False,
15,1789628072.2067132,client_mr,READ_PRIMARY,primary,normal,,15,15,14,local,1,False,failure,0.55,True,False,
15,1789628072.2073233,client_mr,READ_SECONDARY,localhost:27017,normal,,15,15,15,local,1,False,failure,0.58,True,False,
16,1789628072.2082436,client_mr,READ_PRIMARY,primary,normal,,16,16,15,local,1,False,failure,0.53,True,False,
16,1789628072.2087088,client_mr,READ_SECONDARY,localhost:27019,normal,,16,16,16,local,1,False,failure,0.46,True,False,
17,1789628072.2093017,client_mr,READ_PRIMARY,primary,normal,,17,17,16,local,1,False,failure,0.25,True,False,
17,1789628072.2097845,client_mr,READ_SECONDARY,localhost:27017,normal,,17,17,17,local,1,False,failure,0.48,True,False,
18,1789628072.2106097,client_mr,READ_PRIMARY,primary,normal,,18,18,17,local,1,False,failure,0.42,True,False,
18,1789628072.2112844,client_mr,READ_SECONDARY,localhost:27019,normal,,18,18,18,local,1,False,failure,0.67,True,False,
19,1789628072.2118194,client_mr,READ_PRIMARY,primary,normal,,19,19,18,local,1,False,failure,0.22,True,False,
19,1789628072.212292,client_mr,READ_SECONDARY,localhost:27017,normal,,19,19,19,local,1,False,failure,0.47,True,False,
20,1789628072.2129169,client_mr,READ_PRIMARY,primary,normal,,20,20,19,local,1,False,failure,0.29,True,False,
20,1789628072.2135887,client_mr,READ_SECONDARY,localhost:27019,normal,,20,20,20,local,1,False,failure,0.67,True,False,
21,1789628072.2141275,client_mr,READ_PRIMARY,primary,normal,,21,21,20,local,1,False,failure,0.22,True,False,
21,1789628072.2147794,client_mr,READ_SECONDARY,localhost:27017,normal,,21,21,21,local,1,False,failure,0.65,True,False,
22,1789628072.215418,client_mr,READ_PRIMARY,primary,normal,,22,22,21,local,1,False,failure,0.22,True,False,
22,1789628072.21581,client_mr,READ_SECONDARY,localhost:27019,normal,,22,22,22,local,1,False,failure,0.39,True,False,
23,1789628072.2162879,client_mr,READ_PRIMARY,primary,normal,,23,23,22,local,1,False,failure,0.21,True,False,
23,1789628072.2167232,client_mr,READ_SECONDARY,localhost:27017,normal,,23,22,23,local,1,False,failure,0.43,True,True,
24,1789628072.2172244,client_mr,READ_PRIMARY,primary,normal,,24,24,23,local,1,False,failure,0.21,True,False,
24,1789628072.2178352,client_mr,READ_SECONDARY,localhost:27019,normal,,24,24,24,local,1,False,failure,0.61,True,False,
