timestamp,client_id,operation,target,written_version,observed_version,max_seen_before,read_concern,write_concern,causal_session,scenario,latency_ms,success,violation
1789719014.670518,client_mr,READ_PRIMARY,primary,1,1,-1,local,1,False,normal_codexrun,1.54,True,False
1789719014.675672,client_mr,READ_SECONDARY,127.0.0.1:27117,1,1,1,local,1,False,normal_codexrun,5.11,True,False
1789719014.676899,client_mr,READ_PRIMARY,primary,2,2,1,local,1,False,normal_codexrun,0.36,True,False
1789719014.682166,client_mr,READ_SECONDARY,127.0.0.1:27119,2,2,2,local,1,False,normal_codexrun,5.26,True,False
1789719014.683008,client_mr,READ_PRIMARY,primary,3,3,2,local,1,False,normal_codexrun,0.34,True,False
1789719014.6833658,client_mr,READ_SECONDARY,127.0.0.1:27117,3,2,3,local,1,False,normal_codexrun,0.35,True,True
1789719014.684048,client_mr,READ_PRIMARY,primary,4,4,3,local,1,False,normal_codexrun,0.26,True,False
1789719014.684374,client_mr,READ_SECONDARY,127.0.0.1:27119,4,3,4,local,1,False,normal_codexrun,0.32,True,True
1789719014.6849961,client_mr,READ_PRIMARY,primary,5,5,4,local,1,False,normal_codexrun,0.27,True,False
1789719014.685272,client_mr,READ_SECONDARY,127.0.0.1:27117,5,5,5,local,1,False,normal_codexrun,0.27,True,False
1789719014.685907,client_mr,READ_PRIMARY,primary,6,6,5,local,1,False,normal_codexrun,0.27,True,False
1789719014.6862028,client_mr,READ_SECONDARY,127.0.0.1:27119,6,6,6,local,1,False,normal_codexrun,0.29,True,False
1789719014.686788,client_mr,READ_PRIMARY,primary,7,7,6,local,1,False,normal_codexrun,0.25,True,False
1789719014.6870668,client_mr,READ_SECONDARY,127.0.0.1:27117,7,7,7,local,1,False,normal_codexrun,0.28,True,False
1789719014.687608,client_mr,READ_PRIMARY,primary,8,8,7,local,1,False,normal_codexrun,0.23,True,False
1789719014.687906,client_mr,READ_SECONDARY,127.0.0.1:27119,8,8,8,local,1,False,normal_codexrun,0.3,True,False
1789719014.688551,client_mr,READ_PRIMARY,primary,9,9,8,local,1,False,normal_codexrun,0.33,True,False
1789719014.688951,client_mr,READ_SECONDARY,127.0.0.1:27117,9,9,9,local,1,False,normal_codexrun,0.39,True,False
1789719014.6895318,client_mr,READ_PRIMARY,primary,10,10,9,local,1,False,normal_codexrun,0.24,True,False
1789719014.6898072,client_mr,READ_SECONDARY,127.0.0.1:27119,10,10,10,local,1,False,normal_codexrun,0.27,True,False
1789719014.690325,client_mr,READ_PRIMARY,primary,11,11,10,local,1,False,normal_codexrun,0.23,True,False
1789719014.6905332,client_mr,READ_SECONDARY,127.0.0.1:27117,11,11,11,local,1,False,normal_codexrun,0.21,True,False
1789719014.691031,client_mr,READ_PRIMARY,primary,12,12,11,local,1,False,normal_codexrun,0.22,True,False
1789719014.691264,client_mr,READ_SECONDARY,127.0.0.1:27119,12,12,12,local,1,False,normal_codexrun,0.23,True,False
