timestamp,client_id,operation,target,written_version,observed_version,max_seen_before,read_concern,write_concern,causal_session,scenario,latency_ms,success,violation
1789205314.323411,client_mr,READ_PRIMARY,primary,1,1,-1,local,1,False,normal,0.72,True,False
1789205314.330434,client_mr,READ_SECONDARY,127.0.0.1:27118,1,1,1,local,1,False,normal,6.98,True,False
1789205314.33135,client_mr,READ_PRIMARY,primary,2,2,1,local,1,False,normal,0.33,True,False
1789205314.346428,client_mr,READ_SECONDARY,127.0.0.1:27119,2,2,2,local,1,False,normal,15.07,True,False
1789205314.347542,client_mr,READ_PRIMARY,primary,3,3,2,local,1,False,normal,0.36,True,False
1789205314.347925,client_mr,READ_SECONDARY,127.0.0.1:27118,3,3,3,local,1,False,normal,0.38,True,False
1789205314.348753,client_mr,READ_PRIMARY,primary,4,4,3,local,1,False,normal,0.36,True,False
1789205314.349098,client_mr,READ_SECONDARY,127.0.0.1:27119,4,4,4,local,1,False,normal,0.34,True,False
1789205314.349687,client_mr,READ_PRIMARY,primary,5,5,4,local,1,False,normal,0.24,True,False
1789205314.350017,client_mr,READ_SECONDARY,127.0.0.1:27118,5,4,5,local,1,False,normal,0.33,True,True
1789205314.350634,client_mr,READ_PRIMARY,primary,6,6,5,local,1,False,normal,0.26,True,False
1789205314.350952,client_mr,READ_SECONDARY,127.0.0.1:27119,6,5,6,local,1,False,normal,0.31,True,True
1789205314.351528,client_mr,READ_PRIMARY,primary,7,7,6,local,1,False,normal,0.24,True,False
1789205314.3518028,client_mr,READ_SECONDARY,127.0.0.1:27118,7,7,7,local,1,False,normal,0.27,True,False
1789205314.3523881,client_mr,READ_PRIMARY,primary,8,8,7,local,1,False,normal,0.26,True,False
1789205314.3527439,client_mr,READ_SECONDARY,127.0.0.1:27119,8,7,8,local,1,False,normal,0.35,True,True
1789205314.35344,client_mr,READ_PRIMARY,primary,9,9,8,local,1,False,normal,0.26,True,False
1789205314.353705,client_mr,READ_SECONDARY,127.0.0.1:27118,9,9,9,local,1,False,normal,0.26,True,False
1789205314.354239,client_mr,READ_PRIMARY,primary,10,10,9,local,1,False,normal,0.22,True,False
1789205314.354506,client_mr,READ_SECONDARY,127.0.0.1:27119,10,10,10,local,1,False,normal,0.26,True,False
1789205314.355009,client_mr,READ_PRIMARY,primary,11,11,10,local,1,False,normal,0.22,True,False
1789205314.355288,client_mr,READ_SECONDARY,127.0.0.1:27118,11,11,11,local,1,False,normal,0.28,True,False
1789205314.355851,client_mr,READ_PRIMARY,primary,12,12,11,local,1,False,normal,0.23,True,False
1789205314.3561869,client_mr,READ_SECONDARY,127.0.0.1:27119,12,12,12,local,1,False,normal,0.33,True,False
1789205314.356697,client_mr,READ_PRIMARY,primary,13,13,12,local,1,False,normal,0.21,True,False
1789205314.356919,client_mr,READ_SECONDARY,127.0.0.1:27118,13,13,13,local,1,False,normal,0.22,True,False
1789205314.3573408,client_mr,READ_PRIMARY,primary,14,14,13,local,1,False,normal,0.18,True,False
1789205314.357574,client_mr,READ_SECONDARY,127.0.0.1:27119,14,14,14,local,1,False,normal,0.23,True,False
1789205314.3579872,client_mr,READ_PRIMARY,primary,15,15,14,local,1,False,normal,0.18,True,False
1789205314.358203,client_mr,READ_SECONDARY,127.0.0.1:27118,15,15,15,local,1,False,normal,0.21,True,False
1789205314.3586612,client_mr,READ_PRIMARY,primary,16,16,15,local,1,False,normal,0.19,True,False
1789205314.358885,client_mr,READ_SECONDARY,127.0.0.1:27119,16,16,16,local,1,False,normal,0.22,True,False
1789205314.359286,client_mr,READ_PRIMARY,primary,17,17,16,local,1,False,normal,0.17,True,False
1789205314.359477,client_mr,READ_SECONDARY,127.0.0.1:27118,17,17,17,local,1,False,normal,0.19,True,False
1789205314.359872,client_mr,READ_PRIMARY,primary,18,18,17,local,1,False,normal,0.17,True,False
1789205314.3600829,client_mr,READ_SECONDARY,127.0.0.1:27119,18,18,18,local,1,False,normal,0.21,True,False
1789205314.360502,client_mr,READ_PRIMARY,primary,19,19,18,local,1,False,normal,0.2,True,False
1789205314.360723,client_mr,READ_SECONDARY,127.0.0.1:27118,19,19,19,local,1,False,normal,0.22,True,False
1789205314.3611221,client_mr,READ_PRIMARY,primary,20,20,19,local,1,False,normal,0.17,True,False
1789205314.361333,client_mr,READ_SECONDARY,127.0.0.1:27119,20,20,20,local,1,False,normal,0.21,True,False
1789205314.361732,client_mr,READ_PRIMARY,primary,21,21,20,local,1,False,normal,0.17,True,False
1789205314.3619452,client_mr,READ_SECONDARY,127.0.0.1:27118,21,21,21,local,1,False,normal,0.21,True,False
1789205314.362435,client_mr,READ_PRIMARY,primary,22,22,21,local,1,False,normal,0.22,True,False
1789205314.362663,client_mr,READ_SECONDARY,127.0.0.1:27119,22,22,22,local,1,False,normal,0.23,True,False
1789205314.363158,client_mr,READ_PRIMARY,primary,23,23,22,local,1,False,normal,0.19,True,False
1789205314.3633852,client_mr,READ_SECONDARY,127.0.0.1:27118,23,22,23,local,1,False,normal,0.23,True,True
1789205314.363939,client_mr,READ_PRIMARY,primary,24,24,23,local,1,False,normal,0.24,True,False
1789205314.364175,client_mr,READ_SECONDARY,127.0.0.1:27119,24,24,24,local,1,False,normal,0.23,True,False
1789205314.36467,client_mr,READ_PRIMARY,primary,25,25,24,local,1,False,normal,0.22,True,False
1789205314.364885,client_mr,READ_SECONDARY,127.0.0.1:27118,25,25,25,local,1,False,normal,0.21,True,False
1789205314.3653078,client_mr,READ_PRIMARY,primary,26,26,25,local,1,False,normal,0.18,True,False
1789205314.365512,client_mr,READ_SECONDARY,127.0.0.1:27119,26,26,26,local,1,False,normal,0.2,True,False
1789205314.365925,client_mr,READ_PRIMARY,primary,27,27,26,local,1,False,normal,0.18,True,False
1789205314.366116,client_mr,READ_SECONDARY,127.0.0.1:27118,27,27,27,local,1,False,normal,0.19,True,False
1789205314.366545,client_mr,READ_PRIMARY,primary,28,28,27,local,1,False,normal,0.17,True,False
1789205314.36673,client_mr,READ_SECONDARY,127.0.0.1:27119,28,28,28,local,1,False,normal,0.18,True,False
1789205314.3671181,client_mr,READ_PRIMARY,primary,29,29,28,local,1,False,normal,0.18,True,False
1789205314.367338,client_mr,READ_SECONDARY,127.0.0.1:27118,29,29,29,local,1,False,normal,0.22,True,False
1789205314.36773,client_mr,READ_PRIMARY,primary,30,30,29,local,1,False,normal,0.17,True,False
1789205314.3679261,client_mr,READ_SECONDARY,127.0.0.1:27119,30,30,30,local,1,False,normal,0.19,True,False
1789205314.3683672,client_mr,READ_PRIMARY,primary,31,31,30,local,1,False,normal,0.2,True,False
1789205314.368565,client_mr,READ_SECONDARY,127.0.0.1:27118,31,30,31,local,1,False,normal,0.2,True,True
1789205314.368963,client_mr,READ_PRIMARY,primary,32,32,31,local,1,False,normal,0.17,True,False
1789205314.369227,client_mr,READ_SECONDARY,127.0.0.1:27119,32,32,32,local,1,False,normal,0.26,True,False
1789205314.3696551,client_mr,READ_PRIMARY,primary,33,33,32,local,1,False,normal,0.17,True,False
1789205314.369847,client_mr,READ_SECONDARY,127.0.0.1:27118,33,33,33,local,1,False,normal,0.19,True,False
1789205314.37026,client_mr,READ_PRIMARY,primary,34,34,33,local,1,False,normal,0.17,True,False
1789205314.3705049,client_mr,READ_SECONDARY,127.0.0.1:27119,34,34,34,local,1,False,normal,0.24,True,False
1789205314.370889,client_mr,READ_PRIMARY,primary,35,35,34,local,1,False,normal,0.17,True,False
1789205314.371073,client_mr,READ_SECONDARY,127.0.0.1:27118,35,35,35,local,1,False,normal,0.18,True,False
1789205314.371447,client_mr,READ_PRIMARY,primary,36,36,35,local,1,False,normal,0.16,True,False
1789205314.37165,client_mr,READ_SECONDARY,127.0.0.1:27119,36,36,36,local,1,False,normal,0.2,True,False
1789205314.372105,client_mr,READ_PRIMARY,primary,37,37,36,local,1,False,normal,0.25,True,False
1789205314.3724182,client_mr,READ_SECONDARY,127.0.0.1:27118,37,37,37,local,1,False,normal,0.31,True,False
1789205314.372842,client_mr,READ_PRIMARY,primary,38,38,37,local,1,False,normal,0.19,True,False
1789205314.373023,client_mr,READ_SECONDARY,127.0.0.1:27119,38,38,38,local,1,False,normal,0.18,True,False
1789205314.373396,client_mr,READ_PRIMARY,primary,39,39,38,local,1,False,normal,0.15,True,False
1789205314.3735812,client_mr,READ_SECONDARY,127.0.0.1:27118,39,39,39,local,1,False,normal,0.18,True,False
1789205314.373937,client_mr,READ_PRIMARY,primary,40,40,39,local,1,False,normal,0.15,True,False
1789205314.374115,client_mr,READ_SECONDARY,127.0.0.1:27119,40,40,40,local,1,False,normal,0.18,True,False
1789205314.374475,client_mr,READ_PRIMARY,primary,41,41,40,local,1,False,normal,0.15,True,False
1789205314.374665,client_mr,READ_SECONDARY,127.0.0.1:27118,41,41,41,local,1,False,normal,0.19,True,False
1789205314.375018,client_mr,READ_PRIMARY,primary,42,42,41,local,1,False,normal,0.16,True,False
1789205314.3752131,client_mr,READ_SECONDARY,127.0.0.1:27119,42,42,42,local,1,False,normal,0.19,True,False
1789205314.375587,client_mr,READ_PRIMARY,primary,43,43,42,local,1,False,normal,0.16,True,False
1789205314.375766,client_mr,READ_SECONDARY,127.0.0.1:27118,43,43,43,local,1,False,normal,0.18,True,False
1789205314.3762078,client_mr,READ_PRIMARY,primary,44,44,43,local,1,False,normal,0.21,True,False
1789205314.376483,client_mr,READ_SECONDARY,127.0.0.1:27119,44,44,44,local,1,False,normal,0.27,True,False
1789205314.376878,client_mr,READ_PRIMARY,primary,45,45,44,local,1,False,normal,0.17,True,False
1789205314.3770518,client_mr,READ_SECONDARY,127.0.0.1:27118,45,45,45,local,1,False,normal,0.17,True,False
1789205314.377394,client_mr,READ_PRIMARY,primary,46,46,45,local,1,False,normal,0.15,True,False
1789205314.377572,client_mr,READ_SECONDARY,127.0.0.1:27119,46,46,46,local,1,False,normal,0.18,True,False
1789205314.377912,client_mr,READ_PRIMARY,primary,47,47,46,local,1,False,normal,0.15,True,False
1789205314.3780942,client_mr,READ_SECONDARY,127.0.0.1:27118,47,47,47,local,1,False,normal,0.18,True,False
1789205314.3784199,client_mr,READ_PRIMARY,primary,48,48,47,local,1,False,normal,0.14,True,False
1789205314.3785899,client_mr,READ_SECONDARY,127.0.0.1:27119,48,48,48,local,1,False,normal,0.17,True,False
1789205314.3788831,client_mr,READ_PRIMARY,primary,49,49,48,local,1,False,normal,0.13,True,False
1789205314.379025,client_mr,READ_SECONDARY,127.0.0.1:27118,49,49,49,local,1,False,normal,0.14,True,False
1789205314.379304,client_mr,READ_PRIMARY,primary,50,50,49,local,1,False,normal,0.13,True,False
1789205314.379453,client_mr,READ_SECONDARY,127.0.0.1:27119,50,50,50,local,1,False,normal,0.15,True,False
1789205314.37973,client_mr,READ_PRIMARY,primary,51,51,50,local,1,False,normal,0.13,True,False
1789205314.3798778,client_mr,READ_SECONDARY,127.0.0.1:27118,51,51,51,local,1,False,normal,0.15,True,False
1789205314.380266,client_mr,READ_PRIMARY,primary,52,52,51,local,1,False,normal,0.17,True,False
1789205314.380492,client_mr,READ_SECONDARY,127.0.0.1:27119,52,52,52,local,1,False,normal,0.22,True,False
1789205314.380824,client_mr,READ_PRIMARY,primary,53,53,52,local,1,False,normal,0.13,True,False
1789205314.380964,client_mr,READ_SECONDARY,127.0.0.1:27118,53,53,53,local,1,False,normal,0.14,True,False
1789205314.381279,client_mr,READ_PRIMARY,primary,54,54,53,local,1,False,normal,0.14,True,False
1789205314.381428,client_mr,READ_SECONDARY,127.0.0.1:27119,54,54,54,local,1,False,normal,0.15,True,False
1789205314.381738,client_mr,READ_PRIMARY,primary,55,55,54,local,1,False,normal,0.14,True,False
1789205314.381902,client_mr,READ_SECONDARY,127.0.0.1:27118,55,55,55,local,1,False,normal,0.16,True,False
1789205314.3822012,client_mr,READ_PRIMARY,primary,56,56,55,local,1,False,normal,0.13,True,False
1789205314.3823628,client_mr,READ_SECONDARY,127.0.0.1:27119,56,55,56,local,1,False,normal,0.16,True,True
1789205314.382659,client_mr,READ_PRIMARY,primary,57,57,56,local,1,False,normal,0.13,True,False
1789205314.382829,client_mr,READ_SECONDARY,127.0.0.1:27118,57,57,57,local,1,False,normal,0.17,True,False
1789205314.3831098,client_mr,READ_PRIMARY,primary,58,58,57,local,1,False,normal,0.12,True,False
1789205314.383322,client_mr,READ_SECONDARY,127.0.0.1:27119,58,58,58,local,1,False,normal,0.21,True,False
1789205314.383709,client_mr,READ_PRIMARY,primary,59,59,58,local,1,False,normal,0.14,True,False
1789205314.3838642,client_mr,READ_SECONDARY,127.0.0.1:27118,59,59,59,local,1,False,normal,0.15,True,False
1789205314.384321,client_mr,READ_PRIMARY,primary,60,60,59,local,1,False,normal,0.22,True,False
1789205314.38448,client_mr,READ_SECONDARY,127.0.0.1:27119,60,60,60,local,1,False,normal,0.16,True,False
1789205314.3848178,client_mr,READ_PRIMARY,primary,61,61,60,local,1,False,normal,0.14,True,False
1789205314.384976,client_mr,READ_SECONDARY,127.0.0.1:27118,61,61,61,local,1,False,normal,0.16,True,False
1789205314.38525,client_mr,READ_PRIMARY,primary,62,62,61,local,1,False,normal,0.12,True,False
1789205314.3854022,client_mr,READ_SECONDARY,127.0.0.1:27119,62,61,62,local,1,False,normal,0.15,True,True
1789205314.385739,client_mr,READ_PRIMARY,primary,63,63,62,local,1,False,normal,0.18,True,False
1789205314.3858829,client_mr,READ_SECONDARY,127.0.0.1:27118,63,63,63,local,1,False,normal,0.14,True,False
1789205314.386188,client_mr,READ_PRIMARY,primary,64,64,63,local,1,False,normal,0.13,True,False
1789205314.3863711,client_mr,READ_SECONDARY,127.0.0.1:27119,64,64,64,local,1,False,normal,0.18,True,False
1789205314.3866482,client_mr,READ_PRIMARY,primary,65,65,64,local,1,False,normal,0.12,True,False
1789205314.386809,client_mr,READ_SECONDARY,127.0.0.1:27118,65,65,65,local,1,False,normal,0.16,True,False
1789205314.38709,client_mr,READ_PRIMARY,primary,66,66,65,local,1,False,normal,0.11,True,False
1789205314.387243,client_mr,READ_SECONDARY,127.0.0.1:27119,66,66,66,local,1,False,normal,0.15,True,False
1789205314.387529,client_mr,READ_PRIMARY,primary,67,67,66,local,1,False,normal,0.12,True,False
1789205314.3876748,client_mr,READ_SECONDARY,127.0.0.1:27118,67,67,67,local,1,False,normal,0.14,True,False
1789205314.387959,client_mr,READ_PRIMARY,primary,68,68,67,local,1,False,normal,0.13,True,False
1789205314.38816,client_mr,READ_SECONDARY,127.0.0.1:27119,68,68,68,local,1,False,normal,0.2,True,False
1789205314.388541,client_mr,READ_PRIMARY,primary,69,69,68,local,1,False,normal,0.14,True,False
1789205314.388683,client_mr,READ_SECONDARY,127.0.0.1:27118,69,69,69,local,1,False,normal,0.14,True,False
1789205314.3889742,client_mr,READ_PRIMARY,primary,70,70,69,local,1,False,normal,0.12,True,False
1789205314.3891132,client_mr,READ_SECONDARY,127.0.0.1:27119,70,70,70,local,1,False,normal,0.14,True,False
1789205314.389395,client_mr,READ_PRIMARY,primary,71,71,70,local,1,False,normal,0.13,True,False
1789205314.389539,client_mr,READ_SECONDARY,127.0.0.1:27118,71,71,71,local,1,False,normal,0.14,True,False
1789205314.389809,client_mr,READ_PRIMARY,primary,72,72,71,local,1,False,normal,0.12,True,False
1789205314.389945,client_mr,READ_SECONDARY,127.0.0.1:27119,72,72,72,local,1,False,normal,0.14,True,False
1789205314.390199,client_mr,READ_PRIMARY,primary,73,73,72,local,1,False,normal,0.11,True,False
