iteration,timestamp,client_id,operation,target,phase,failed_node,first_seq,second_seq,max_visible_seq,missing_before_max,missing_count,read_concern,write_concern,causal_session,scenario,latency_ms,success,violation,error
1,1789628470.3831618,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,,1,2,2,,0,local,1,False,failure,9.26,True,False,
2,1789628470.3877354,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,3,4,4,,0,local,1,False,failure,4.55,True,False,
3,1789628470.3902512,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,,5,6,4,,0,local,1,False,failure,2.5,True,False,
4,1789628470.392562,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,7,8,7,,0,local,1,False,failure,2.3,True,False,
5,1789628470.3951335,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,,9,10,5,,0,local,1,False,failure,2.56,True,False,
6,1789628470.3978539,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,11,12,8,,0,local,1,False,failure,2.71,True,False,
7,1789628470.4000623,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,,13,14,11,,0,local,1,False,failure,2.2,True,False,
8,1789628470.4019861,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,15,16,10,,0,local,1,False,failure,1.91,True,False,
9,1789628470.4039862,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,,17,18,17,,0,local,1,False,failure,1.99,True,False,
10,1789628470.4057238,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,19,20,11,,0,local,1,False,failure,1.73,True,False,
11,1789628470.407293,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,,21,22,18,,0,local,1,False,failure,1.56,True,False,
12,1789628470.4086936,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27019,normal,,23,24,16,,0,local,1,False,failure,1.39,True,False,
13,1789628470.4103606,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,,25,26,22,,0,local,1,False,failure,1.66,True,False,
