timestamp,iteration,client_id,operation,target,phase,first_seq,second_seq,max_visible_seq,missing_before_max,missing_count,read_concern,write_concern,causal_session,scenario,scenario_event,target_node,event_time,latency_ms,success,violation,error
1789631941.8388276,1,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,1,2,2,,0,majority,majority,True,partition,,,,13.79,True,False,
1789631941.846743,2,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,3,4,4,,0,majority,majority,True,partition,,,,7.9,True,False,
1789631941.853024,3,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,5,6,6,,0,majority,majority,True,partition,,,,6.27,True,False,
1789631941.8580039,4,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,7,8,7,,0,majority,majority,True,partition,,,,4.97,True,False,
1789631941.862252,5,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,9,10,10,,0,majority,majority,True,partition,,,,4.24,True,False,
1789631941.8654373,6,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,11,12,11,,0,majority,majority,True,partition,,,,3.18,True,False,
1789631941.8695438,7,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,13,14,14,,0,majority,majority,True,partition,,,,4.1,True,False,
1789631941.872503,8,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,15,16,15,,0,majority,majority,True,partition,,,,2.95,True,False,
1789631941.8754358,9,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,17,18,17,,0,majority,majority,True,partition,,,,2.92,True,False,
1789631941.8787284,10,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,19,20,19,,0,majority,majority,True,partition,,,,3.29,True,False,
1789631941.8822422,11,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,21,22,22,,0,majority,majority,True,partition,,,,3.51,True,False,
1789631941.8845766,12,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,23,24,23,,0,majority,majority,True,partition,,,,2.33,True,False,
1789631941.8872476,13,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,25,26,26,,0,majority,majority,True,partition,,,,2.67,True,False,
1789631941.889128,14,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,27,28,27,,0,majority,majority,True,partition,,,,1.88,True,False,
1789631941.8919117,15,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,29,30,30,,0,majority,majority,True,partition,,,,2.78,True,False,
1789631941.893939,16,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,31,32,31,,0,majority,majority,True,partition,,,,2.02,True,False,
1789631941.8960345,17,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,33,34,33,,0,majority,majority,True,partition,,,,2.09,True,False,
1789631941.8980696,18,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,35,36,35,,0,majority,majority,True,partition,,,,2.03,True,False,
1789631941.9011462,19,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,37,38,38,,0,majority,majority,True,partition,,,,3.07,True,False,
1789631941.9033155,20,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,39,40,40,,0,majority,majority,True,partition,,,,2.17,True,False,
1789631941.9051301,21,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,41,42,42,,0,majority,majority,True,partition,,,,1.81,True,False,
1789631941.9068773,22,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,43,44,43,,0,majority,majority,True,partition,,,,1.74,True,False,
1789631941.9092145,23,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,45,46,46,,0,majority,majority,True,partition,,,,2.33,True,False,
1789631941.9107704,24,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,47,48,47,,0,majority,majority,True,partition,,,,1.55,True,False,
1789631941.912295,25,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,49,50,50,,0,majority,majority,True,partition,,,,1.52,True,False,
1789631941.914026,26,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,51,52,51,,0,majority,majority,True,partition,,,,1.73,True,False,
1789631941.916531,27,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,53,54,54,,0,majority,majority,True,partition,,,,2.5,True,False,
1789631941.9182146,28,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,55,56,55,,0,majority,majority,True,partition,,,,1.68,True,False,
1789631941.9202852,29,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,57,58,58,,0,majority,majority,True,partition,,,,2.07,True,False,
1789631941.9217055,30,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,59,60,59,,0,majority,majority,True,partition,,,,1.42,True,False,
1789631941.9235673,31,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,61,62,62,,0,majority,majority,True,partition,,,,1.86,True,False,
1789631941.9253116,32,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,63,64,63,,0,majority,majority,True,partition,,,,1.74,True,False,
1789631941.9273264,33,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,65,66,66,,0,majority,majority,True,partition,,,,2.01,True,False,
1789631941.9288125,34,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,67,68,67,,0,majority,majority,True,partition,,,,1.48,True,False,
1789631941.9308524,35,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,69,70,70,,0,majority,majority,True,partition,,,,2.04,True,False,
1789631941.9326377,36,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,71,72,71,,0,majority,majority,True,partition,,,,1.78,True,False,
1789631941.9342413,37,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,73,74,74,,0,majority,majority,True,partition,,,,1.6,True,False,
1789631941.93604,38,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,75,76,76,,0,majority,majority,True,partition,,,,1.8,True,False,
1789631941.9384923,39,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,77,78,78,,0,majority,majority,True,partition,,,,2.45,True,False,
1789631941.9400623,40,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,79,80,79,,0,majority,majority,True,partition,,,,1.57,True,False,
1789631941.9420469,41,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,81,82,82,,0,majority,majority,True,partition,,,,1.98,True,False,
1789631941.9443102,42,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,83,84,84,,0,majority,majority,True,partition,,,,2.26,True,False,
1789631941.946483,43,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,85,86,86,,0,majority,majority,True,partition,,,,2.17,True,False,
1789631941.9483843,44,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,87,88,87,,0,majority,majority,True,partition,,,,1.9,True,False,
1789631941.9503448,45,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,89,90,90,,0,majority,majority,True,partition,,,,1.96,True,False,
1789631941.951985,46,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,91,92,91,,0,majority,majority,True,partition,,,,1.64,True,False,
1789631941.95518,47,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,93,94,94,,0,majority,majority,True,partition,,,,3.19,True,False,
1789631941.9570441,48,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,95,96,96,,0,majority,majority,True,partition,,,,1.86,True,False,
1789631941.9591966,49,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27017,normal,97,98,98,,0,majority,majority,True,partition,,,,2.15,True,False,
1789631941.9609807,50,client_mw,WRITE_PAIR_THEN_READ_SECONDARY,localhost:27018,normal,99,100,99,,0,majority,majority,True,partition,,,,1.78,True,False,
