iteration,timestamp,client_id,operation,phase,scenario,failed_node,requested_version,observed_version,read_concern,write_concern,latency_ms,success,violation,error
1,1789625820.2812097,client_A,WRITE_THEN_READ,normal,failure,,1,1,local,1,1.95,True,False,
2,1789625820.2819855,client_A,WRITE_THEN_READ,normal,failure,,2,1,local,1,0.77,True,True,
3,1789625820.2830338,client_A,WRITE_THEN_READ,normal,failure,,3,2,local,1,0.9,True,True,
4,1789625820.28364,client_A,WRITE_THEN_READ,normal,failure,,4,2,local,1,0.6,True,True,
5,1789625820.2845087,client_A,WRITE_THEN_READ,normal,failure,,5,3,local,1,0.87,True,True,
6,1789625820.285149,client_A,WRITE_THEN_READ,normal,failure,,6,4,local,1,0.64,True,True,
7,1789625820.2857103,client_A,WRITE_THEN_READ,normal,failure,,7,6,local,1,0.56,True,True,
8,1789625820.2866094,client_A,WRITE_THEN_READ,normal,failure,,8,7,local,1,0.9,True,True,
9,1789625820.2873318,client_A,WRITE_THEN_READ,normal,failure,,9,8,local,1,0.72,True,True,
10,1789625820.2881372,client_A,WRITE_THEN_READ,normal,failure,,10,10,local,1,0.8,True,False,
11,1789625820.2888892,client_A,WRITE_THEN_READ,normal,failure,,11,10,local,1,0.75,True,True,
12,1789625820.2899387,client_A,WRITE_THEN_READ,normal,failure,,12,12,local,1,1.05,True,False,
13,1789625820.2905505,client_A,WRITE_THEN_READ,normal,failure,,13,12,local,1,0.61,True,True,
14,1789625820.291178,client_A,WRITE_THEN_READ,normal,failure,,14,13,local,1,0.63,True,True,
15,1789625820.291714,client_A,WRITE_THEN_READ,normal,failure,,15,14,local,1,0.53,True,True,
16,1789625820.292299,client_A,WRITE_THEN_READ,normal,failure,,16,15,local,1,0.58,True,True,
17,1789625820.292731,client_A,WRITE_THEN_READ,normal,failure,,17,15,local,1,0.43,True,True,
18,1789625820.293202,client_A,WRITE_THEN_READ,normal,failure,,18,17,local,1,0.47,True,True,
19,1789625820.2936485,client_A,WRITE_THEN_READ,normal,failure,,19,18,local,1,0.44,True,True,
20,1789625820.294228,client_A,WRITE_THEN_READ,normal,failure,,20,19,local,1,0.58,True,True,
21,1789625820.2947116,client_A,WRITE_THEN_READ,normal,failure,,21,20,local,1,0.48,True,True,
22,1789625820.295276,client_A,WRITE_THEN_READ,normal,failure,,22,21,local,1,0.56,True,True,
23,1789625820.295707,client_A,WRITE_THEN_READ,normal,failure,,23,22,local,1,0.43,True,True,
24,1789625820.2962856,client_A,WRITE_THEN_READ,normal,failure,,24,23,local,1,0.58,True,True,
25,1789625820.2968118,client_A,WRITE_THEN_READ,normal,failure,,25,24,local,1,0.52,True,True,
26,1789625820.29729,client_A,WRITE_THEN_READ,normal,failure,,26,25,local,1,0.48,True,True,
27,1789625820.2977254,client_A,WRITE_THEN_READ,normal,failure,,27,26,local,1,0.43,True,True,
28,1789625820.2983992,client_A,WRITE_THEN_READ,normal,failure,,28,27,local,1,0.67,True,True,
29,1789625820.298961,client_A,WRITE_THEN_READ,normal,failure,,29,28,local,1,0.56,True,True,
30,1789625820.2995007,client_A,WRITE_THEN_READ,normal,failure,,30,29,local,1,0.54,True,True,
