iteration,timestamp,client_id,operation,phase,scenario,failed_node,requested_version,observed_version,read_concern,write_concern,causal_session,latency_ms,success,violation,error
1,1789626916.2495465,client_A,WRITE_THEN_READ,normal,failure,,1,0,local,1,False,1.58,True,True,
2,1789626916.2504137,client_A,WRITE_THEN_READ,normal,failure,,2,1,local,1,False,0.86,True,True,
3,1789626916.251542,client_A,WRITE_THEN_READ,normal,failure,,3,3,local,1,False,1.13,True,False,
4,1789626916.2520518,client_A,WRITE_THEN_READ,normal,failure,,4,4,local,1,False,0.51,True,False,
5,1789626916.2524693,client_A,WRITE_THEN_READ,normal,failure,,5,3,local,1,False,0.42,True,True,
6,1789626916.2531972,client_A,WRITE_THEN_READ,normal,failure,,6,5,local,1,False,0.73,True,True,
7,1789626916.253636,client_A,WRITE_THEN_READ,normal,failure,,7,6,local,1,False,0.44,True,True,
8,1789626916.2544556,client_A,WRITE_THEN_READ,normal,failure,,8,8,local,1,False,0.82,True,False,
9,1789626916.2548172,client_A,WRITE_THEN_READ,normal,failure,,9,8,local,1,False,0.36,True,True,
10,1789626916.255292,client_A,WRITE_THEN_READ,normal,failure,,10,8,local,1,False,0.47,True,True,
11,1789626916.2555943,client_A,WRITE_THEN_READ,normal,failure,,11,9,local,1,False,0.3,True,True,
12,1789626916.2558792,client_A,WRITE_THEN_READ,normal,failure,,12,9,local,1,False,0.28,True,True,
13,1789626916.2566512,client_A,WRITE_THEN_READ,normal,failure,,13,13,local,1,False,0.77,True,False,
14,1789626916.2570167,client_A,WRITE_THEN_READ,normal,failure,,14,13,local,1,False,0.36,True,True,
15,1789626916.257344,client_A,WRITE_THEN_READ,normal,failure,,15,13,local,1,False,0.33,True,True,
16,1789626916.2577028,client_A,WRITE_THEN_READ,normal,failure,,16,13,local,1,False,0.36,True,True,
17,1789626916.2581906,client_A,WRITE_THEN_READ,normal,failure,,17,13,local,1,False,0.48,True,True,
18,1789626916.258558,client_A,WRITE_THEN_READ,normal,failure,,18,13,local,1,False,0.37,True,True,
19,1789626916.2591462,client_A,WRITE_THEN_READ,normal,failure,,19,17,local,1,False,0.59,True,True,
20,1789626916.2595286,client_A,WRITE_THEN_READ,normal,failure,,20,19,local,1,False,0.38,True,True,
21,1789626916.2599463,client_A,WRITE_THEN_READ,normal,failure,,21,19,local,1,False,0.42,True,True,
22,1789626916.2605696,client_A,WRITE_THEN_READ,normal,failure,,22,21,local,1,False,0.62,True,True,
23,1789626916.2613866,client_A,WRITE_THEN_READ,normal,failure,,23,22,local,1,False,0.81,True,True,
24,1789626916.2618406,client_A,WRITE_THEN_READ,normal,failure,,24,23,local,1,False,0.45,True,True,
25,1789626916.262887,client_A,WRITE_THEN_READ,normal,failure,,25,25,local,1,False,1.04,True,False,
26,1789626916.2636006,client_A,WRITE_THEN_READ,normal,failure,,26,26,local,1,False,0.71,True,False,
27,1789626916.264154,client_A,WRITE_THEN_READ,normal,failure,,27,27,local,1,False,0.55,True,False,
28,1789626916.2645195,client_A,WRITE_THEN_READ,normal,failure,,28,27,local,1,False,0.36,True,True,
29,1789626916.2651968,client_A,WRITE_THEN_READ,normal,failure,,29,29,local,1,False,0.68,True,False,
