iteration,timestamp,client_id,operation,phase,scenario,failed_node,requested_version,observed_version,read_concern,write_concern,causal_session,latency_ms,success,violation,error
1,1789626960.1999667,client_A,WRITE_THEN_READ,normal,failure,,1,1,majority,majority,True,2.24,True,False,
2,1789626960.2014375,client_A,WRITE_THEN_READ,normal,failure,,2,2,majority,majority,True,1.47,True,False,
3,1789626960.2025406,client_A,WRITE_THEN_READ,normal,failure,,3,3,majority,majority,True,1.1,True,False,
4,1789626960.2036242,client_A,WRITE_THEN_READ,normal,failure,,4,4,majority,majority,True,1.08,True,False,
5,1789626960.2048123,client_A,WRITE_THEN_READ,normal,failure,,5,5,majority,majority,True,1.18,True,False,
6,1789626960.2060199,client_A,WRITE_THEN_READ,normal,failure,,6,6,majority,majority,True,1.2,True,False,
7,1789626960.2074358,client_A,WRITE_THEN_READ,normal,failure,,7,7,majority,majority,True,1.41,True,False,
8,1789626960.2085626,client_A,WRITE_THEN_READ,normal,failure,,8,8,majority,majority,True,1.12,True,False,
9,1789626960.2097163,client_A,WRITE_THEN_READ,normal,failure,,9,9,majority,majority,True,1.15,True,False,
10,1789626960.2111259,client_A,WRITE_THEN_READ,normal,failure,,10,10,majority,majority,True,1.41,True,False,
11,1789626960.2124455,client_A,WRITE_THEN_READ,normal,failure,,11,11,majority,majority,True,1.32,True,False,
12,1789626960.213586,client_A,WRITE_THEN_READ,normal,failure,,12,12,majority,majority,True,1.14,True,False,
13,1789626960.2147312,client_A,WRITE_THEN_READ,normal,failure,,13,13,majority,majority,True,1.14,True,False,
14,1789626960.2158146,client_A,WRITE_THEN_READ,normal,failure,,14,14,majority,majority,True,1.08,True,False,
15,1789626960.216861,client_A,WRITE_THEN_READ,normal,failure,,15,15,majority,majority,True,1.04,True,False,
16,1789626960.2177966,client_A,WRITE_THEN_READ,normal,failure,,16,16,majority,majority,True,0.93,True,False,
17,1789626960.2190313,client_A,WRITE_THEN_READ,normal,failure,,17,17,majority,majority,True,1.23,True,False,
18,1789626960.2202287,client_A,WRITE_THEN_READ,normal,failure,,18,18,majority,majority,True,1.19,True,False,
19,1789626960.2213135,client_A,WRITE_THEN_READ,normal,failure,,19,19,majority,majority,True,1.08,True,False,
20,1789626960.2223585,client_A,WRITE_THEN_READ,normal,failure,,20,20,majority,majority,True,1.04,True,False,
21,1789626960.2234366,client_A,WRITE_THEN_READ,normal,failure,,21,21,majority,majority,True,1.08,True,False,
22,1789626960.2243514,client_A,WRITE_THEN_READ,normal,failure,,22,22,majority,majority,True,0.91,True,False,
23,1789626960.2253907,client_A,WRITE_THEN_READ,normal,failure,,23,23,majority,majority,True,1.04,True,False,
24,1789626960.2264485,client_A,WRITE_THEN_READ,normal,failure,,24,24,majority,majority,True,1.06,True,False,
25,1789626960.2274122,client_A,WRITE_THEN_READ,normal,failure,,25,25,majority,majority,True,0.96,True,False,
26,1789626960.2287247,client_A,WRITE_THEN_READ,normal,failure,,26,26,majority,majority,True,1.31,True,False,
27,1789626960.2297766,client_A,WRITE_THEN_READ,normal,failure,,27,27,majority,majority,True,1.05,True,False,
28,1789626960.2307718,client_A,WRITE_THEN_READ,normal,failure,,28,28,majority,majority,True,0.99,True,False,
29,1789626960.231683,client_A,WRITE_THEN_READ,normal,failure,,29,29,majority,majority,True,0.91,True,False,
30,1789626960.2326608,client_A,WRITE_THEN_READ,normal,failure,,30,30,majority,majority,True,0.98,True,False,
31,1789626960.2336583,client_A,WRITE_THEN_READ,normal,failure,,31,31,majority,majority,True,1.0,True,False,
32,1789626960.234745,client_A,WRITE_THEN_READ,normal,failure,,32,32,majority,majority,True,1.08,True,False,
33,1789626960.2356505,client_A,WRITE_THEN_READ,normal,failure,,33,33,majority,majority,True,0.9,True,False,
34,1789626960.236679,client_A,WRITE_THEN_READ,normal,failure,,34,34,majority,majority,True,1.03,True,False,
35,1789626960.2376652,client_A,WRITE_THEN_READ,normal,failure,,35,35,majority,majority,True,0.98,True,False,
36,1789626960.2385218,client_A,WRITE_THEN_READ,normal,failure,,36,36,majority,majority,True,0.85,True,False,
37,1789626960.239516,client_A,WRITE_THEN_READ,normal,failure,,37,37,majority,majority,True,0.99,True,False,
38,1789626960.240514,client_A,WRITE_THEN_READ,normal,failure,,38,38,majority,majority,True,1.0,True,False,
39,1789626960.2415035,client_A,WRITE_THEN_READ,normal,failure,,39,39,majority,majority,True,0.99,True,False,
40,1789626960.2425685,client_A,WRITE_THEN_READ,normal,failure,,40,40,majority,majority,True,1.06,True,False,
41,1789626960.243582,client_A,WRITE_THEN_READ,normal,failure,,41,41,majority,majority,True,1.01,True,False,
42,1789626960.2447884,client_A,WRITE_THEN_READ,normal,failure,,42,42,majority,majority,True,1.2,True,False,
