timestamp,client_id,operation,phase,requested_version,observed_version,read_concern,write_concern,causal_session,scenario,latency_ms,success,violation,error
1789718944.95349,client_A,WRITE_THEN_READ,normal_codexrun,1,-1,local,1,False,normal_codexrun,18.03,True,True,
1789718944.954099,client_A,WRITE_THEN_READ,normal_codexrun,2,-1,local,1,False,normal_codexrun,0.6,True,True,
1789718944.9614878,client_A,WRITE_THEN_READ,normal_codexrun,3,-1,local,1,False,normal_codexrun,7.39,True,True,
1789718944.962032,client_A,WRITE_THEN_READ,normal_codexrun,4,-1,local,1,False,normal_codexrun,0.54,True,True,
1789718944.962402,client_A,WRITE_THEN_READ,normal_codexrun,5,-1,local,1,False,normal_codexrun,0.37,True,True,
1789718944.9627268,client_A,WRITE_THEN_READ,normal_codexrun,6,-1,local,1,False,normal_codexrun,0.32,True,True,
1789718944.963012,client_A,WRITE_THEN_READ,normal_codexrun,7,-1,local,1,False,normal_codexrun,0.28,True,True,
1789718944.963294,client_A,WRITE_THEN_READ,normal_codexrun,8,-1,local,1,False,normal_codexrun,0.28,True,True,
1789718944.963563,client_A,WRITE_THEN_READ,normal_codexrun,9,-1,local,1,False,normal_codexrun,0.27,True,True,
1789718944.963845,client_A,WRITE_THEN_READ,normal_codexrun,10,-1,local,1,False,normal_codexrun,0.28,True,True,
1789718944.964161,client_A,WRITE_THEN_READ,normal_codexrun,11,-1,local,1,False,normal_codexrun,0.31,True,True,
1789718944.964573,client_A,WRITE_THEN_READ,normal_codexrun,12,-1,local,1,False,normal_codexrun,0.41,True,True,
1789718944.964961,client_A,WRITE_THEN_READ,normal_codexrun,13,-1,local,1,False,normal_codexrun,0.39,True,True,
1789718944.965299,client_A,WRITE_THEN_READ,normal_codexrun,14,-1,local,1,False,normal_codexrun,0.34,True,True,
1789718944.965607,client_A,WRITE_THEN_READ,normal_codexrun,15,-1,local,1,False,normal_codexrun,0.31,True,True,
1789718944.965906,client_A,WRITE_THEN_READ,normal_codexrun,16,-1,local,1,False,normal_codexrun,0.3,True,True,
1789718944.9662888,client_A,WRITE_THEN_READ,normal_codexrun,17,-1,local,1,False,normal_codexrun,0.38,True,True,
1789718944.966657,client_A,WRITE_THEN_READ,normal_codexrun,18,-1,local,1,False,normal_codexrun,0.37,True,True,
1789718944.9669461,client_A,WRITE_THEN_READ,normal_codexrun,19,-1,local,1,False,normal_codexrun,0.29,True,True,
1789718944.967254,client_A,WRITE_THEN_READ,normal_codexrun,20,-1,local,1,False,normal_codexrun,0.31,True,True,
1789718944.9675279,client_A,WRITE_THEN_READ,normal_codexrun,21,-1,local,1,False,normal_codexrun,0.27,True,True,
1789718944.9678001,client_A,WRITE_THEN_READ,normal_codexrun,22,-1,local,1,False,normal_codexrun,0.27,True,True,
1789718944.9680681,client_A,WRITE_THEN_READ,normal_codexrun,23,-1,local,1,False,normal_codexrun,0.27,True,True,
1789718944.968339,client_A,WRITE_THEN_READ,normal_codexrun,24,-1,local,1,False,normal_codexrun,0.27,True,True,
1789718944.968601,client_A,WRITE_THEN_READ,normal_codexrun,25,-1,local,1,False,normal_codexrun,0.26,True,True,
1789718944.968854,client_A,WRITE_THEN_READ,normal_codexrun,26,-1,local,1,False,normal_codexrun,0.25,True,True,
1789718944.9691122,client_A,WRITE_THEN_READ,normal_codexrun,27,-1,local,1,False,normal_codexrun,0.26,True,True,
1789718944.9693718,client_A,WRITE_THEN_READ,normal_codexrun,28,-1,local,1,False,normal_codexrun,0.26,True,True,
1789718944.9696288,client_A,WRITE_THEN_READ,normal_codexrun,29,-1,local,1,False,normal_codexrun,0.26,True,True,
1789718944.9698849,client_A,WRITE_THEN_READ,normal_codexrun,30,-1,local,1,False,normal_codexrun,0.25,True,True,
1789718944.9702652,client_A,WRITE_THEN_READ,normal_codexrun,31,-1,local,1,False,normal_codexrun,0.38,True,True,
1789718944.970583,client_A,WRITE_THEN_READ,normal_codexrun,32,-1,local,1,False,normal_codexrun,0.32,True,True,
1789718944.970858,client_A,WRITE_THEN_READ,normal_codexrun,33,-1,local,1,False,normal_codexrun,0.27,True,True,
1789718944.97112,client_A,WRITE_THEN_READ,normal_codexrun,34,-1,local,1,False,normal_codexrun,0.26,True,True,
1789718944.971381,client_A,WRITE_THEN_READ,normal_codexrun,35,-1,local,1,False,normal_codexrun,0.26,True,True,
1789718944.971636,client_A,WRITE_THEN_READ,normal_codexrun,36,-1,local,1,False,normal_codexrun,0.26,True,True,
1789718944.971911,client_A,WRITE_THEN_READ,normal_codexrun,37,-1,local,1,False,normal_codexrun,0.27,True,True,
1789718944.972172,client_A,WRITE_THEN_READ,normal_codexrun,38,-1,local,1,False,normal_codexrun,0.26,True,True,
1789718944.97243,client_A,WRITE_THEN_READ,normal_codexrun,39,-1,local,1,False,normal_codexrun,0.26,True,True,
1789718944.972681,client_A,WRITE_THEN_READ,normal_codexrun,40,-1,local,1,False,normal_codexrun,0.25,True,True,
1789718944.972953,client_A,WRITE_THEN_READ,normal_codexrun,41,-1,local,1,False,normal_codexrun,0.27,True,True,
1789718944.9732149,client_A,WRITE_THEN_READ,normal_codexrun,42,-1,local,1,False,normal_codexrun,0.26,True,True,
1789718944.973469,client_A,WRITE_THEN_READ,normal_codexrun,43,-1,local,1,False,normal_codexrun,0.25,True,True,
1789718944.973742,client_A,WRITE_THEN_READ,normal_codexrun,44,-1,local,1,False,normal_codexrun,0.27,True,True,
1789718944.974014,client_A,WRITE_THEN_READ,normal_codexrun,45,-1,local,1,False,normal_codexrun,0.27,True,True,
1789718944.974318,client_A,WRITE_THEN_READ,normal_codexrun,46,-1,local,1,False,normal_codexrun,0.3,True,True,
1789718944.9745731,client_A,WRITE_THEN_READ,normal_codexrun,47,-1,local,1,False,normal_codexrun,0.25,True,True,
1789718944.974827,client_A,WRITE_THEN_READ,normal_codexrun,48,-1,local,1,False,normal_codexrun,0.25,True,True,
1789718944.975171,client_A,WRITE_THEN_READ,normal_codexrun,49,-1,local,1,False,normal_codexrun,0.34,True,True,
1789718944.975483,client_A,WRITE_THEN_READ,normal_codexrun,50,-1,local,1,False,normal_codexrun,0.31,True,True,
