timestamp,iteration,client_id,operation,target,prerequisite_id,dependent_id,client_b_read_v1,v1_visible_on_observer,v2_visible_on_observer,read_concern,write_concern,causal_session,scenario,scenario_event,target_node,event_time,latency_ms,success,violation,error
1789630883.491732,1,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:1,v2:1,True,True,True,local,1,False,partition,,,,9.39,True,False,
1789630883.4970422,2,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:2,v2:2,True,True,True,local,1,False,partition,,,,5.29,True,False,
1789630883.5014327,3,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:3,v2:3,True,True,False,local,1,False,partition,,,,4.38,True,False,
1789630883.5049717,4,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:4,v2:4,True,True,True,local,1,False,partition,,,,3.53,True,False,
1789630883.5093744,5,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:5,v2:5,True,True,True,local,1,False,partition,,,,4.39,True,False,
1789630883.5130231,6,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:6,v2:6,True,True,True,local,1,False,partition,,,,3.64,True,False,
1789630883.516501,7,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:7,v2:7,True,True,True,local,1,False,partition,,,,3.47,True,False,
1789630883.5195665,8,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:8,v2:8,True,True,True,local,1,False,partition,,,,3.06,True,False,
1789630883.522544,9,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:9,v2:9,True,True,False,local,1,False,partition,,,,2.96,True,False,
1789630883.5252526,10,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:10,v2:10,True,True,True,local,1,False,partition,,,,2.67,True,False,
1789630883.5284128,11,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:11,v2:11,True,True,False,local,1,False,partition,,,,3.15,True,False,
1789630883.5310898,12,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:12,v2:12,True,True,True,local,1,False,partition,,,,2.67,True,False,
1789630883.5335693,13,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:13,v2:13,True,True,True,local,1,False,partition,,,,2.48,True,False,
1789630883.5362115,14,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:14,v2:14,True,True,True,local,1,False,partition,,,,2.64,True,False,
1789630883.53855,15,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:15,v2:15,True,True,True,local,1,False,partition,,,,2.33,True,False,
1789630883.5405874,16,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:16,v2:16,True,True,False,local,1,False,partition,,,,2.03,True,False,
1789630883.5430105,17,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:17,v2:17,True,True,True,local,1,False,partition,,,,2.36,True,False,
1789630883.544814,18,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:18,v2:18,True,True,True,local,1,False,partition,,,,1.8,True,False,
1789630883.5469046,19,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:19,v2:19,True,True,True,local,1,False,partition,,,,2.09,True,False,
1789630883.5487502,20,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:20,v2:20,True,True,True,local,1,False,partition,,,,1.84,True,False,
1789630883.550212,21,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:21,v2:21,True,True,True,local,1,False,partition,,,,1.46,True,False,
1789630883.551972,22,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:22,v2:22,True,True,True,local,1,False,partition,,,,1.76,True,False,
1789630883.5539021,23,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:23,v2:23,True,True,True,local,1,False,partition,,,,1.93,True,False,
1789630883.5555496,24,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:24,v2:24,True,True,True,local,1,False,partition,,,,1.64,True,False,
1789630883.5571668,25,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:25,v2:25,True,True,True,local,1,False,partition,,,,1.61,True,False,
1789630883.559002,26,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:26,v2:26,True,True,True,local,1,False,partition,,,,1.83,True,False,
1789630883.560786,27,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:27,v2:27,True,True,True,local,1,False,partition,,,,1.78,True,False,
1789630883.5625086,28,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:28,v2:28,True,True,True,local,1,False,partition,,,,1.72,True,False,
1789630883.563918,29,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:29,v2:29,True,True,True,local,1,False,partition,,,,1.41,True,False,
1789630883.565366,30,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:30,v2:30,True,True,True,local,1,False,partition,,,,1.45,True,False,
1789630883.5669396,31,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:31,v2:31,True,True,False,local,1,False,partition,,,,1.57,True,False,
1789630883.5683637,32,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:32,v2:32,True,True,True,local,1,False,partition,,,,1.42,True,False,
1789630883.569695,33,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:33,v2:33,True,True,True,local,1,False,partition,,,,1.33,True,False,
1789630883.571265,34,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:34,v2:34,True,True,True,local,1,False,partition,,,,1.57,True,False,
1789630883.572591,35,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:35,v2:35,True,True,True,local,1,False,partition,,,,1.32,True,False,
1789630883.5740783,36,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:36,v2:36,True,True,True,local,1,False,partition,,,,1.48,True,False,
1789630883.575621,37,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:37,v2:37,True,True,False,local,1,False,partition,,,,1.54,True,False,
1789630883.5768409,38,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:38,v2:38,True,True,True,local,1,False,partition,,,,1.22,True,False,
1789630883.578125,39,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:39,v2:39,True,True,True,local,1,False,partition,,,,1.28,True,False,
1789630883.579436,40,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:40,v2:40,True,True,True,local,1,False,partition,,,,1.31,True,False,
1789630883.5807736,41,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:41,v2:41,True,True,True,local,1,False,partition,,,,1.34,True,False,
1789630883.5820007,42,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:42,v2:42,True,True,True,local,1,False,partition,,,,1.22,True,False,
1789630883.5831492,43,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:43,v2:43,True,True,False,local,1,False,partition,,,,1.15,True,False,
1789630883.5845957,44,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:44,v2:44,True,True,False,local,1,False,partition,,,,1.44,True,False,
1789630883.5860634,45,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:45,v2:45,True,True,True,local,1,False,partition,,,,1.47,True,False,
1789630883.5874135,46,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:46,v2:46,True,True,True,local,1,False,partition,,,,1.35,True,False,
1789630883.5886002,47,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:47,v2:47,True,True,True,local,1,False,partition,,,,1.18,True,False,
1789630883.5900667,48,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:48,v2:48,True,True,False,local,1,False,partition,,,,1.46,True,False,
1789630883.5912752,49,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:49,v2:49,True,True,True,local,1,False,partition,,,,1.21,True,False,
1789630883.5925457,50,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:50,v2:50,True,True,False,local,1,False,partition,,,,1.27,True,False,
1789630883.5937693,51,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:51,v2:51,True,False,True,local,1,False,partition,,,,1.22,True,True,
1789630883.5950987,52,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:52,v2:52,True,True,False,local,1,False,partition,,,,1.33,True,False,
1789630883.5961206,53,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:53,v2:53,True,True,False,local,1,False,partition,,,,1.02,True,False,
1789630883.5972667,54,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:54,v2:54,True,True,False,local,1,False,partition,,,,1.14,True,False,
1789630883.5985677,55,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:55,v2:55,True,True,True,local,1,False,partition,,,,1.3,True,False,
1789630883.5998116,56,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27018,v1:56,v2:56,True,True,False,local,1,False,partition,,,,1.24,True,False,
1789630883.6011934,57,client_wfr,READ_V1_WRITE_V2_READ_SECONDARY,localhost:27017,v1:57,v2:57,True,True,True,local,1,False,partition,,,,1.38,True,False,
