run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T061647Z_18463bc2,1,normal,1789798608.1513233,1789798608.1790228,27.666,0,27.666,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260919T061647Z_18463bc2,2,normal,1789798608.1790228,1789798608.1920724,12.276,0,12.276,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260919T061647Z_18463bc2,3,normal,1789798608.1920724,1789798608.202472,10.291,0,10.291,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260919T061647Z_18463bc2,4,normal,1789798608.202472,1789798608.2132416,10.739,0,10.739,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260919T061647Z_18463bc2,5,normal,1789798608.2132416,1789798608.2406645,27.12,0,27.12,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260919T061647Z_18463bc2,6,normal,1789798608.2406645,1789798608.2515948,10.826,0,10.826,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260919T061647Z_18463bc2,7,normal,1789798608.2515948,1789798608.26138,9.828,0,9.828,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260919T061647Z_18463bc2,8,normal,1789798608.26138,1789798608.271806,9.966,0,9.966,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260919T061647Z_18463bc2,9,normal,1789798608.271806,1789798608.28142,9.66,0,9.66,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260919T061647Z_18463bc2,10,normal,1789798608.28142,1789798608.291564,10.315,0,10.315,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260919T061647Z_18463bc2,11,normal,1789798608.2921665,1789798608.3020694,9.921,0,9.921,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260919T061647Z_18463bc2,12,normal,1789798608.3020694,1789798608.3121417,10.15,0,10.15,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260919T061647Z_18463bc2,13,normal,1789798608.3121417,1789798608.3221421,9.982,0,9.982,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260919T061647Z_18463bc2,14,normal,1789798608.3221421,1789798608.3335953,11.236,0,11.236,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260919T061647Z_18463bc2,15,normal,1789798608.3335953,1789798608.3438134,10.326,0,10.326,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260919T061647Z_18463bc2,16,normal,1789798608.3438134,1789798608.3544593,10.559,0,10.559,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260919T061647Z_18463bc2,17,normal,1789798608.3544593,1789798608.3654153,10.563,0,10.563,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260919T061647Z_18463bc2,18,normal,1789798608.3654153,1789798608.3755288,10.043,0,10.043,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260919T061647Z_18463bc2,19,normal,1789798608.3755288,1789798608.3861725,10.431,0,10.431,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260919T061647Z_18463bc2,20,normal,1789798608.3861725,1789798608.3960404,9.94,0,9.94,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260919T061647Z_18463bc2,21,normal,1789798608.3960404,1789798608.4069436,11.044,0,11.044,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260919T061647Z_18463bc2,22,normal,1789798608.4069436,1789798608.4179146,10.697,0,10.697,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260919T061647Z_18463bc2,23,normal,1789798608.4179146,1789798608.42903,10.692,0,10.692,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260919T061647Z_18463bc2,24,normal,1789798608.42903,1789798608.4389238,10.176,0,10.176,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260919T061647Z_18463bc2,25,normal,1789798608.4389238,1789798608.4490514,9.706,0,9.706,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260919T061647Z_18463bc2,26,normal,1789798608.4490514,1789798608.4596014,10.547,0,10.547,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260919T061647Z_18463bc2,27,normal,1789798608.4596014,1789798608.471687,12.093,0,12.093,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260919T061647Z_18463bc2,28,normal,1789798608.471687,1789798608.4831016,11.046,0,11.046,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260919T061647Z_18463bc2,29,normal,1789798608.4831016,1789798608.4933531,10.425,0,10.425,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
