run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T062916Z_5c7bc845,1,normal,1789799356.6655786,1789799356.7016795,35.932,0,35.932,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 1, ""max_seen_before"": -1, ""violation"": false}, {""version"": 1, ""max_seen_before"": 1, ""violation"": false}]}"
20260919T062916Z_5c7bc845,2,normal,1789799356.7023003,1789799356.7153783,13.324,0,13.324,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 2, ""max_seen_before"": 1, ""violation"": false}, {""version"": 2, ""max_seen_before"": 2, ""violation"": false}]}"
20260919T062916Z_5c7bc845,3,normal,1789799356.7165158,1789799356.7299528,13.844,0,13.844,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 3, ""max_seen_before"": 2, ""violation"": false}, {""version"": 3, ""max_seen_before"": 3, ""violation"": false}]}"
20260919T062916Z_5c7bc845,4,normal,1789799356.7299528,1789799356.7434967,13.252,0,13.252,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 4, ""max_seen_before"": 3, ""violation"": false}, {""version"": 4, ""max_seen_before"": 4, ""violation"": false}]}"
20260919T062916Z_5c7bc845,5,normal,1789799356.7434967,1789799356.7557106,12.388,0,12.388,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 5, ""max_seen_before"": 4, ""violation"": false}, {""version"": 5, ""max_seen_before"": 5, ""violation"": false}]}"
20260919T062916Z_5c7bc845,6,normal,1789799356.7563305,1789799356.770011,13.835,0,13.835,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 6, ""max_seen_before"": 5, ""violation"": false}, {""version"": 6, ""max_seen_before"": 6, ""violation"": false}]}"
20260919T062916Z_5c7bc845,7,normal,1789799356.770011,1789799356.7836628,13.462,0,13.462,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 7, ""max_seen_before"": 6, ""violation"": false}, {""version"": 7, ""max_seen_before"": 7, ""violation"": false}]}"
20260919T062916Z_5c7bc845,8,normal,1789799356.7836628,1789799356.7962887,12.525,0,12.525,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 8, ""max_seen_before"": 7, ""violation"": false}, {""version"": 8, ""max_seen_before"": 8, ""violation"": false}]}"
20260919T062916Z_5c7bc845,9,normal,1789799356.7962887,1789799356.8101182,14.062,0,14.062,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 9, ""max_seen_before"": 8, ""violation"": false}, {""version"": 9, ""max_seen_before"": 9, ""violation"": false}]}"
20260919T062916Z_5c7bc845,10,normal,1789799356.8107252,1789799356.823834,13.617,0,13.617,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 10, ""max_seen_before"": 9, ""violation"": false}, {""version"": 10, ""max_seen_before"": 10, ""violation"": false}]}"
20260919T062916Z_5c7bc845,11,normal,1789799356.824395,1789799356.836867,12.481,0,12.481,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 11, ""max_seen_before"": 10, ""violation"": false}, {""version"": 11, ""max_seen_before"": 11, ""violation"": false}]}"
20260919T062916Z_5c7bc845,12,normal,1789799356.836867,1789799356.8505116,13.839,0,13.839,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 12, ""max_seen_before"": 11, ""violation"": false}, {""version"": 12, ""max_seen_before"": 12, ""violation"": false}]}"
20260919T062916Z_5c7bc845,13,normal,1789799356.8505116,1789799356.8648694,14.472,0,14.472,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 13, ""max_seen_before"": 12, ""violation"": false}, {""version"": 13, ""max_seen_before"": 13, ""violation"": false}]}"
20260919T062916Z_5c7bc845,14,normal,1789799356.8655422,1789799356.8795943,14.327,0,14.327,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 14, ""max_seen_before"": 13, ""violation"": false}, {""version"": 14, ""max_seen_before"": 14, ""violation"": false}]}"
20260919T062916Z_5c7bc845,15,normal,1789799356.8801098,1789799356.8931603,13.435,0,13.435,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 15, ""max_seen_before"": 14, ""violation"": false}, {""version"": 15, ""max_seen_before"": 15, ""violation"": false}]}"
20260919T062916Z_5c7bc845,16,normal,1789799356.8931603,1789799356.9073403,13.622,0,13.622,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 16, ""max_seen_before"": 15, ""violation"": false}, {""version"": 16, ""max_seen_before"": 16, ""violation"": false}]}"
20260919T062916Z_5c7bc845,17,normal,1789799356.9073403,1789799356.9215765,14.168,0,14.168,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 17, ""max_seen_before"": 16, ""violation"": false}, {""version"": 17, ""max_seen_before"": 17, ""violation"": false}]}"
20260919T062916Z_5c7bc845,18,normal,1789799356.9215765,1789799356.9361622,14.959,0,14.959,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 18, ""max_seen_before"": 17, ""violation"": false}, {""version"": 18, ""max_seen_before"": 18, ""violation"": false}]}"
20260919T062916Z_5c7bc845,19,normal,1789799356.9367366,1789799356.9495895,12.769,0,12.769,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 19, ""max_seen_before"": 18, ""violation"": false}, {""version"": 19, ""max_seen_before"": 19, ""violation"": false}]}"
20260919T062916Z_5c7bc845,20,normal,1789799356.9495895,1789799356.9642324,14.748,0,14.748,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 20, ""max_seen_before"": 19, ""violation"": false}, {""version"": 20, ""max_seen_before"": 20, ""violation"": false}]}"
20260919T062916Z_5c7bc845,21,normal,1789799356.9642324,1789799356.9786398,14.539,0,14.539,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 21, ""max_seen_before"": 20, ""violation"": false}, {""version"": 21, ""max_seen_before"": 21, ""violation"": false}]}"
20260919T062916Z_5c7bc845,22,normal,1789799356.9792366,1789799356.9923134,13.383,0,13.383,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 22, ""max_seen_before"": 21, ""violation"": false}, {""version"": 22, ""max_seen_before"": 22, ""violation"": false}]}"
20260919T062916Z_5c7bc845,23,normal,1789799356.9923134,1789799357.0053818,12.792,0,12.792,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 23, ""max_seen_before"": 22, ""violation"": false}, {""version"": 23, ""max_seen_before"": 23, ""violation"": false}]}"
20260919T062916Z_5c7bc845,24,normal,1789799357.0053818,1789799357.0191789,13.583,0,13.583,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 24, ""max_seen_before"": 23, ""violation"": false}, {""version"": 24, ""max_seen_before"": 24, ""violation"": false}]}"
20260919T062916Z_5c7bc845,25,normal,1789799357.0191789,1789799357.0325742,13.451,0,13.451,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 25, ""max_seen_before"": 24, ""violation"": false}, {""version"": 25, ""max_seen_before"": 25, ""violation"": false}]}"
20260919T062916Z_5c7bc845,26,normal,1789799357.033531,1789799357.047539,14.548,0,14.548,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 26, ""max_seen_before"": 25, ""violation"": false}, {""version"": 26, ""max_seen_before"": 26, ""violation"": false}]}"
20260919T062916Z_5c7bc845,27,normal,1789799357.0485067,1789799357.0633972,15.022,0,15.022,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 27, ""max_seen_before"": 26, ""violation"": false}, {""version"": 27, ""max_seen_before"": 27, ""violation"": false}]}"
20260919T062916Z_5c7bc845,28,normal,1789799357.0633972,1789799357.076743,13.354,0,13.354,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 28, ""max_seen_before"": 27, ""violation"": false}, {""version"": 28, ""max_seen_before"": 28, ""violation"": false}]}"
20260919T062916Z_5c7bc845,29,normal,1789799357.076743,1789799357.0907707,14.001,0,14.001,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 29, ""max_seen_before"": 28, ""violation"": false}, {""version"": 29, ""max_seen_before"": 29, ""violation"": false}]}"
20260919T062916Z_5c7bc845,30,normal,1789799357.0913832,1789799357.1041248,13.15,0,13.15,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 30, ""max_seen_before"": 29, ""violation"": false}, {""version"": 30, ""max_seen_before"": 30, ""violation"": false}]}"
20260919T062916Z_5c7bc845,31,normal,1789799357.1041248,1789799357.1172988,13.109,0,13.109,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 31, ""max_seen_before"": 30, ""violation"": false}, {""version"": 31, ""max_seen_before"": 31, ""violation"": false}]}"
20260919T062916Z_5c7bc845,32,normal,1789799357.117862,1789799357.1311336,13.364,0,13.364,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 32, ""max_seen_before"": 31, ""violation"": false}, {""version"": 32, ""max_seen_before"": 32, ""violation"": false}]}"
20260919T062916Z_5c7bc845,33,normal,1789799357.1311336,1789799357.1444929,13.363,0,13.363,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 33, ""max_seen_before"": 32, ""violation"": false}, {""version"": 33, ""max_seen_before"": 33, ""violation"": false}]}"
20260919T062916Z_5c7bc845,34,normal,1789799357.1444929,1789799357.1581783,13.643,0,13.643,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 34, ""max_seen_before"": 33, ""violation"": false}, {""version"": 34, ""max_seen_before"": 34, ""violation"": false}]}"
20260919T062916Z_5c7bc845,35,normal,1789799357.1581783,1789799357.1719222,13.843,0,13.843,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 35, ""max_seen_before"": 34, ""violation"": false}, {""version"": 35, ""max_seen_before"": 35, ""violation"": false}]}"
20260919T062916Z_5c7bc845,36,normal,1789799357.1725268,1789799357.186318,14.086,0,14.086,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 36, ""max_seen_before"": 35, ""violation"": false}, {""version"": 36, ""max_seen_before"": 36, ""violation"": false}]}"
20260919T062916Z_5c7bc845,37,normal,1789799357.186318,1789799357.2011364,14.702,0,14.702,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 37, ""max_seen_before"": 36, ""violation"": false}, {""version"": 37, ""max_seen_before"": 37, ""violation"": false}]}"
20260919T062916Z_5c7bc845,38,normal,1789799357.2011364,1789799357.2157342,14.429,0,14.429,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 38, ""max_seen_before"": 37, ""violation"": false}, {""version"": 38, ""max_seen_before"": 38, ""violation"": false}]}"
20260919T062916Z_5c7bc845,39,normal,1789799357.2157342,1789799357.229674,13.541,0,13.541,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 39, ""max_seen_before"": 38, ""violation"": false}, {""version"": 39, ""max_seen_before"": 39, ""violation"": false}]}"
20260919T062916Z_5c7bc845,40,normal,1789799357.229674,1789799357.2451777,15.504,0,15.504,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 40, ""max_seen_before"": 39, ""violation"": false}, {""version"": 40, ""max_seen_before"": 40, ""violation"": false}]}"
20260919T062916Z_5c7bc845,41,normal,1789799357.2451777,1789799357.2608101,15.963,0,15.963,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 41, ""max_seen_before"": 40, ""violation"": false}, {""version"": 41, ""max_seen_before"": 41, ""violation"": false}]}"
20260919T062916Z_5c7bc845,42,normal,1789799357.2614276,1789799357.2757823,14.569,0,14.569,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 42, ""max_seen_before"": 41, ""violation"": false}, {""version"": 42, ""max_seen_before"": 42, ""violation"": false}]}"
20260919T062916Z_5c7bc845,43,normal,1789799357.2757823,1789799357.2910364,15.175,0,15.175,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 43, ""max_seen_before"": 42, ""violation"": false}, {""version"": 43, ""max_seen_before"": 43, ""violation"": false}]}"
20260919T062916Z_5c7bc845,44,normal,1789799357.2910364,1789799357.3070803,15.854,0,15.854,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 44, ""max_seen_before"": 43, ""violation"": false}, {""version"": 44, ""max_seen_before"": 44, ""violation"": false}]}"
20260919T062916Z_5c7bc845,45,normal,1789799357.3070803,1789799357.3204477,13.181,0,13.181,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 45, ""max_seen_before"": 44, ""violation"": false}, {""version"": 45, ""max_seen_before"": 45, ""violation"": false}]}"
20260919T062916Z_5c7bc845,46,normal,1789799357.3204477,1789799357.3340092,13.25,0,13.25,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 46, ""max_seen_before"": 45, ""violation"": false}, {""version"": 46, ""max_seen_before"": 46, ""violation"": false}]}"
20260919T062916Z_5c7bc845,47,normal,1789799357.3340092,1789799357.3472753,13.651,0,13.651,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 47, ""max_seen_before"": 46, ""violation"": false}, {""version"": 47, ""max_seen_before"": 47, ""violation"": false}]}"
20260919T062916Z_5c7bc845,48,normal,1789799357.3478978,1789799357.36134,13.811,0,13.811,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 48, ""max_seen_before"": 47, ""violation"": false}, {""version"": 48, ""max_seen_before"": 48, ""violation"": false}]}"
20260919T062916Z_5c7bc845,49,normal,1789799357.36134,1789799357.37628,14.538,0,14.538,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 49, ""max_seen_before"": 48, ""violation"": false}, {""version"": 49, ""max_seen_before"": 49, ""violation"": false}]}"
20260919T062916Z_5c7bc845,50,normal,1789799357.37628,1789799357.3896518,13.541,0,13.541,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 50, ""max_seen_before"": 49, ""violation"": false}, {""version"": 50, ""max_seen_before"": 50, ""violation"": false}]}"
20260919T062916Z_5c7bc845,51,normal,1789799357.3896518,1789799357.4040885,14.474,0,14.474,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 51, ""max_seen_before"": 50, ""violation"": false}, {""version"": 51, ""max_seen_before"": 51, ""violation"": false}]}"
20260919T062916Z_5c7bc845,52,normal,1789799357.4047031,1789799357.4184456,13.898,0,13.898,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 52, ""max_seen_before"": 51, ""violation"": false}, {""version"": 52, ""max_seen_before"": 52, ""violation"": false}]}"
20260919T062916Z_5c7bc845,53,normal,1789799357.4184456,1789799357.4326847,14.082,0,14.082,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 53, ""max_seen_before"": 52, ""violation"": false}, {""version"": 53, ""max_seen_before"": 53, ""violation"": false}]}"
20260919T062916Z_5c7bc845,54,normal,1789799357.4326847,1789799357.446643,13.991,0,13.991,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 54, ""max_seen_before"": 53, ""violation"": false}, {""version"": 54, ""max_seen_before"": 54, ""violation"": false}]}"
20260919T062916Z_5c7bc845,55,normal,1789799357.446643,1789799357.4611595,14.11,0,14.11,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 55, ""max_seen_before"": 54, ""violation"": false}, {""version"": 55, ""max_seen_before"": 55, ""violation"": false}]}"
20260919T062916Z_5c7bc845,56,normal,1789799357.4611595,1789799357.4758353,14.147,0,14.147,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 56, ""max_seen_before"": 55, ""violation"": false}, {""version"": 56, ""max_seen_before"": 56, ""violation"": false}]}"
20260919T062916Z_5c7bc845,57,normal,1789799357.4758353,1789799357.4899879,13.92,0,13.92,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 57, ""max_seen_before"": 56, ""violation"": false}, {""version"": 57, ""max_seen_before"": 57, ""violation"": false}]}"
20260919T062916Z_5c7bc845,58,normal,1789799357.4899879,1789799357.5033925,13.702,0,13.702,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 58, ""max_seen_before"": 57, ""violation"": false}, {""version"": 58, ""max_seen_before"": 58, ""violation"": false}]}"
20260919T062916Z_5c7bc845,59,normal,1789799357.5033925,1789799357.5160875,12.222,0,12.222,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 59, ""max_seen_before"": 58, ""violation"": false}, {""version"": 59, ""max_seen_before"": 59, ""violation"": false}]}"
20260919T062916Z_5c7bc845,60,normal,1789799357.5160875,1789799357.528485,12.528,0,12.528,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 60, ""max_seen_before"": 59, ""violation"": false}, {""version"": 60, ""max_seen_before"": 60, ""violation"": false}]}"
20260919T062916Z_5c7bc845,61,normal,1789799357.528485,1789799357.54276,14.019,0,14.019,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 61, ""max_seen_before"": 60, ""violation"": false}, {""version"": 61, ""max_seen_before"": 61, ""violation"": false}]}"
20260919T062916Z_5c7bc845,62,normal,1789799357.54276,1789799357.5567527,13.989,0,13.989,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 62, ""max_seen_before"": 61, ""violation"": false}, {""version"": 62, ""max_seen_before"": 62, ""violation"": false}]}"
20260919T062916Z_5c7bc845,63,normal,1789799357.5567527,1789799357.5705984,13.391,0,13.391,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 63, ""max_seen_before"": 62, ""violation"": false}, {""version"": 63, ""max_seen_before"": 63, ""violation"": false}]}"
20260919T062916Z_5c7bc845,64,normal,1789799357.5705984,1789799357.5836318,13.206,0,13.206,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 64, ""max_seen_before"": 63, ""violation"": false}, {""version"": 64, ""max_seen_before"": 64, ""violation"": false}]}"
20260919T062916Z_5c7bc845,65,normal,1789799357.5836318,1789799357.5969198,13.107,0,13.107,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 65, ""max_seen_before"": 64, ""violation"": false}, {""version"": 65, ""max_seen_before"": 65, ""violation"": false}]}"
20260919T062916Z_5c7bc845,66,normal,1789799357.5969198,1789799357.610978,14.169,0,14.169,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 66, ""max_seen_before"": 65, ""violation"": false}, {""version"": 66, ""max_seen_before"": 66, ""violation"": false}]}"
20260919T062916Z_5c7bc845,67,normal,1789799357.610978,1789799357.6248436,13.711,0,13.711,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 67, ""max_seen_before"": 66, ""violation"": false}, {""version"": 67, ""max_seen_before"": 67, ""violation"": false}]}"
20260919T062916Z_5c7bc845,68,normal,1789799357.6248436,1789799357.6380415,12.909,0,12.909,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 68, ""max_seen_before"": 67, ""violation"": false}, {""version"": 68, ""max_seen_before"": 68, ""violation"": false}]}"
20260919T062916Z_5c7bc845,69,normal,1789799357.6380415,1789799357.6513138,13.112,0,13.112,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 69, ""max_seen_before"": 68, ""violation"": false}, {""version"": 69, ""max_seen_before"": 69, ""violation"": false}]}"
