run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T063233Z_bf52eb86,1,normal,1789799554.0261874,1789799554.0499604,23.265,0,23.265,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T063233Z_bf52eb86,2,normal,1789799554.0499604,1789799554.058157,8.116,0,8.116,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T063233Z_bf52eb86,3,normal,1789799554.058157,1789799554.0713325,12.964,0,12.964,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260919T063233Z_bf52eb86,4,normal,1789799554.071939,1789799554.078829,7.074,0,7.074,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260919T063233Z_bf52eb86,5,normal,1789799554.078829,1789799554.0849202,5.972,0,5.972,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260919T063233Z_bf52eb86,6,normal,1789799554.0849202,1789799554.0916653,6.564,0,6.564,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260919T063233Z_bf52eb86,7,normal,1789799554.0916653,1789799554.0979674,6.239,0,6.239,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260919T063233Z_bf52eb86,8,normal,1789799554.0979674,1789799554.104152,6.197,0,6.197,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260919T063233Z_bf52eb86,9,normal,1789799554.104752,1789799554.1105862,5.866,0,5.866,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260919T063233Z_bf52eb86,10,normal,1789799554.1105862,1789799554.1167207,6.349,0,6.349,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260919T063233Z_bf52eb86,11,normal,1789799554.1167207,1789799554.1233618,6.274,0,6.274,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260919T063233Z_bf52eb86,12,normal,1789799554.1233618,1789799554.12937,6.018,0,6.018,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260919T063233Z_bf52eb86,13,normal,1789799554.12937,1789799554.1357324,6.129,0,6.129,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260919T063233Z_bf52eb86,14,normal,1789799554.1357324,1789799554.1430526,7.439,0,7.439,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260919T063233Z_bf52eb86,15,normal,1789799554.1430526,1789799554.150363,7.073,0,7.073,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260919T063233Z_bf52eb86,16,normal,1789799554.150363,1789799554.1584954,7.944,0,7.944,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260919T063233Z_bf52eb86,17,normal,1789799554.1584954,1789799554.1659243,7.505,0,7.505,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260919T063233Z_bf52eb86,18,normal,1789799554.1665254,1789799554.1743853,8.278,0,8.278,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260919T063233Z_bf52eb86,19,normal,1789799554.1743853,1789799554.1829667,8.368,0,8.368,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260919T063233Z_bf52eb86,20,normal,1789799554.1829667,1789799554.190144,6.909,0,6.909,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260919T063233Z_bf52eb86,21,normal,1789799554.190144,1789799554.1980977,8.085,0,8.085,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260919T063233Z_bf52eb86,22,normal,1789799554.1986098,1789799554.2059653,7.596,0,7.596,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260919T063233Z_bf52eb86,23,normal,1789799554.2059653,1789799554.2130394,6.692,0,6.692,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260919T063233Z_bf52eb86,24,normal,1789799554.2130394,1789799554.2199528,6.74,0,6.74,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260919T063233Z_bf52eb86,25,normal,1789799554.2199528,1789799554.2266357,6.907,0,6.907,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260919T063233Z_bf52eb86,26,normal,1789799554.2266357,1789799554.2333162,6.623,0,6.623,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260919T063233Z_bf52eb86,27,normal,1789799554.233878,1789799554.2401624,6.732,0,6.732,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260919T063233Z_bf52eb86,28,normal,1789799554.2401624,1789799554.2463155,5.802,0,5.802,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260919T063233Z_bf52eb86,29,normal,1789799554.2463155,1789799554.2524214,6.498,0,6.498,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260919T063233Z_bf52eb86,30,normal,1789799554.2531664,1789799554.2592826,6.211,0,6.211,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 30}"
20260919T063233Z_bf52eb86,31,normal,1789799554.2592826,1789799554.2663763,7.168,0,7.168,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 31}"
20260919T063233Z_bf52eb86,32,normal,1789799554.2663763,1789799554.2724247,5.754,0,5.754,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 32}"
20260919T063233Z_bf52eb86,33,normal,1789799554.2724247,1789799554.278706,6.216,0,6.216,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 33}"
20260919T063233Z_bf52eb86,34,normal,1789799554.278706,1789799554.2854257,6.628,0,6.628,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 34}"
20260919T063233Z_bf52eb86,35,normal,1789799554.2854257,1789799554.2921176,6.484,0,6.484,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 35}"
20260919T063233Z_bf52eb86,36,normal,1789799554.2921176,1789799554.2991154,6.722,0,6.722,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 36}"
20260919T063233Z_bf52eb86,37,normal,1789799554.2991154,1789799554.3053834,6.497,0,6.497,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 37}"
20260919T063233Z_bf52eb86,38,normal,1789799554.3053834,1789799554.3127153,7.044,0,7.044,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 38}"
20260919T063233Z_bf52eb86,39,normal,1789799554.3127153,1789799554.3191082,6.681,0,6.681,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 39}"
20260919T063233Z_bf52eb86,40,normal,1789799554.3196795,1789799554.3261359,6.591,0,6.591,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 40}"
20260919T063233Z_bf52eb86,41,normal,1789799554.3261359,1789799554.3316545,5.665,0,5.665,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 41}"
20260919T063233Z_bf52eb86,42,normal,1789799554.3316545,1789799554.3380816,6.004,0,6.004,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 42}"
20260919T063233Z_bf52eb86,43,normal,1789799554.3380816,1789799554.3434005,5.582,0,5.582,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 43}"
20260919T063233Z_bf52eb86,44,normal,1789799554.3439493,1789799554.3490012,5.479,0,5.479,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 44}"
20260919T063233Z_bf52eb86,45,normal,1789799554.3496072,1789799554.3552155,6.028,0,6.028,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 45}"
20260919T063233Z_bf52eb86,46,normal,1789799554.3552155,1789799554.3606243,5.339,0,5.339,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 46}"
20260919T063233Z_bf52eb86,47,normal,1789799554.3606243,1789799554.3661256,5.462,0,5.462,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 47}"
20260919T063233Z_bf52eb86,48,normal,1789799554.3661256,1789799554.3721318,5.762,0,5.762,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 48}"
20260919T063233Z_bf52eb86,49,normal,1789799554.3721318,1789799554.3784943,6.071,0,6.071,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 49}"
20260919T063233Z_bf52eb86,50,normal,1789799554.3784943,1789799554.3853283,6.71,0,6.71,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 50}"
20260919T063233Z_bf52eb86,51,normal,1789799554.3853283,1789799554.3923,6.916,0,6.916,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 51}"
20260919T063233Z_bf52eb86,52,normal,1789799554.3923,1789799554.3987005,6.539,0,6.539,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 52}"
20260919T063233Z_bf52eb86,53,normal,1789799554.3993108,1789799554.4058344,6.538,0,6.538,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 53}"
20260919T063233Z_bf52eb86,54,normal,1789799554.4058344,1789799554.411732,5.873,0,5.873,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 54}"
20260919T063233Z_bf52eb86,55,normal,1789799554.411732,1789799554.4170933,5.607,0,5.607,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 55}"
20260919T063233Z_bf52eb86,56,normal,1789799554.4170933,1789799554.4231856,5.632,0,5.632,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 56}"
20260919T063233Z_bf52eb86,57,normal,1789799554.4231856,1789799554.428435,5.636,0,5.636,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 57}"
20260919T063233Z_bf52eb86,58,normal,1789799554.4291031,1789799554.4343443,5.772,0,5.772,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 58}"
20260919T063233Z_bf52eb86,59,normal,1789799554.4349084,1789799554.439529,5.9,0,5.9,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 59}"
20260919T063233Z_bf52eb86,60,normal,1789799554.439529,1789799554.4469886,6.806,0,6.806,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 60}"
20260919T063233Z_bf52eb86,61,normal,1789799554.4469886,1789799554.4535916,5.998,0,5.998,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 61}"
20260919T063233Z_bf52eb86,62,normal,1789799554.4535916,1789799554.4597197,5.916,0,5.916,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 62}"
20260919T063233Z_bf52eb86,63,normal,1789799554.4597197,1789799554.4662414,6.792,0,6.792,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 63}"
20260919T063233Z_bf52eb86,64,normal,1789799554.4668653,1789799554.4729779,6.559,0,6.559,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 64}"
20260919T063233Z_bf52eb86,65,normal,1789799554.4729779,1789799554.4797425,6.381,0,6.381,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 65}"
20260919T063233Z_bf52eb86,66,normal,1789799554.4797425,1789799554.4854317,5.617,0,5.617,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 66}"
20260919T063233Z_bf52eb86,67,normal,1789799554.4854317,1789799554.4911237,5.763,0,5.763,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 67}"
20260919T063233Z_bf52eb86,68,normal,1789799554.4911237,1789799554.4995103,7.867,0,7.867,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 68}"
20260919T063233Z_bf52eb86,69,normal,1789799554.4995103,1789799554.5060322,6.441,0,6.441,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 69}"
20260919T063233Z_bf52eb86,70,normal,1789799554.5060322,1789799554.5123653,6.286,0,6.286,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 70}"
20260919T063233Z_bf52eb86,71,normal,1789799554.5123653,1789799554.518665,6.179,0,6.179,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 71}"
20260919T063233Z_bf52eb86,72,normal,1789799554.518665,1789799554.5248256,6.448,0,6.448,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 72}"
20260919T063233Z_bf52eb86,73,normal,1789799554.5253925,1789799554.5309355,5.838,0,5.838,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 73}"
20260919T063233Z_bf52eb86,74,normal,1789799554.5309355,1789799554.5369122,5.783,0,5.783,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 74}"
20260919T063233Z_bf52eb86,75,normal,1789799554.5369122,1789799554.543263,6.179,0,6.179,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 75}"
20260919T063233Z_bf52eb86,76,normal,1789799554.543263,1789799554.5493197,6.108,0,6.108,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 76}"
20260919T063233Z_bf52eb86,77,normal,1789799554.5493197,1789799554.5566735,6.992,0,6.992,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 77}"
20260919T063233Z_bf52eb86,78,normal,1789799554.5566735,1789799554.5631425,6.724,0,6.724,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 78}"
20260919T063233Z_bf52eb86,79,normal,1789799554.5636988,1789799554.5700479,6.55,0,6.55,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 79}"
20260919T063233Z_bf52eb86,80,normal,1789799554.5700479,1789799554.5766118,6.378,0,6.378,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 80}"
20260919T063233Z_bf52eb86,81,normal,1789799554.5766118,1789799554.5826604,6.146,0,6.146,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 81}"
20260919T063233Z_bf52eb86,82,normal,1789799554.5826604,1789799554.589532,6.65,0,6.65,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 82}"
20260919T063233Z_bf52eb86,83,normal,1789799554.589532,1789799554.5967085,6.842,0,6.842,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 83}"
20260919T063233Z_bf52eb86,84,normal,1789799554.5967085,1789799554.6032665,6.682,0,6.682,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 84}"
20260919T063233Z_bf52eb86,85,normal,1789799554.6032665,1789799554.610003,6.434,0,6.434,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 85}"
20260919T063233Z_bf52eb86,86,normal,1789799554.610003,1789799554.61583,6.392,0,6.392,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 86}"
20260919T063233Z_bf52eb86,87,normal,1789799554.6166184,1789799554.6224525,6.14,0,6.14,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 87}"
20260919T063233Z_bf52eb86,88,normal,1789799554.6224525,1789799554.6292129,6.633,0,6.633,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 88}"
20260919T063233Z_bf52eb86,89,normal,1789799554.6292129,1789799554.6348004,5.931,0,5.931,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 89}"
