run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T063608Z_9a64df54,1,normal,1789799769.6922035,1789799769.706928,14.376,0,14.376,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T063608Z_9a64df54,2,normal,1789799769.706928,1789799769.7141957,6.842,0,6.842,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T063608Z_9a64df54,3,normal,1789799769.7141957,1789799769.7201636,6.017,0,6.017,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T063608Z_9a64df54,4,normal,1789799769.720727,1789799769.7265313,5.934,0,5.934,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260919T063608Z_9a64df54,5,normal,1789799769.7265313,1789799769.7331197,6.073,0,6.073,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260919T063608Z_9a64df54,6,normal,1789799769.7331197,1789799769.7386763,5.868,0,5.868,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260919T063608Z_9a64df54,7,normal,1789799769.7392397,1789799769.7448006,5.646,0,5.646,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260919T063608Z_9a64df54,8,normal,1789799769.7448006,1789799769.750412,5.473,0,5.473,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260919T063608Z_9a64df54,9,normal,1789799769.750412,1789799769.755946,5.716,0,5.716,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260919T063608Z_9a64df54,10,normal,1789799769.75652,1789799769.7621162,6.099,0,6.099,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260919T063608Z_9a64df54,11,normal,1789799769.7627108,1789799769.768515,6.664,0,6.664,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260919T063608Z_9a64df54,12,normal,1789799769.768515,1789799769.7750516,6.366,0,6.366,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260919T063608Z_9a64df54,13,normal,1789799769.7750516,1789799769.7812228,6.233,0,6.233,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260919T063608Z_9a64df54,14,normal,1789799769.7812228,1789799769.7871897,5.324,0,5.324,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260919T063608Z_9a64df54,15,normal,1789799769.7871897,1789799769.7929473,5.449,0,5.449,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260919T063608Z_9a64df54,16,normal,1789799769.7929473,1789799769.7990553,5.947,0,5.947,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260919T063608Z_9a64df54,17,normal,1789799769.7990553,1789799769.8047104,5.836,0,5.836,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260919T063608Z_9a64df54,18,normal,1789799769.8052619,1789799769.8111756,6.054,0,6.054,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260919T063608Z_9a64df54,19,normal,1789799769.8111756,1789799769.8166554,5.76,0,5.76,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260919T063608Z_9a64df54,20,normal,1789799769.8172312,1789799769.8234556,6.256,0,6.256,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260919T063608Z_9a64df54,21,normal,1789799769.8234556,1789799769.8294115,5.895,0,5.895,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260919T063608Z_9a64df54,22,normal,1789799769.8294115,1789799769.8355737,6.283,0,6.283,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
20260919T063608Z_9a64df54,23,normal,1789799769.8355737,1789799769.8421466,6.247,0,6.247,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 23}"
20260919T063608Z_9a64df54,24,normal,1789799769.8421466,1789799769.8482423,5.976,0,5.976,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 24}"
20260919T063608Z_9a64df54,25,normal,1789799769.8482423,1789799769.8538332,5.761,0,5.761,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 25}"
20260919T063608Z_9a64df54,26,normal,1789799769.8538332,1789799769.8601618,6.331,0,6.331,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 26}"
20260919T063608Z_9a64df54,27,normal,1789799769.860886,1789799769.8677447,7.061,0,7.061,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 27}"
20260919T063608Z_9a64df54,28,normal,1789799769.8677447,1789799769.8742871,6.58,0,6.58,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 28}"
20260919T063608Z_9a64df54,29,normal,1789799769.8742871,1789799769.881197,6.603,0,6.603,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 29}"
20260919T063608Z_9a64df54,30,normal,1789799769.881197,1789799769.8882184,7.115,0,7.115,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 30}"
20260919T063608Z_9a64df54,31,normal,1789799769.8882184,1789799769.8943243,6.099,0,6.099,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 31}"
20260919T063608Z_9a64df54,32,normal,1789799769.8943243,1789799769.9008424,6.059,0,6.059,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 32}"
20260919T063608Z_9a64df54,33,normal,1789799769.9008424,1789799769.9071558,6.082,0,6.082,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 33}"
20260919T063608Z_9a64df54,34,normal,1789799769.9071558,1789799769.9125485,5.756,0,5.756,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 34}"
20260919T063608Z_9a64df54,35,normal,1789799769.9125485,1789799769.9191744,6.153,0,6.153,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 35}"
20260919T063608Z_9a64df54,36,normal,1789799769.9191744,1789799769.9254313,6.236,0,6.236,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 36}"
20260919T063608Z_9a64df54,37,normal,1789799769.9254313,1789799769.9316359,6.252,0,6.252,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 37}"
20260919T063608Z_9a64df54,38,normal,1789799769.9316359,1789799769.9382422,6.166,0,6.166,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 38}"
20260919T063608Z_9a64df54,39,normal,1789799769.9382422,1789799769.944867,7.056,0,7.056,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 39}"
20260919T063608Z_9a64df54,40,normal,1789799769.945548,1789799769.951395,6.154,0,6.154,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 40}"
20260919T063608Z_9a64df54,41,normal,1789799769.951395,1789799769.957729,6.027,0,6.027,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 41}"
20260919T063608Z_9a64df54,42,normal,1789799769.957729,1789799769.9634693,5.819,0,5.819,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 42}"
20260919T063608Z_9a64df54,43,normal,1789799769.9634693,1789799769.9708252,7.076,0,7.076,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 43}"
20260919T063608Z_9a64df54,44,normal,1789799769.9708252,1789799769.9776173,6.857,0,6.857,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 44}"
20260919T063608Z_9a64df54,45,normal,1789799769.9776173,1789799769.9841554,6.402,0,6.402,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 45}"
20260919T063608Z_9a64df54,46,normal,1789799769.9841554,1789799769.990653,6.28,0,6.28,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 46}"
20260919T063608Z_9a64df54,47,normal,1789799769.990653,1789799769.996793,6.29,0,6.29,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 47}"
20260919T063608Z_9a64df54,48,normal,1789799769.996793,1789799770.0050402,7.777,0,7.777,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 48}"
20260919T063608Z_9a64df54,49,normal,1789799770.0050402,1789799770.012198,7.244,0,7.244,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 49}"
20260919T063608Z_9a64df54,50,normal,1789799770.012198,1789799770.018959,6.813,0,6.813,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 50}"
20260919T063608Z_9a64df54,51,normal,1789799770.018959,1789799770.0251071,5.932,0,5.932,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 51}"
20260919T063608Z_9a64df54,52,normal,1789799770.0251071,1789799770.032338,7.033,0,7.033,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 52}"
20260919T063608Z_9a64df54,53,normal,1789799770.032338,1789799770.0384176,6.023,0,6.023,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 53}"
20260919T063608Z_9a64df54,54,normal,1789799770.0384176,1789799770.0440407,5.707,0,5.707,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 54}"
20260919T063608Z_9a64df54,55,normal,1789799770.0446382,1789799770.0501072,6.282,0,6.282,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 55}"
20260919T063608Z_9a64df54,56,normal,1789799770.0501072,1789799770.0568736,6.161,0,6.161,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 56}"
20260919T063608Z_9a64df54,57,normal,1789799770.0568736,1789799770.063086,6.242,0,6.242,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 57}"
20260919T063608Z_9a64df54,58,normal,1789799770.063086,1789799770.0700467,6.691,0,6.691,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 58}"
20260919T063608Z_9a64df54,59,normal,1789799770.0700467,1789799770.0770802,6.97,0,6.97,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 59}"
20260919T063608Z_9a64df54,60,normal,1789799770.0770802,1789799770.0843477,6.816,0,6.816,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 60}"
20260919T063608Z_9a64df54,61,normal,1789799770.0843477,1789799770.09086,6.526,0,6.526,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 61}"
20260919T063608Z_9a64df54,62,normal,1789799770.09086,1789799770.0962682,5.634,0,5.634,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 62}"
20260919T063608Z_9a64df54,63,normal,1789799770.0962682,1789799770.102544,6.176,0,6.176,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 63}"
20260919T063608Z_9a64df54,64,normal,1789799770.1031578,1789799770.1087813,5.64,0,5.64,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 64}"
20260919T063608Z_9a64df54,65,normal,1789799770.1087813,1789799770.114311,5.696,0,5.696,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 65}"
20260919T063608Z_9a64df54,66,normal,1789799770.114311,1789799770.120072,5.733,0,5.733,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 66}"
20260919T063608Z_9a64df54,67,normal,1789799770.120072,1789799770.126327,6.263,0,6.263,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 67}"
20260919T063608Z_9a64df54,68,normal,1789799770.126327,1789799770.1324759,5.691,0,5.691,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 68}"
20260919T063608Z_9a64df54,69,normal,1789799770.1324759,1789799770.1389425,6.854,0,6.854,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 69}"
20260919T063608Z_9a64df54,70,normal,1789799770.1394925,1789799770.1458726,6.347,0,6.347,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 70}"
20260919T063608Z_9a64df54,71,normal,1789799770.1458726,1789799770.151807,6.305,0,6.305,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 71}"
20260919T063608Z_9a64df54,72,normal,1789799770.1524413,1789799770.1587427,6.523,0,6.523,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 72}"
20260919T063608Z_9a64df54,73,normal,1789799770.1587427,1789799770.1654875,6.663,0,6.663,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 73}"
20260919T063608Z_9a64df54,74,normal,1789799770.1654875,1789799770.1723795,7.009,0,7.009,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 74}"
20260919T063608Z_9a64df54,75,normal,1789799770.1730008,1789799770.179441,6.992,0,6.992,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 75}"
20260919T063608Z_9a64df54,76,normal,1789799770.179441,1789799770.1857784,5.828,0,5.828,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 76}"
20260919T063608Z_9a64df54,77,normal,1789799770.1857784,1789799770.1926177,6.84,0,6.84,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 77}"
20260919T063608Z_9a64df54,78,normal,1789799770.1926177,1789799770.19947,6.867,0,6.867,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 78}"
20260919T063608Z_9a64df54,79,normal,1789799770.19947,1789799770.205703,6.144,0,6.144,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 79}"
20260919T063608Z_9a64df54,80,normal,1789799770.205703,1789799770.2122142,6.076,0,6.076,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 80}"
20260919T063608Z_9a64df54,81,normal,1789799770.2122142,1789799770.2182195,6.149,0,6.149,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 81}"
20260919T063608Z_9a64df54,82,normal,1789799770.2182195,1789799770.2242332,5.604,0,5.604,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 82}"
20260919T063608Z_9a64df54,83,normal,1789799770.2242332,1789799770.230742,6.477,0,6.477,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 83}"
20260919T063608Z_9a64df54,84,normal,1789799770.230742,1789799770.2361665,5.759,0,5.759,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 84}"
20260919T063608Z_9a64df54,85,normal,1789799770.236724,1789799770.2419367,5.434,0,5.434,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 85}"
20260919T063608Z_9a64df54,86,normal,1789799770.2419367,1789799770.248526,6.727,0,6.727,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 86}"
20260919T063608Z_9a64df54,87,normal,1789799770.2490885,1789799770.2550242,5.961,0,5.961,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 87}"
20260919T063608Z_9a64df54,88,normal,1789799770.2550242,1789799770.2610404,5.81,0,5.81,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 88}"
20260919T063608Z_9a64df54,89,normal,1789799770.2610404,1789799770.2671115,6.157,0,6.157,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 89}"
20260919T063608Z_9a64df54,90,normal,1789799770.2671115,1789799770.2733161,5.951,0,5.951,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 90}"
