run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T063856Z_f877eed7,1,normal,1789799937.4399571,1789799937.4832556,43.129,0,43.129,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 1, ""max_seen_before"": -1, ""violation"": false}, {""version"": 1, ""max_seen_before"": 1, ""violation"": false}]}"
20260919T063856Z_f877eed7,2,normal,1789799937.4838245,1789799937.493109,9.391,0,9.391,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 2, ""max_seen_before"": 1, ""violation"": false}, {""version"": 2, ""max_seen_before"": 2, ""violation"": false}]}"
20260919T063856Z_f877eed7,3,normal,1789799937.4936173,1789799937.5030215,9.353,0,9.353,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 3, ""max_seen_before"": 2, ""violation"": false}, {""version"": 3, ""max_seen_before"": 3, ""violation"": false}]}"
20260919T063856Z_f877eed7,4,normal,1789799937.5030215,1789799937.5303686,27.03,0,27.03,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 4, ""max_seen_before"": 3, ""violation"": false}, {""version"": 4, ""max_seen_before"": 4, ""violation"": false}]}"
20260919T063856Z_f877eed7,5,normal,1789799937.5303686,1789799937.540538,10.545,0,10.545,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 5, ""max_seen_before"": 4, ""violation"": false}, {""version"": 5, ""max_seen_before"": 5, ""violation"": false}]}"
20260919T063856Z_f877eed7,6,normal,1789799937.540538,1789799937.5525987,11.798,0,11.798,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 6, ""max_seen_before"": 5, ""violation"": false}, {""version"": 6, ""max_seen_before"": 6, ""violation"": false}]}"
20260919T063856Z_f877eed7,7,normal,1789799937.5525987,1789799937.5622287,9.259,0,9.259,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 7, ""max_seen_before"": 6, ""violation"": false}, {""version"": 7, ""max_seen_before"": 7, ""violation"": false}]}"
20260919T063856Z_f877eed7,8,normal,1789799937.5622287,1789799937.5712621,9.365,0,9.365,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 8, ""max_seen_before"": 7, ""violation"": false}, {""version"": 8, ""max_seen_before"": 8, ""violation"": false}]}"
20260919T063856Z_f877eed7,9,normal,1789799937.5718684,1789799937.5817575,10.302,0,10.302,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 9, ""max_seen_before"": 8, ""violation"": false}, {""version"": 9, ""max_seen_before"": 9, ""violation"": false}]}"
20260919T063856Z_f877eed7,10,normal,1789799937.5817575,1789799937.5914629,9.097,0,9.097,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 10, ""max_seen_before"": 9, ""violation"": false}, {""version"": 10, ""max_seen_before"": 10, ""violation"": false}]}"
20260919T063856Z_f877eed7,11,normal,1789799937.5914629,1789799937.5999713,8.896,0,8.896,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 11, ""max_seen_before"": 10, ""violation"": false}, {""version"": 11, ""max_seen_before"": 11, ""violation"": false}]}"
20260919T063856Z_f877eed7,12,normal,1789799937.6005743,1789799937.6093574,9.179,0,9.179,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 12, ""max_seen_before"": 11, ""violation"": false}, {""version"": 12, ""max_seen_before"": 12, ""violation"": false}]}"
20260919T063856Z_f877eed7,13,normal,1789799937.610044,1789799937.6187806,9.144,0,9.144,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 13, ""max_seen_before"": 12, ""violation"": false}, {""version"": 13, ""max_seen_before"": 13, ""violation"": false}]}"
20260919T063856Z_f877eed7,14,normal,1789799937.6187806,1789799937.6277113,9.008,0,9.008,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 14, ""max_seen_before"": 13, ""violation"": false}, {""version"": 14, ""max_seen_before"": 14, ""violation"": false}]}"
20260919T063856Z_f877eed7,15,normal,1789799937.628409,1789799937.6369507,8.618,0,8.618,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 15, ""max_seen_before"": 14, ""violation"": false}, {""version"": 15, ""max_seen_before"": 15, ""violation"": false}]}"
20260919T063856Z_f877eed7,16,normal,1789799937.6369507,1789799937.6456401,9.003,0,9.003,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 16, ""max_seen_before"": 15, ""violation"": false}, {""version"": 16, ""max_seen_before"": 16, ""violation"": false}]}"
20260919T063856Z_f877eed7,17,normal,1789799937.6463206,1789799937.6551425,9.894,0,9.894,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 17, ""max_seen_before"": 16, ""violation"": false}, {""version"": 17, ""max_seen_before"": 17, ""violation"": false}]}"
20260919T063856Z_f877eed7,18,normal,1789799937.6563342,1789799937.6667652,10.653,0,10.653,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 18, ""max_seen_before"": 17, ""violation"": false}, {""version"": 18, ""max_seen_before"": 18, ""violation"": false}]}"
20260919T063856Z_f877eed7,19,normal,1789799937.6667652,1789799937.676961,10.17,0,10.17,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 19, ""max_seen_before"": 18, ""violation"": false}, {""version"": 19, ""max_seen_before"": 19, ""violation"": false}]}"
20260919T063856Z_f877eed7,20,normal,1789799937.676961,1789799937.6869364,9.605,0,9.605,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 20, ""max_seen_before"": 19, ""violation"": false}, {""version"": 20, ""max_seen_before"": 20, ""violation"": false}]}"
20260919T063856Z_f877eed7,21,normal,1789799937.6869364,1789799937.6957693,9.014,0,9.014,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 21, ""max_seen_before"": 20, ""violation"": false}, {""version"": 21, ""max_seen_before"": 21, ""violation"": false}]}"
20260919T063856Z_f877eed7,22,normal,1789799937.6957693,1789799937.7049963,9.093,0,9.093,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 22, ""max_seen_before"": 21, ""violation"": false}, {""version"": 22, ""max_seen_before"": 22, ""violation"": false}]}"
20260919T063856Z_f877eed7,23,normal,1789799937.7049963,1789799937.7160132,10.617,0,10.617,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 23, ""max_seen_before"": 22, ""violation"": false}, {""version"": 23, ""max_seen_before"": 23, ""violation"": false}]}"
20260919T063856Z_f877eed7,24,normal,1789799937.7160132,1789799937.725563,9.785,0,9.785,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 24, ""max_seen_before"": 23, ""violation"": false}, {""version"": 24, ""max_seen_before"": 24, ""violation"": false}]}"
20260919T063856Z_f877eed7,25,normal,1789799937.725563,1789799937.7348936,9.394,0,9.394,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 25, ""max_seen_before"": 24, ""violation"": false}, {""version"": 25, ""max_seen_before"": 25, ""violation"": false}]}"
20260919T063856Z_f877eed7,26,normal,1789799937.7355208,1789799937.744762,9.138,0,9.138,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 26, ""max_seen_before"": 25, ""violation"": false}, {""version"": 26, ""max_seen_before"": 26, ""violation"": false}]}"
20260919T063856Z_f877eed7,27,normal,1789799937.744762,1789799937.7539556,9.127,0,9.127,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 27, ""max_seen_before"": 26, ""violation"": false}, {""version"": 27, ""max_seen_before"": 27, ""violation"": false}]}"
