run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T064116Z_f36bc924,1,normal,1789800076.9433975,1789800076.9716072,28.216,0,28.216,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260919T064116Z_f36bc924,2,normal,1789800076.9716072,1789800076.982584,10.64,0,10.64,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260919T064116Z_f36bc924,3,normal,1789800076.982584,1789800076.992993,9.956,0,9.956,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260919T064116Z_f36bc924,4,normal,1789800076.99356,1789800077.0035365,10.01,0,10.01,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260919T064116Z_f36bc924,5,normal,1789800077.0035365,1789800077.0343022,31.129,0,31.129,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260919T064116Z_f36bc924,6,normal,1789800077.0349114,1789800077.0435588,8.786,0,8.786,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260919T064116Z_f36bc924,7,normal,1789800077.0435588,1789800077.0526557,8.962,0,8.962,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260919T064116Z_f36bc924,8,normal,1789800077.0526557,1789800077.0617185,9.167,0,9.167,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260919T064116Z_f36bc924,9,normal,1789800077.0617185,1789800077.0716825,9.524,0,9.524,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260919T064116Z_f36bc924,10,normal,1789800077.0716825,1789800077.0810287,9.736,0,9.736,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260919T064116Z_f36bc924,11,normal,1789800077.081621,1789800077.0912092,10.088,0,10.088,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260919T064116Z_f36bc924,12,normal,1789800077.0912092,1789800077.101333,9.52,0,9.52,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260919T064116Z_f36bc924,13,normal,1789800077.101333,1789800077.1107695,9.772,0,9.772,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
