run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T064325Z_a5a0c5cf,1,normal,1789800206.4998732,1789800206.5538135,54.084,0,54.084,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 1, ""max_seen_before"": -1, ""violation"": false}, {""version"": 1, ""max_seen_before"": 1, ""violation"": false}]}"
20260919T064325Z_a5a0c5cf,2,normal,1789800206.554465,1789800206.5710652,16.526,0,16.526,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 2, ""max_seen_before"": 1, ""violation"": false}, {""version"": 2, ""max_seen_before"": 2, ""violation"": false}]}"
20260919T064325Z_a5a0c5cf,3,normal,1789800206.5710652,1789800206.5816522,10.481,0,10.481,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 3, ""max_seen_before"": 2, ""violation"": false}, {""version"": 3, ""max_seen_before"": 3, ""violation"": false}]}"
20260919T064325Z_a5a0c5cf,4,normal,1789800206.5816522,1789800206.591538,9.836,0,9.836,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 4, ""max_seen_before"": 3, ""violation"": false}, {""version"": 4, ""max_seen_before"": 4, ""violation"": false}]}"
20260919T064325Z_a5a0c5cf,5,normal,1789800206.5921953,1789800206.6014173,9.405,0,9.405,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 5, ""max_seen_before"": 4, ""violation"": false}, {""version"": 5, ""max_seen_before"": 5, ""violation"": false}]}"
20260919T064325Z_a5a0c5cf,6,normal,1789800206.6014173,1789800206.6111467,9.617,0,9.617,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 6, ""max_seen_before"": 5, ""violation"": false}, {""version"": 6, ""max_seen_before"": 6, ""violation"": false}]}"
20260919T064325Z_a5a0c5cf,7,normal,1789800206.6111467,1789800206.6228065,11.401,0,11.401,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 7, ""max_seen_before"": 6, ""violation"": false}, {""version"": 7, ""max_seen_before"": 7, ""violation"": false}]}"
20260919T064325Z_a5a0c5cf,8,normal,1789800206.6228065,1789800206.6330466,10.276,0,10.276,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 8, ""max_seen_before"": 7, ""violation"": false}, {""version"": 8, ""max_seen_before"": 8, ""violation"": false}]}"
20260919T064325Z_a5a0c5cf,9,normal,1789800206.6330466,1789800206.6431303,9.868,0,9.868,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 9, ""max_seen_before"": 8, ""violation"": false}, {""version"": 9, ""max_seen_before"": 9, ""violation"": false}]}"
20260919T064325Z_a5a0c5cf,10,normal,1789800206.6431303,1789800206.6528535,9.474,0,9.474,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 10, ""max_seen_before"": 9, ""violation"": false}, {""version"": 10, ""max_seen_before"": 10, ""violation"": false}]}"
20260919T064325Z_a5a0c5cf,11,normal,1789800206.6528535,1789800206.6636145,10.792,0,10.792,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 11, ""max_seen_before"": 10, ""violation"": false}, {""version"": 11, ""max_seen_before"": 11, ""violation"": false}]}"
20260919T064325Z_a5a0c5cf,12,normal,1789800206.6636145,1789800206.6750703,11.623,0,11.623,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 12, ""max_seen_before"": 11, ""violation"": false}, {""version"": 12, ""max_seen_before"": 12, ""violation"": false}]}"
20260919T064325Z_a5a0c5cf,13,normal,1789800206.6750703,1789800206.6860235,10.529,0,10.529,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 13, ""max_seen_before"": 12, ""violation"": false}, {""version"": 13, ""max_seen_before"": 13, ""violation"": false}]}"
20260919T064325Z_a5a0c5cf,14,normal,1789800206.6860235,1789800206.6964424,10.595,0,10.595,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 14, ""max_seen_before"": 13, ""violation"": false}, {""version"": 14, ""max_seen_before"": 14, ""violation"": false}]}"
20260919T064325Z_a5a0c5cf,15,normal,1789800206.6964424,1789800206.7067971,9.808,0,9.808,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 15, ""max_seen_before"": 14, ""violation"": false}, {""version"": 15, ""max_seen_before"": 15, ""violation"": false}]}"
20260919T064325Z_a5a0c5cf,16,normal,1789800206.7067971,1789800206.7170908,10.053,0,10.053,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 16, ""max_seen_before"": 15, ""violation"": false}, {""version"": 16, ""max_seen_before"": 16, ""violation"": false}]}"
20260919T064325Z_a5a0c5cf,17,normal,1789800206.7170908,1789800206.7277524,10.813,0,10.813,pass,,read_secondary,"{""background_write_acknowledged"": true, ""reads"": [{""version"": 17, ""max_seen_before"": 16, ""violation"": false}, {""version"": 17, ""max_seen_before"": 17, ""violation"": false}]}"
