run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T064345Z_feba3d66,1,normal,1789800226.1617918,1789800226.196419,34.921,0,34.921,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 1}"
20260919T064345Z_feba3d66,2,normal,1789800226.197108,1789800226.2280447,31.075,0,31.075,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 2}"
20260919T064345Z_feba3d66,3,normal,1789800226.2280447,1789800226.2383933,10.253,0,10.253,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 3}"
20260919T064345Z_feba3d66,4,normal,1789800226.2389688,1789800226.2485504,9.219,0,9.219,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260919T064345Z_feba3d66,5,normal,1789800226.2485504,1789800226.2585912,10.306,0,10.306,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260919T064345Z_feba3d66,6,normal,1789800226.25922,1789800226.2688496,10.147,0,10.147,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260919T064345Z_feba3d66,7,normal,1789800226.2694936,1789800226.2794795,10.154,0,10.154,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260919T064345Z_feba3d66,8,normal,1789800226.2794795,1789800226.2908518,11.07,0,11.07,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260919T064345Z_feba3d66,9,normal,1789800226.2908518,1789800226.3007386,9.706,0,9.706,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260919T064345Z_feba3d66,10,normal,1789800226.3007386,1789800226.310728,9.976,0,9.976,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260919T064345Z_feba3d66,11,normal,1789800226.310728,1789800226.3206482,10.008,0,10.008,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260919T064345Z_feba3d66,12,normal,1789800226.3206482,1789800226.330222,9.156,0,9.156,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260919T064345Z_feba3d66,13,normal,1789800226.330222,1789800226.3396838,9.418,0,9.418,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260919T064345Z_feba3d66,14,normal,1789800226.3396838,1789800226.3493977,9.626,0,9.626,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260919T064345Z_feba3d66,15,normal,1789800226.3493977,1789800226.3593264,9.97,0,9.97,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260919T064345Z_feba3d66,16,normal,1789800226.3593264,1789800226.369322,9.781,0,9.781,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
20260919T064345Z_feba3d66,17,normal,1789800226.369322,1789800226.3793862,9.813,0,9.813,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 17}"
20260919T064345Z_feba3d66,18,normal,1789800226.3793862,1789800226.3888988,9.788,0,9.788,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 18}"
20260919T064345Z_feba3d66,19,normal,1789800226.3888988,1789800226.398353,9.132,0,9.132,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 19}"
20260919T064345Z_feba3d66,20,normal,1789800226.398353,1789800226.4068482,8.725,0,8.725,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 20}"
20260919T064345Z_feba3d66,21,normal,1789800226.4068482,1789800226.418109,10.971,0,10.971,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 21}"
20260919T064345Z_feba3d66,22,normal,1789800226.418109,1789800226.427968,9.752,0,9.752,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 22}"
