run_id,iteration,phase,start_time,end_time,latency_ms,management_ms,workload_ms,verdict,error,last_stage,details_json
20260919T070440Z_4aa3af95,1,normal,1789801481.6243522,1789801481.6372077,12.526,0,12.526,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T070440Z_4aa3af95,2,normal,1789801481.637821,1789801481.6449873,7.126,0,7.126,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T070440Z_4aa3af95,3,normal,1789801481.6449873,1789801481.651455,6.578,0,6.578,violation,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": null}"
20260919T070440Z_4aa3af95,4,normal,1789801481.6520667,1789801481.6581922,6.125,0,6.125,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 4}"
20260919T070440Z_4aa3af95,5,normal,1789801481.6581922,1789801481.6640048,5.686,0,5.686,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 5}"
20260919T070440Z_4aa3af95,6,normal,1789801481.6640048,1789801481.6701462,5.899,0,5.899,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 6}"
20260919T070440Z_4aa3af95,7,normal,1789801481.6701462,1789801481.6768758,6.684,0,6.684,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 7}"
20260919T070440Z_4aa3af95,8,normal,1789801481.6768758,1789801481.6824577,5.744,0,5.744,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 8}"
20260919T070440Z_4aa3af95,9,normal,1789801481.683061,1789801481.6891243,6.13,0,6.13,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 9}"
20260919T070440Z_4aa3af95,10,normal,1789801481.6891243,1789801481.695592,6.819,0,6.819,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 10}"
20260919T070440Z_4aa3af95,11,normal,1789801481.6962206,1789801481.702886,7.084,0,7.084,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 11}"
20260919T070440Z_4aa3af95,12,normal,1789801481.702886,1789801481.7096562,6.391,0,6.391,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 12}"
20260919T070440Z_4aa3af95,13,normal,1789801481.7096562,1789801481.7157502,6.071,0,6.071,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 13}"
20260919T070440Z_4aa3af95,14,normal,1789801481.7157502,1789801481.7227602,6.737,0,6.737,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 14}"
20260919T070440Z_4aa3af95,15,normal,1789801481.7227602,1789801481.72961,6.557,0,6.557,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 15}"
20260919T070440Z_4aa3af95,16,normal,1789801481.72961,1789801481.7357051,6.385,0,6.385,pass,,read_own_write,"{""write_acknowledged"": true, ""observed_version"": 16}"
